configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,raw_kA,raw_kB,raw_k,observation_cohort,eligible,blocked_reason,reuse_path
protein:1o7j.a__3ntx.a:a0.5|CPS-2F,11,protein,1o7j.a__3ntx.a,22,22,angstrom,,,CPS-2F,0.5,,,,blocked,,preparation_blocked,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparation_blocked,,,,coverage_extension single observation,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,
protein:1o7j.a__3ntx.a:a0.5|CPS-3F,12,protein,1o7j.a__3ntx.a,22,22,angstrom,,,CPS-3F,0.5,,,,blocked,,preparation_blocked,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preparation_blocked,,,,coverage_extension single observation,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,
protein:1o7j.a__1wls.a:a0.5|Independent continuous,13,protein,1o7j.a__1wls.a,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1wls.a.npz,3e35280d1c981235ff03ba1f9960677a0de32ad9561d8e22a7cb9de8e5677ecb,Independent continuous,0.5,9.476499139682725,10.90332274065674,15.999722568438287,new,output\paper_v1\coverage_extension\slots\13\attempts\coverage13_41fcd0da9a4a4280922d252b03f840e9,validated,True,False,16.0,17.0,17.0,0.7272727272727273,0.7727272727272727,0.75,0.010171000001719221,0.002290700009325519,8.81856990000233,9.570898100006161,211.515625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,18.857317036251885,False,a41f10e4353f1f6273966ac67eaa755faffc00cd9682c72ae8aa1c93cb9b05a1,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,16.0,17.0,17.0,coverage_extension single observation,,,
protein:1o7j.a__1wls.a:a0.5|Independent discrete,14,protein,1o7j.a__1wls.a,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1wls.a.npz,3e35280d1c981235ff03ba1f9960677a0de32ad9561d8e22a7cb9de8e5677ecb,Independent discrete,0.5,9.476499139682725,10.90332274065674,15.999722568438287,new,output\paper_v1\coverage_extension\slots\14\attempts\coverage14_aa74ac1027974521b27b4c9499a16871,validated,True,False,20.0,21.0,21.0,0.9090909090909091,0.9545454545454546,0.9318181818181818,0.006708000000799075,0.0030450000194832683,7.116973199998029,7.784466799988877,193.93359375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,15.999722568438287,True,fa842fa4ed161adcb44427d201742fb47985bf6f8c52c0d36068af73b4e3fd75,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,20.0,21.0,21.0,coverage_extension single observation,,,
protein:1o7j.a__1wls.a:a0.5|CPS-2F,15,protein,1o7j.a__1wls.a,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1wls.a.npz,3e35280d1c981235ff03ba1f9960677a0de32ad9561d8e22a7cb9de8e5677ecb,CPS-2F,0.5,9.476499139682725,10.90332274065674,15.999722568438287,new,output\paper_v1\coverage_extension\slots\15\attempts\coverage15_6d6dba71c8234043ad070d96c7f676bc,validated,True,False,18.0,18.0,18.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.603869799990207,0.0028637000068556517,9.9475584999891,11.247605300013674,220.046875,3412.0,351474.0,3412.0,3411.0,0.0,2.0,True,configuration_graph,True,validated,,15.999722568438287,True,84cac3086e5a4fdaf7468e12bfb197d89fb3c9af3f0aa0b767c7247ec13bdb8b,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,18.0,18.0,18.0,coverage_extension single observation,,,
protein:1o7j.a__1wls.a:a0.5|CPS-3F,16,protein,1o7j.a__1wls.a,22,22,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1wls.a.npz,3e35280d1c981235ff03ba1f9960677a0de32ad9561d8e22a7cb9de8e5677ecb,CPS-3F,0.5,9.476499139682725,10.90332274065674,15.999722568438287,new,output\paper_v1\coverage_extension\slots\16\attempts\coverage16_bf733beeb810407eb88685f8227c4df5,validated,True,False,20.0,21.0,21.0,0.9090909090909091,0.9545454545454546,0.9318181818181818,0.02721270002075471,0.003433399979257956,8.157968600018648,8.896990000008373,194.546875,83.0,226.0,83.0,82.0,0.0,2.0,True,configuration_graph,True,validated,,15.999722568438287,True,09eab04c68788c79232b4276800682915d804aef1608cd64f59628d0a429f6b5,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,20.0,21.0,21.0,coverage_extension single observation,,,
protein:1o7j.a__2eq5.a:a0.5|Independent continuous,17,protein,1o7j.a__2eq5.a,22,15,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2eq5.a.npz,4c34d1b8d5160e061ace244753add2bf13b3efd79790e7d9a6b314d589819d0b,Independent continuous,0.5,9.476499139682725,9.378431832248056,41.74655581235364,new,output\paper_v1\coverage_extension\slots\17\attempts\coverage17_2b267a35c7a64366acef9698b042dc8e,validated,True,False,16.0,12.0,16.0,0.7272727272727273,0.8,0.7567567567567568,0.009458400018047541,0.0024744999827817082,11.2205527999904,11.966325399989728,211.44921875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,41.74655581235364,True,fc15ebf701e8e0a15b109d9141b78a3465fee466de0d5c1267e0decdcf931a92,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,16.0,12.0,16.0,coverage_extension single observation,,,
protein:1o7j.a__2eq5.a:a0.5|Independent discrete,18,protein,1o7j.a__2eq5.a,22,15,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2eq5.a.npz,4c34d1b8d5160e061ace244753add2bf13b3efd79790e7d9a6b314d589819d0b,Independent discrete,0.5,9.476499139682725,9.378431832248056,41.74655581235364,new,output\paper_v1\coverage_extension\slots\18\attempts\coverage18_03de6fceb50e42609b8733fb13512a76,validated,True,False,20.0,14.0,20.0,0.9090909090909091,0.9333333333333333,0.918918918918919,0.006875699997181073,0.0028621999954339117,6.733860499982256,7.383485800004564,194.3125,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,41.74655581235364,True,54608d78144859fa3fd93abe7d6c63a4373190067812a2690c38992591805f16,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,20.0,14.0,20.0,coverage_extension single observation,,,
protein:1o7j.a__2eq5.a:a0.5|CPS-2F,19,protein,1o7j.a__2eq5.a,22,15,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2eq5.a.npz,4c34d1b8d5160e061ace244753add2bf13b3efd79790e7d9a6b314d589819d0b,CPS-2F,0.5,9.476499139682725,9.378431832248056,41.74655581235364,new,output\paper_v1\coverage_extension\slots\19\attempts\coverage19_2a8ba5eb34294f84ab6d2c2c6d7fce1b,validated,True,False,16.0,12.0,16.0,0.7272727272727273,0.8,0.7567567567567568,1.9129458999959752,0.002332599979126826,10.510981699975673,13.173782500001835,223.359375,9606.0,1468313.0,9606.0,9605.0,0.0,2.0,True,configuration_graph,True,validated,,41.74655581235364,True,43500c90272589b1f1c003fe16004fe5e4151a939d8481020b7cb15871260f5c,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,16.0,12.0,16.0,coverage_extension single observation,,,
protein:1o7j.a__2eq5.a:a0.5|CPS-3F,20,protein,1o7j.a__2eq5.a,22,15,angstrom,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2eq5.a.npz,4c34d1b8d5160e061ace244753add2bf13b3efd79790e7d9a6b314d589819d0b,CPS-3F,0.5,9.476499139682725,9.378431832248056,41.74655581235364,new,output\paper_v1\coverage_extension\slots\20\attempts\coverage20_892755f8079b42358bd7ac263683db50,validated,True,False,20.0,14.0,20.0,0.9090909090909091,0.9333333333333333,0.918918918918919,0.025823500007390976,0.0021696999901905656,6.718667200009804,7.437381199997617,196.8359375,376.0,1550.0,376.0,375.0,0.0,2.0,True,configuration_graph,True,validated,,41.74655581235364,True,e903cc0cccd89612fa842edb0d4e04dab253161dc6132cb8780f51fcda34e883,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,20.0,14.0,20.0,coverage_extension single observation,,,
