configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
protein:1o7j.a__4eca.b:a0.5|CPS-3F,protein,1o7j.a__4eca.b,0.5,CPS-3F,validated,109.0,234256.0,0.04653029164674544,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__4eca.c:a0.5|CPS-2F,protein,1o7j.a__4eca.c,0.5,CPS-2F,validated,2448.0,433139344.0,0.0005651760879981385,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__4eca.c:a0.5|CPS-3F,protein,1o7j.a__4eca.c,0.5,CPS-3F,validated,109.0,234256.0,0.04653029164674544,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1wls.a:a0.5|CPS-2F,protein,1o7j.a__1wls.a,0.5,CPS-2F,validated,3412.0,433139344.0,0.0007877372599059023,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1wls.a:a0.5|CPS-3F,protein,1o7j.a__1wls.a,0.5,CPS-3F,validated,83.0,234256.0,0.035431322997063044,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__2eq5.a:a0.5|CPS-2F,protein,1o7j.a__2eq5.a,0.5,CPS-2F,validated,9606.0,135798300.0,0.0070737262543050985,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__2eq5.a:a0.5|CPS-3F,protein,1o7j.a__2eq5.a,0.5,CPS-3F,validated,376.0,108900.0,0.34527089072543615,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__2zsk.a:a0.5|CPS-2F,protein,1o7j.a__2zsk.a,0.5,CPS-2F,validated,10795.0,165164032.0,0.006535926659867446,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__2zsk.a:a0.5|CPS-3F,protein,1o7j.a__2zsk.a,0.5,CPS-3F,validated,389.0,123904.0,0.3139527376033058,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1zq1.a:a0.5|CPS-2F,protein,1o7j.a__1zq1.a,0.5,CPS-2F,validated,27689.0,997664844.0,0.0027753809474717742,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1zq1.a:a0.5|CPS-3F,protein,1o7j.a__1zq1.a,0.5,CPS-3F,validated,1039.0,407044.0,0.25525496015172805,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__2fep.a:a0.5|CPS-2F,protein,1o7j.a__2fep.a,0.5,CPS-2F,validated,14822.0,236008080.0,0.0062802934543596985,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__2fep.a:a0.5|CPS-3F,protein,1o7j.a__2fep.a,0.5,CPS-3F,validated,440.0,156816.0,0.28058361391694725,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
