configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,base_configuration_id,repetition,block_id,termination_reason,optional_measurement_status,configuration_sha256,raw_kA,raw_kB,raw_k,objective_consistency
protein:1o7j.a__1d9q.d:a0.5|CPS-2F|repetition1,11,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-2F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,new,output\paper_v1\expanded_comparison\timing_study\slots\11\attempts\timing011_92955b14c2df45d8b4bf377aa3a4f8ba,validated,True,False,16.0,15.0,16.0,0.7272727272727273,0.6818181818181818,0.7045454545454546,7.021764400007669,0.006333600002108142,9.172764699993422,19.82888310000999,242.390625,22004.0,6617064.0,22004,22003,0.0,2,True,configuration_graph,True,validated,,47.96448297438429,True,375960148a4116dd8d4f243c3b67206fc64c6812c3bc6599323bff016947f7d3,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,protein:1o7j.a__1d9q.d:a0.5|CPS-2F,1,r1:1o7j.a__1d9q.d,validated,completed,7b48077deaffa42ee7a88afe5bdbf2941c913781e572d378a3ae329f3e4d5643,16.0,15.0,16.0,agrees_with_primary
protein:1o7j.a__1d9q.d:a0.5|CPS-3F|repetition1,12,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-3F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,new,output\paper_v1\expanded_comparison\timing_study\slots\12\attempts\timing012_2f895fc7d7634d7889d4728572b9e0f6,validated,True,False,20.0,19.0,20.0,0.9090909090909091,0.8636363636363636,0.8863636363636364,0.031105700007174164,0.0028725999873131514,6.640099400014151,10.570208599994658,216.71484375,669.0,3170.0,669,668,0.0,2,True,configuration_graph,True,validated,,47.96448297438429,True,a67cc4229db5a6ee6461d1871f8497a49cb3cd32e59c9e711a96a4281f09516a,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,protein:1o7j.a__1d9q.d:a0.5|CPS-3F,1,r1:1o7j.a__1d9q.d,validated,completed,09da46f66c6f385e0b63853aff5b6d96c71b188d1a24e8b11cb5fca255d6e957,20.0,19.0,20.0,agrees_with_primary
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition1,13,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent continuous,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,new,output\paper_v1\expanded_comparison\timing_study\slots\13\attempts\timing013_bb25fc5267e64b05a2cd916b1e685360,validated,True,False,16.0,16.0,16.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.010239600000204518,0.002338399994187057,8.973726500000339,12.147162900015246,230.05078125,,,0,0,,0,False,independent_optimization,True,validated,,0.9993252723713151,True,70cf6f79f5ef4c08db3bcfce15f2950219837561ef6cc95df3a1c59a6c3cf827,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,protein:1o7j.a__1hfj.c:a0.5|Independent continuous,1,r1:1o7j.a__1hfj.c,validated,completed,b9a51752f23752e28f087201d98b34d46cbb998569c85b7bcf373b928f2f478b,16.0,16.0,16.0,agrees_with_primary
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition1,14,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent discrete,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,new,output\paper_v1\expanded_comparison\timing_study\slots\14\attempts\timing014_dc8325fe6ac343b49fe136d8a1f97501,validated,True,False,20.0,20.0,20.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.009255299984943122,0.0033292000007349998,6.844105199998012,10.681435099977534,215.6953125,,,0,0,,0,False,independent_optimization,True,validated,,0.9993252723713151,True,8ece78d097f319d937bfbb015f1ab4529ad2191faeddc7430eba0b2c070e9670,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,protein:1o7j.a__1hfj.c:a0.5|Independent discrete,1,r1:1o7j.a__1hfj.c,validated,completed,5d764045def44d9d2d6d43e6be8acc926869264e0ea207109b5b9ac68890d6dd,20.0,20.0,20.0,agrees_with_primary
protein:1o7j.a__1hfj.c:a0.5|CPS-2F|repetition1,15,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-2F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,new,output\paper_v1\expanded_comparison\timing_study\slots\15\attempts\timing015_9fd298c018b0408a88f837f7bda657b1,validated,True,False,16.0,16.0,16.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.38562050001928583,0.0025645999994594604,12.221793200005777,16.125700199976563,233.44921875,1273.0,168920.0,1273,1272,0.0,2,True,configuration_graph,True,validated,,0.9993252723713151,True,4c7dc3da062d21ca4040c9615722e27956b8fe84c3d6dd50715b30cc5bad0597,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,protein:1o7j.a__1hfj.c:a0.5|CPS-2F,1,r1:1o7j.a__1hfj.c,validated,completed,122a2843ef4ace21472aa77f29501d6c2c89d210949f327c461648c5e795ee1d,16.0,16.0,16.0,agrees_with_primary
protein:1o7j.a__1hfj.c:a0.5|CPS-3F|repetition1,16,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-3F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,new,output\paper_v1\expanded_comparison\timing_study\slots\16\attempts\timing016_2f702bd5c05741d79a595ce58d63f3ea,validated,True,False,20.0,20.0,20.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.025445700011914596,0.0030457999964710325,6.93393329999526,10.697278400009964,215.65625,42.0,108.0,42,41,0.0,2,True,configuration_graph,True,validated,,0.9993252723713151,True,8e187292b493969d51dfed3351ced3636380a44b2e03c89a57c7395596937baf,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,protein:1o7j.a__1hfj.c:a0.5|CPS-3F,1,r1:1o7j.a__1hfj.c,validated,completed,82cb01184eee1be2368d6bf1f74b2d404edf97ccd7f934845d46e5529690da08,20.0,20.0,20.0,agrees_with_primary
protein:1o7j.a__1qd1.b:a0.5|Independent continuous|repetition1,17,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent continuous,0.5,9.476499139682725,10.890797290213742,35.978995691931146,new,output\paper_v1\expanded_comparison\timing_study\slots\17\attempts\timing017_c0375172756848ceafc5944be4f76a79,validated,True,False,16.0,20.0,20.0,0.7272727272727273,0.9090909090909091,0.8181818181818182,0.009117099980358034,0.0031648000003769994,8.99300679998123,12.144583500019507,229.66015625,,,0,0,,0,False,independent_optimization,True,validated,,35.978995691931146,True,6e17ccec730dd5a0009a7e2f23e57c2f532e51b50fe811481525f84d970a3939,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,protein:1o7j.a__1qd1.b:a0.5|Independent continuous,1,r1:1o7j.a__1qd1.b,validated,completed,7fbee48331d84cd70cad4b54baa8e8834f26e2565c64e5fc9cc677c2410f557c,16.0,20.0,20.0,agrees_with_primary
protein:1o7j.a__1qd1.b:a0.5|Independent discrete|repetition1,18,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent discrete,0.5,9.476499139682725,10.890797290213742,35.978995691931146,new,output\paper_v1\expanded_comparison\timing_study\slots\18\attempts\timing018_e2acd20ee8464abca4e7ea794434efb8,validated,True,False,20.0,20.0,20.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.006517900008475408,0.005782299995189533,6.644285800022772,10.753708900010679,214.92578125,,,0,0,,0,False,independent_optimization,True,validated,,35.978995691931146,True,68b358273912cd84ac07a08bac50672c162011230afe3dacf19d5605a7850bad,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,protein:1o7j.a__1qd1.b:a0.5|Independent discrete,1,r1:1o7j.a__1qd1.b,validated,completed,c3da7037090132c24a754f6c1d8292dcd7189e89ca0283eca90baa7142ab3a24,20.0,20.0,20.0,agrees_with_primary
protein:1o7j.a__1qd1.b:a0.5|CPS-2F|repetition1,19,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-2F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,new,output\paper_v1\expanded_comparison\timing_study\slots\19\attempts\timing019_a971951774f74c68a8ca0faedca0b421,validated,True,False,16.0,20.0,20.0,0.7272727272727273,0.9090909090909091,0.8181818181818182,4.28347280001617,0.00301059999037534,10.831944100005785,18.343110799993156,237.7578125,18848.0,3486971.0,18848,18847,0.0,2,True,configuration_graph,True,validated,,35.978995691931146,True,4cb16e5862dfacb2591d6c6832f3b85da0dc2f435f6fc01abd39c02cd21e5cad,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,protein:1o7j.a__1qd1.b:a0.5|CPS-2F,1,r1:1o7j.a__1qd1.b,validated,completed,a010567320a2fb052bbd33a096192f594b7590feccdabcbd2c6b948b627485d9,16.0,20.0,20.0,agrees_with_primary
protein:1o7j.a__1qd1.b:a0.5|CPS-3F|repetition1,20,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-3F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,new,output\paper_v1\expanded_comparison\timing_study\slots\20\attempts\timing020_cfb56118975441eba348021ea9d4503f,validated,True,False,20.0,20.0,20.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.02940680002211593,0.003028700011782348,7.12626829999499,10.88037389999954,215.65625,563.0,2448.0,563,562,0.0,2,True,configuration_graph,True,validated,,35.978995691931146,True,ff5d7c548898aec2a7daae87283c5e7d65dd942341733c904bbcc16124d4ab8b,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,protein:1o7j.a__1qd1.b:a0.5|CPS-3F,1,r1:1o7j.a__1qd1.b,validated,completed,18eb124e8114e41d48da7588e09f8eec0ceba5e80523ff415f65fe4f6320d179,20.0,20.0,20.0,agrees_with_primary
