configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,base_configuration_id,repetition,block_id,reuse_path
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition1,13,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent continuous,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|Independent continuous,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition1,14,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent discrete,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|Independent discrete,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|CPS-2F|repetition1,15,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-2F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|CPS-2F,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|CPS-3F|repetition1,16,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-3F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|CPS-3F,1,r1:1o7j.a__1hfj.c,
protein:1o7j.a__1qd1.b:a0.5|Independent continuous|repetition1,17,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent continuous,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|Independent continuous,1,r1:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|Independent discrete|repetition1,18,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent discrete,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|Independent discrete,1,r1:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|CPS-2F|repetition1,19,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-2F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|CPS-2F,1,r1:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|CPS-3F|repetition1,20,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-3F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|CPS-3F,1,r1:1o7j.a__1qd1.b,
protein:1o7j.a__4eca.d:a0.5|Independent continuous|repetition1,21,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,Independent continuous,0.5,9.476499139682725,8.78100160685718,15.364049921814237,protein:1o7j.a__4eca.d:a0.5|Independent continuous,1,r1:1o7j.a__4eca.d,
protein:1o7j.a__4eca.d:a0.5|Independent discrete|repetition1,22,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,Independent discrete,0.5,9.476499139682725,8.78100160685718,15.364049921814237,protein:1o7j.a__4eca.d:a0.5|Independent discrete,1,r1:1o7j.a__4eca.d,
protein:1o7j.a__4eca.d:a0.5|CPS-2F|repetition1,23,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,CPS-2F,0.5,9.476499139682725,8.78100160685718,15.364049921814237,protein:1o7j.a__4eca.d:a0.5|CPS-2F,1,r1:1o7j.a__4eca.d,
protein:1o7j.a__4eca.d:a0.5|CPS-3F|repetition1,24,protein,1o7j.a__4eca.d,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__4eca.d.npz,926bd75812d2daa4cb742c7dbd881611b05dc2d93343e85c35a1267077868b86,CPS-3F,0.5,9.476499139682725,8.78100160685718,15.364049921814237,protein:1o7j.a__4eca.d:a0.5|CPS-3F,1,r1:1o7j.a__4eca.d,
protein:1o7j.a__1toh.a:a0.5|Independent continuous|repetition1,25,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,Independent continuous,0.5,9.476499139682725,10.346278485309295,37.12846564295379,protein:1o7j.a__1toh.a:a0.5|Independent continuous,1,r1:1o7j.a__1toh.a,
protein:1o7j.a__1toh.a:a0.5|Independent discrete|repetition1,26,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,Independent discrete,0.5,9.476499139682725,10.346278485309295,37.12846564295379,protein:1o7j.a__1toh.a:a0.5|Independent discrete,1,r1:1o7j.a__1toh.a,
protein:1o7j.a__1toh.a:a0.5|CPS-2F|repetition1,27,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,CPS-2F,0.5,9.476499139682725,10.346278485309295,37.12846564295379,protein:1o7j.a__1toh.a:a0.5|CPS-2F,1,r1:1o7j.a__1toh.a,
protein:1o7j.a__1toh.a:a0.5|CPS-3F|repetition1,28,protein,1o7j.a__1toh.a,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1toh.a.npz,5e6a2b9a37b78ae69edb4d6f22281db5d47f278893cbaca092fc6164e9b8337e,CPS-3F,0.5,9.476499139682725,10.346278485309295,37.12846564295379,protein:1o7j.a__1toh.a:a0.5|CPS-3F,1,r1:1o7j.a__1toh.a,
hurricane:EP111954__EP021984:a0.5|Independent continuous|repetition1,29,hurricane,EP111954__EP021984,25,82,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,Independent continuous,0.5,62.59116991555275,21.5881714404469,411.7453872318912,hurricane:EP111954__EP021984:a0.5|Independent continuous,1,r1:EP111954__EP021984,
hurricane:EP111954__EP021984:a0.5|Independent discrete|repetition1,30,hurricane,EP111954__EP021984,25,82,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,Independent discrete,0.5,62.59116991555275,21.5881714404469,411.7453872318912,hurricane:EP111954__EP021984:a0.5|Independent discrete,1,r1:EP111954__EP021984,
hurricane:EP111954__EP021984:a0.5|CPS-2F|repetition1,31,hurricane,EP111954__EP021984,25,82,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,CPS-2F,0.5,62.59116991555275,21.5881714404469,411.7453872318912,hurricane:EP111954__EP021984:a0.5|CPS-2F,1,r1:EP111954__EP021984,
hurricane:EP111954__EP021984:a0.5|CPS-3F|repetition1,32,hurricane,EP111954__EP021984,25,82,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_EP111954__EP021984.npz,f6f69328452dbeb2c9b701abdb3760ce7a95f9de1a53ed1dcbd1261aa4023d20,CPS-3F,0.5,62.59116991555275,21.5881714404469,411.7453872318912,hurricane:EP111954__EP021984:a0.5|CPS-3F,1,r1:EP111954__EP021984,
hurricane:AL072006__AL011900:a0.5|Independent continuous|repetition1,33,hurricane,AL072006__AL011900,62,81,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_AL072006__AL011900.npz,d1c7ae57c312b1c5a78b6a809f85412f79e79e9cffd6209bda018544b7cd301f,Independent continuous,0.5,83.40813893161072,81.15849951823131,2969.784643498885,hurricane:AL072006__AL011900:a0.5|Independent continuous,1,r1:AL072006__AL011900,
hurricane:AL072006__AL011900:a0.5|Independent discrete|repetition1,34,hurricane,AL072006__AL011900,62,81,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_AL072006__AL011900.npz,d1c7ae57c312b1c5a78b6a809f85412f79e79e9cffd6209bda018544b7cd301f,Independent discrete,0.5,83.40813893161072,81.15849951823131,2969.784643498885,hurricane:AL072006__AL011900:a0.5|Independent discrete,1,r1:AL072006__AL011900,
hurricane:AL072006__AL011900:a0.5|CPS-2F|repetition1,35,hurricane,AL072006__AL011900,62,81,projected km,output\paper_v1\expanded_comparison\inputs\hurricane_AL072006__AL011900.npz,d1c7ae57c312b1c5a78b6a809f85412f79e79e9cffd6209bda018544b7cd301f,CPS-2F,0.5,83.40813893161072,81.15849951823131,2969.784643498885,hurricane:AL072006__AL011900:a0.5|CPS-2F,1,r1:AL072006__AL011900,
