pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason,max_length,length_ratio,size_quartile,ratio_group,stratum,reused_prior_storms,reused_current_storms,selection_order,tie_pool_size,blocked_reason,units,subsampling,alignment,source_files,input_file,input_sha256,s_A,s_B,delta3,delta1,delta2,source_hashes
AL091947__AL011953,"['AL091947', 'AL011953']",hurricane,atlantic,36,53,True,,53,1.4722222222222223,4,balanced,Q4_balanced,[],[],11,327,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL091947.txt', 'data/hurricanes/AL011953.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL091947__AL011953.npz,4031a8fd96ff75fa97fa22b47e517942f0d69918d5e7e816aeefb1b31df04589,104.59023871659679,65.83152079828271,1009.5226098832308,52.29511935829839,32.915760399141355,"{'data/hurricanes/AL091947.txt': '4b9182a971172f261c70d16fc35ac1a94c600300d8e23bc53f341972495571d7', 'data/hurricanes/AL011953.txt': '634630e285264108d751d3a9b6dc3901fe0357d1e2a1df94ea659b0bc6c3fdf2'}"
EP072011__EP092011,"['EP072011', 'EP092011']",hurricane,pacific,26,50,True,,50,1.9230769230769231,4,unequal,Q4_unequal,[],[],12,158,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP072011.txt', 'data/hurricanes/EP092011.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP072011__EP092011.npz,713b56e638ff3d937cd45d4d877fd079194042f824e2bf0397f43daf6fc357df,122.78021492356085,77.8484468764912,401.5857984622588,61.390107461780424,38.9242234382456,"{'data/hurricanes/EP072011.txt': 'df69e2cb6a029f39c9fbcc8823e6e1954b192f32a189c3b9f3fd207b432ab00e', 'data/hurricanes/EP092011.txt': 'd365e359375b1995928b85720a3aa412f21cb5d8f013722c3e6f02f16f8fdab4'}"
AL171980__AL112009,"['AL171980', 'AL112009']",hurricane,atlantic,25,31,True,,31,1.24,1,balanced,Q1_balanced,[],[],13,449,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL171980.txt', 'data/hurricanes/AL112009.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL171980__AL112009.npz,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,92.32473359636606,91.4119002334314,581.976309646647,46.16236679818303,45.7059501167157,"{'data/hurricanes/AL171980.txt': '9c8e72cb05da00755af4b8367b2c946947cfb000d60480c24803933a9effd370', 'data/hurricanes/AL112009.txt': '0ba6f2898305cf9caab178a079b145ad819e623dcc8d224c45a8fb27626b7f70'}"
AL102008__AL061989,"['AL102008', 'AL061989']",hurricane,atlantic,33,36,True,,36,1.0909090909090908,2,balanced,Q2_balanced,[],[],14,487,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL102008.txt', 'data/hurricanes/AL061989.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL102008__AL061989.npz,03522b5f4b1b9d80013b557a1f4bb0e1c36cd495e0a8eba67de65ca6b2db84e8,110.9811797488296,133.18694000677533,700.5236944883802,55.4905898744148,66.59347000338767,"{'data/hurricanes/AL102008.txt': 'e5a4b07af445d06bb31921e6dc1460893ae1d98607b735cd0af783b3a3855d63', 'data/hurricanes/AL061989.txt': 'df6fd888e9e05ea453f13a8963813fe69b637987de95d6cf10b4bbef3a917b6b'}"
EP102002__EP042014,"['EP102002', 'EP042014']",hurricane,pacific,31,42,True,,42,1.3548387096774193,3,balanced,Q3_balanced,[],[],15,326,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP102002.txt', 'data/hurricanes/EP042014.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP102002__EP042014.npz,c7e12ce495215ad4ea07cd2563504d9596457095f47999d9c2f0a69fe0758f68,91.96534968220297,66.08577732908188,408.6856459982538,45.982674841101485,33.04288866454094,"{'data/hurricanes/EP102002.txt': '5d3f8d3ffc493b7fd34e73463ec1b0f9ec8a4ec8b00d8dd26b0d40f5218db0cc', 'data/hurricanes/EP042014.txt': '4c139c95d9dab922e236517e57171f9bc2133129f2c3254d7bc9c559bee119fa'}"
EP032000__EP041975,"['EP032000', 'EP041975']",hurricane,pacific,27,41,True,,41,1.5185185185185186,3,unequal,Q3_unequal,[],[],16,65,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP032000.txt', 'data/hurricanes/EP041975.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP032000__EP041975.npz,4f61048028e7f2e99bbb36e29c5c6f0bd6dad7d99299932738a2ec913d7ea67a,109.48908961473481,85.7679098950281,654.008303422923,54.744544807367404,42.88395494751405,"{'data/hurricanes/EP032000.txt': '363189e1a492d50e87171d624bd4ab2c8991d31cde39273e74ddd569212619ed', 'data/hurricanes/EP041975.txt': '0ecaaf0aab8a6aa9efe8a525b5041d2ea85bfaa2463789255f6c6c44057a54a2'}"
EP081993__EP121989,"['EP081993', 'EP121989']",hurricane,pacific,56,45,True,,56,1.2444444444444445,4,balanced,Q4_balanced,[],[],17,319,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP081993.txt', 'data/hurricanes/EP121989.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP081993__EP121989.npz,4ac28373bff6ea6afc5eb44c48cbbb5bb19ff12c6caef7db2d6707a2952d1834,79.16976957910924,105.54077417664948,457.382013117886,39.58488478955462,52.77038708832474,"{'data/hurricanes/EP081993.txt': 'be2adc3181bda94176e758d15152b48b3babc0bef3a329f1d1f4365d660fee7b', 'data/hurricanes/EP121989.txt': 'd5ad4915c6c49b06495d9cdd535f416339cff9384383ad06d02231d90ccb4379'}"
EP032006__EP201992,"['EP032006', 'EP201992']",hurricane,pacific,27,69,True,,69,2.5555555555555554,4,unequal,Q4_unequal,[],[],18,138,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP032006.txt', 'data/hurricanes/EP201992.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP032006__EP201992.npz,a628134f9a46e9e7913c849105762a52bc7f7dbbf60d096ab68d220e7e118227,148.10669479379743,72.90513429127796,950.7159634797607,74.05334739689872,36.45256714563898,"{'data/hurricanes/EP032006.txt': '787779916dea7cec0f1f5b8bf8053425b3b5edf9a261e6f904a5a7e1cb906f9e', 'data/hurricanes/EP201992.txt': '9a0ba75db4e131cd64c961f16d92b2702219c2e7d5b424c780310c2bdbfd4c79'}"
AL022011__AL071977,"['AL022011', 'AL071977']",hurricane,atlantic,29,27,True,,29,1.0740740740740742,1,balanced,Q1_balanced,[],[],19,426,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/AL022011.txt', 'data/hurricanes/AL071977.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_AL022011__AL071977.npz,a69c2f5a77f296d5f57f506e9da0631ddc262a181f84e681436a40bcac9cca41,103.68780553888685,112.64014398527024,670.4440211411239,51.843902769443424,56.32007199263512,"{'data/hurricanes/AL022011.txt': '9c6312957c7503ab396c600883b816939d8f59877b27ef51c0ad3527ec12521c', 'data/hurricanes/AL071977.txt': '45ba5b14145317ed9de5a75b28c3fd741703290778a6eb176ae563c26177c88a'}"
EP101972__EP141967,"['EP101972', 'EP141967']",hurricane,pacific,29,37,True,,37,1.2758620689655173,2,balanced,Q2_balanced,[],[],20,474,,projected km,none; every supplied track vertex,unchanged shared basin frame,"['data/hurricanes/EP101972.txt', 'data/hurricanes/EP141967.txt']",output\paper_v1\hurricane_final_20\inputs\hurricane_EP101972__EP141967.npz,1136560945b718482100845d30314a5c97fde7b5a2ae428ea6275b9cbb457171,106.36766969073042,62.771052154136314,529.4905368904152,53.18383484536521,31.385526077068157,"{'data/hurricanes/EP101972.txt': 'd6b29d25fe039e03326fdc33dc05529ab8981be6d5ed75e83aab8a34f24241ac', 'data/hurricanes/EP141967.txt': 'bae50e7e3bc7dddba67ad380fbfc2389c3c2920d4940660a05178b81c1529c5c'}"
