pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
EP151967__EP011985,"['EP151967', 'EP011985']",hurricane,pacific,27,27,True,
EP151967__EP031984,"['EP151967', 'EP031984']",hurricane,pacific,27,36,True,
EP151967__EP032010,"['EP151967', 'EP032010']",hurricane,pacific,27,32,True,
EP151967__EP042002,"['EP151967', 'EP042002']",hurricane,pacific,27,30,True,
EP151967__EP051973,"['EP151967', 'EP051973']",hurricane,pacific,27,27,True,
EP151967__EP061982,"['EP151967', 'EP061982']",hurricane,pacific,27,32,True,
EP151967__EP072012,"['EP151967', 'EP072012']",hurricane,pacific,27,33,True,
EP151967__EP091971,"['EP151967', 'EP091971']",hurricane,pacific,27,35,True,
EP151967__EP092000,"['EP151967', 'EP092000']",hurricane,pacific,27,25,True,
EP151967__EP111975,"['EP151967', 'EP111975']",hurricane,pacific,27,37,True,
EP151967__EP112004,"['EP151967', 'EP112004']",hurricane,pacific,27,44,True,
EP151967__EP131986,"['EP151967', 'EP131986']",hurricane,pacific,27,28,True,
EP151967__EP131987,"['EP151967', 'EP131987']",hurricane,pacific,27,29,True,
EP151967__EP191982,"['EP151967', 'EP191982']",hurricane,pacific,27,27,True,
EP151967__EP231990,"['EP151967', 'EP231990']",hurricane,pacific,27,67,True,
EP151968__EP022008,"['EP151968', 'EP022008']",hurricane,pacific,35,37,True,
EP151968__EP031978,"['EP151968', 'EP031978']",hurricane,pacific,35,35,True,
EP151968__EP091982,"['EP151968', 'EP091982']",hurricane,pacific,35,30,True,
EP151968__EP122004,"['EP151968', 'EP122004']",hurricane,pacific,35,52,True,
EP151968__EP191990,"['EP151968', 'EP191990']",hurricane,pacific,35,35,True,
EP151982__EP062006,"['EP151982', 'EP062006']",hurricane,pacific,29,41,True,
EP151982__EP071972,"['EP151982', 'EP071972']",hurricane,pacific,29,37,True,
EP151982__EP091991,"['EP151982', 'EP091991']",hurricane,pacific,29,26,True,
EP151982__EP131983,"['EP151982', 'EP131983']",hurricane,pacific,29,34,True,
EP151982__EP142000,"['EP151982', 'EP142000']",hurricane,pacific,29,37,True,
EP151982__EP152015,"['EP151982', 'EP152015']",hurricane,pacific,29,40,True,
EP151982__EP181989,"['EP151982', 'EP181989']",hurricane,pacific,29,33,True,
EP151982__EP191985,"['EP151982', 'EP191985']",hurricane,pacific,29,37,True,
EP151985__EP091995,"['EP151985', 'EP091995']",hurricane,pacific,38,29,True,
EP151987__EP031959,"['EP151987', 'EP031959']",hurricane,pacific,28,25,True,
EP151989__EP051995,"['EP151989', 'EP051995']",hurricane,pacific,40,36,True,
EP151989__EP061982,"['EP151989', 'EP061982']",hurricane,pacific,40,32,True,
EP151989__EP071971,"['EP151989', 'EP071971']",hurricane,pacific,40,29,True,
EP151989__EP091972,"['EP151989', 'EP091972']",hurricane,pacific,40,33,True,
EP151989__EP101980,"['EP151989', 'EP101980']",hurricane,pacific,40,26,True,
EP151989__EP101983,"['EP151989', 'EP101983']",hurricane,pacific,40,31,True,
EP151989__EP101985,"['EP151989', 'EP101985']",hurricane,pacific,40,37,True,
EP151989__EP111975,"['EP151989', 'EP111975']",hurricane,pacific,40,37,True,
EP151989__EP112004,"['EP151989', 'EP112004']",hurricane,pacific,40,44,True,
EP151989__EP121968,"['EP151989', 'EP121968']",hurricane,pacific,40,37,True,
EP151989__EP131986,"['EP151989', 'EP131986']",hurricane,pacific,40,28,True,
EP151989__EP141997,"['EP151989', 'EP141997']",hurricane,pacific,40,34,True,
EP151989__EP151967,"['EP151989', 'EP151967']",hurricane,pacific,40,27,True,
EP151989__EP191982,"['EP151989', 'EP191982']",hurricane,pacific,40,27,True,
EP151989__EP212015,"['EP151989', 'EP212015']",hurricane,pacific,40,33,True,
EP151990__EP041978,"['EP151990', 'EP041978']",hurricane,pacific,36,29,True,
EP151990__EP091998,"['EP151990', 'EP091998']",hurricane,pacific,36,40,True,
EP151990__EP092012,"['EP151990', 'EP092012']",hurricane,pacific,36,47,True,
EP151990__EP121989,"['EP151990', 'EP121989']",hurricane,pacific,36,45,True,
EP151990__EP181985,"['EP151990', 'EP181985']",hurricane,pacific,36,46,True,
EP152001__EP031984,"['EP152001', 'EP031984']",hurricane,pacific,31,36,True,
EP152001__EP042002,"['EP152001', 'EP042002']",hurricane,pacific,31,30,True,
EP152001__EP081995,"['EP152001', 'EP081995']",hurricane,pacific,31,28,True,
EP152001__EP092011,"['EP152001', 'EP092011']",hurricane,pacific,31,50,True,
EP152001__EP151991,"['EP152001', 'EP151991']",hurricane,pacific,31,45,True,
EP152001__EP182014,"['EP152001', 'EP182014']",hurricane,pacific,31,36,True,
EP152001__EP231990,"['EP152001', 'EP231990']",hurricane,pacific,31,67,True,
EP152007__EP012015,"['EP152007', 'EP012015']",hurricane,pacific,50,40,True,
EP152007__EP061966,"['EP152007', 'EP061966']",hurricane,pacific,50,43,True,
EP152007__EP171994,"['EP152007', 'EP171994']",hurricane,pacific,50,31,True,
EP152008__EP202009,"['EP152008', 'EP202009']",hurricane,pacific,38,27,True,
EP152009__EP062015,"['EP152009', 'EP062015']",hurricane,pacific,38,38,True,
EP152014__EP022015,"['EP152014', 'EP022015']",hurricane,pacific,37,38,True,
EP152014__EP161968,"['EP152014', 'EP161968']",hurricane,pacific,37,31,True,
EP152014__EP192014,"['EP152014', 'EP192014']",hurricane,pacific,37,35,True,
EP161968__EP022015,"['EP161968', 'EP022015']",hurricane,pacific,31,38,True,
EP161968__EP091993,"['EP161968', 'EP091993']",hurricane,pacific,31,42,True,
EP161968__EP112006,"['EP161968', 'EP112006']",hurricane,pacific,31,32,True,
EP161968__EP152008,"['EP161968', 'EP152008']",hurricane,pacific,31,38,True,
EP161968__EP192014,"['EP161968', 'EP192014']",hurricane,pacific,31,35,True,
EP161970__EP011973,"['EP161970', 'EP011973']",hurricane,pacific,31,43,True,
EP161970__EP031998,"['EP161970', 'EP031998']",hurricane,pacific,31,36,True,
EP161970__EP041992,"['EP161970', 'EP041992']",hurricane,pacific,31,50,True,
EP161970__EP071978,"['EP161970', 'EP071978']",hurricane,pacific,31,29,True,
EP161970__EP091998,"['EP161970', 'EP091998']",hurricane,pacific,31,40,True,
EP161970__EP092012,"['EP161970', 'EP092012']",hurricane,pacific,31,47,True,
EP161970__EP151991,"['EP161970', 'EP151991']",hurricane,pacific,31,45,True,
EP161970__EP191984,"['EP161970', 'EP191984']",hurricane,pacific,31,33,True,
EP161971__EP011983,"['EP161971', 'EP011983']",hurricane,pacific,27,31,True,
EP161971__EP131976,"['EP161971', 'EP131976']",hurricane,pacific,27,40,True,
EP161971__EP171986,"['EP161971', 'EP171986']",hurricane,pacific,27,28,True,
EP161983__EP021949,"['EP161983', 'EP021949']",hurricane,pacific,26,25,True,
EP161983__EP031957,"['EP161983', 'EP031957']",hurricane,pacific,26,27,True,
EP161983__EP072007,"['EP161983', 'EP072007']",hurricane,pacific,26,34,True,
EP161983__EP092013,"['EP161983', 'EP092013']",hurricane,pacific,26,31,True,
EP161983__EP111967,"['EP161983', 'EP111967']",hurricane,pacific,26,27,True,
EP161983__EP141982,"['EP161983', 'EP141982']",hurricane,pacific,26,36,True,
EP161990__EP061988,"['EP161990', 'EP061988']",hurricane,pacific,55,49,True,
EP161990__EP111982,"['EP161990', 'EP111982']",hurricane,pacific,55,34,True,
EP161990__EP121985,"['EP161990', 'EP121985']",hurricane,pacific,55,42,True,
EP162003__EP012001,"['EP162003', 'EP012001']",hurricane,pacific,25,29,True,
EP162003__EP012002,"['EP162003', 'EP012002']",hurricane,pacific,25,31,True,
EP162003__EP012011,"['EP162003', 'EP012011']",hurricane,pacific,25,30,True,
EP162003__EP012012,"['EP162003', 'EP012012']",hurricane,pacific,25,26,True,
EP162003__EP111988,"['EP162003', 'EP111988']",hurricane,pacific,25,34,True,
EP162003__EP241990,"['EP162003', 'EP241990']",hurricane,pacific,25,41,True,
EP162005__EP181984,"['EP162005', 'EP181984']",hurricane,pacific,26,36,True,
EP162009__EP211992,"['EP162009', 'EP211992']",hurricane,pacific,30,40,True,
EP171982__EP031996,"['EP171982', 'EP031996']",hurricane,pacific,25,29,True,
EP171982__EP032015,"['EP171982', 'EP032015']",hurricane,pacific,25,32,True,
EP171983__EP071976,"['EP171983', 'EP071976']",hurricane,pacific,51,54,True,
EP171983__EP132015,"['EP171983', 'EP132015']",hurricane,pacific,51,63,True,
EP171984__EP011958,"['EP171984', 'EP011958']",hurricane,pacific,31,41,True,
EP171984__EP071984,"['EP171984', 'EP071984']",hurricane,pacific,31,30,True,
EP171984__EP132009,"['EP171984', 'EP132009']",hurricane,pacific,31,39,True,
EP171984__EP202009,"['EP171984', 'EP202009']",hurricane,pacific,31,27,True,
EP171984__EP212014,"['EP171984', 'EP212014']",hurricane,pacific,31,27,True,
EP171985__EP161985,"['EP171985', 'EP161985']",hurricane,pacific,45,53,True,
EP171986__EP161982,"['EP171986', 'EP161982']",hurricane,pacific,28,47,True,
EP171986__EP202009,"['EP171986', 'EP202009']",hurricane,pacific,28,27,True,
EP171987__EP021981,"['EP171987', 'EP021981']",hurricane,pacific,27,25,True,
EP171987__EP031984,"['EP171987', 'EP031984']",hurricane,pacific,27,36,True,
EP171987__EP042002,"['EP171987', 'EP042002']",hurricane,pacific,27,30,True,
EP171987__EP061984,"['EP171987', 'EP061984']",hurricane,pacific,27,27,True,
EP171987__EP071995,"['EP171987', 'EP071995']",hurricane,pacific,27,27,True,
EP171987__EP072007,"['EP171987', 'EP072007']",hurricane,pacific,27,34,True,
EP171987__EP072012,"['EP171987', 'EP072012']",hurricane,pacific,27,33,True,
EP171987__EP081980,"['EP171987', 'EP081980']",hurricane,pacific,27,30,True,
EP171987__EP092000,"['EP171987', 'EP092000']",hurricane,pacific,27,25,True,
EP171987__EP101983,"['EP171987', 'EP101983']",hurricane,pacific,27,31,True,
EP171987__EP111983,"['EP171987', 'EP111983']",hurricane,pacific,27,36,True,
EP171987__EP131987,"['EP171987', 'EP131987']",hurricane,pacific,27,29,True,
EP171987__EP182014,"['EP171987', 'EP182014']",hurricane,pacific,27,36,True,
EP171987__EP212015,"['EP171987', 'EP212015']",hurricane,pacific,27,33,True,
EP172000__EP031984,"['EP172000', 'EP031984']",hurricane,pacific,32,36,True,
EP172000__EP032011,"['EP172000', 'EP032011']",hurricane,pacific,32,29,True,
EP172000__EP032014,"['EP172000', 'EP032014']",hurricane,pacific,32,41,True,
EP172000__EP041953,"['EP172000', 'EP041953']",hurricane,pacific,32,25,True,
EP172000__EP061970,"['EP172000', 'EP061970']",hurricane,pacific,32,29,False,previously tested unordered pair
EP172000__EP061984,"['EP172000', 'EP061984']",hurricane,pacific,32,27,True,
EP172000__EP071995,"['EP172000', 'EP071995']",hurricane,pacific,32,27,True,
EP172000__EP072007,"['EP172000', 'EP072007']",hurricane,pacific,32,34,True,
EP172000__EP072012,"['EP172000', 'EP072012']",hurricane,pacific,32,33,True,
EP172000__EP081995,"['EP172000', 'EP081995']",hurricane,pacific,32,28,True,
EP172000__EP082012,"['EP172000', 'EP082012']",hurricane,pacific,32,35,True,
EP172000__EP111983,"['EP172000', 'EP111983']",hurricane,pacific,32,36,True,
EP172000__EP111995,"['EP172000', 'EP111995']",hurricane,pacific,32,41,True,
EP172000__EP112012,"['EP172000', 'EP112012']",hurricane,pacific,32,33,True,
EP172000__EP131974,"['EP172000', 'EP131974']",hurricane,pacific,32,27,True,
EP172000__EP171987,"['EP172000', 'EP171987']",hurricane,pacific,32,27,True,
EP172000__EP182014,"['EP172000', 'EP182014']",hurricane,pacific,32,36,True,
EP172009__EP122006,"['EP172009', 'EP122006']",hurricane,pacific,31,42,True,
EP172009__EP141991,"['EP172009', 'EP141991']",hurricane,pacific,31,42,True,
EP172009__EP142009,"['EP172009', 'EP142009']",hurricane,pacific,31,39,True,
EP172012__EP011993,"['EP172012', 'EP011993']",hurricane,pacific,26,34,True,
EP172013__EP111988,"['EP172013', 'EP111988']",hurricane,pacific,48,34,True,
EP172013__EP112012,"['EP172013', 'EP112012']",hurricane,pacific,48,33,True,
EP172013__EP182014,"['EP172013', 'EP182014']",hurricane,pacific,48,36,True,
EP172013__EP241990,"['EP172013', 'EP241990']",hurricane,pacific,48,41,True,
EP172014__EP042010,"['EP172014', 'EP042010']",hurricane,pacific,44,50,True,
EP181970__EP142003,"['EP181970', 'EP142003']",hurricane,pacific,29,28,True,
EP181970__EP142007,"['EP181970', 'EP142007']",hurricane,pacific,29,25,True,
EP181970__EP152005,"['EP181970', 'EP152005']",hurricane,pacific,29,31,True,
EP181982__EP011973,"['EP181982', 'EP011973']",hurricane,pacific,40,43,True,
EP181982__EP031998,"['EP181982', 'EP031998']",hurricane,pacific,40,36,True,
EP181982__EP041992,"['EP181982', 'EP041992']",hurricane,pacific,40,50,True,
EP181984__EP012011,"['EP181984', 'EP012011']",hurricane,pacific,36,30,True,
EP181984__EP032011,"['EP181984', 'EP032011']",hurricane,pacific,36,29,True,
EP181984__EP042010,"['EP181984', 'EP042010']",hurricane,pacific,36,50,True,
EP181984__EP091988,"['EP181984', 'EP091988']",hurricane,pacific,36,36,True,
EP181984__EP162003,"['EP181984', 'EP162003']",hurricane,pacific,36,25,True,
EP181984__EP172014,"['EP181984', 'EP172014']",hurricane,pacific,36,44,True,
EP181985__EP092012,"['EP181985', 'EP092012']",hurricane,pacific,46,47,True,
EP181989__EP022015,"['EP181989', 'EP022015']",hurricane,pacific,33,38,True,
EP181989__EP052015,"['EP181989', 'EP052015']",hurricane,pacific,33,45,True,
EP181989__EP062012,"['EP181989', 'EP062012']",hurricane,pacific,33,40,True,
EP181989__EP152015,"['EP181989', 'EP152015']",hurricane,pacific,33,40,True,
EP181989__EP192014,"['EP181989', 'EP192014']",hurricane,pacific,33,35,True,
EP191968__EP021999,"['EP191968', 'EP021999']",hurricane,pacific,33,32,True,
EP191968__EP031978,"['EP191968', 'EP031978']",hurricane,pacific,33,35,True,
EP191968__EP031994,"['EP191968', 'EP031994']",hurricane,pacific,33,29,True,
EP191968__EP032013,"['EP191968', 'EP032013']",hurricane,pacific,33,30,True,
EP191968__EP041966,"['EP191968', 'EP041966']",hurricane,pacific,33,38,True,
EP191968__EP052002,"['EP191968', 'EP052002']",hurricane,pacific,33,27,True,
EP191968__EP061981,"['EP191968', 'EP061981']",hurricane,pacific,33,27,True,
EP191968__EP081976,"['EP191968', 'EP081976']",hurricane,pacific,33,31,True,
EP191968__EP081993,"['EP191968', 'EP081993']",hurricane,pacific,33,56,True,
EP191968__EP101985,"['EP191968', 'EP101985']",hurricane,pacific,33,37,True,
EP191968__EP111985,"['EP191968', 'EP111985']",hurricane,pacific,33,36,True,
EP191968__EP121993,"['EP191968', 'EP121993']",hurricane,pacific,33,50,True,
EP191982__EP061982,"['EP191982', 'EP061982']",hurricane,pacific,27,32,True,
EP191982__EP101983,"['EP191982', 'EP101983']",hurricane,pacific,27,31,True,
EP191982__EP112004,"['EP191982', 'EP112004']",hurricane,pacific,27,44,True,
EP191982__EP131986,"['EP191982', 'EP131986']",hurricane,pacific,27,28,True,
EP191983__EP212014,"['EP191983', 'EP212014']",hurricane,pacific,34,27,True,
EP191984__EP092012,"['EP191984', 'EP092012']",hurricane,pacific,33,47,True,
EP191985__EP052015,"['EP191985', 'EP052015']",hurricane,pacific,37,45,True,
EP191985__EP062006,"['EP191985', 'EP062006']",hurricane,pacific,37,41,True,
EP191985__EP071972,"['EP191985', 'EP071972']",hurricane,pacific,37,37,True,
EP191985__EP091984,"['EP191985', 'EP091984']",hurricane,pacific,37,36,True,
EP191985__EP091991,"['EP191985', 'EP091991']",hurricane,pacific,37,26,True,
EP191985__EP101989,"['EP191985', 'EP101989']",hurricane,pacific,37,27,True,
EP191985__EP101990,"['EP191985', 'EP101990']",hurricane,pacific,37,38,True,
EP191985__EP111983,"['EP191985', 'EP111983']",hurricane,pacific,37,36,True,
EP191985__EP181989,"['EP191985', 'EP181989']",hurricane,pacific,37,33,True,
EP191990__EP141990,"['EP191990', 'EP141990']",hurricane,pacific,35,35,True,
EP192014__EP022015,"['EP192014', 'EP022015']",hurricane,pacific,35,38,True,
EP192014__EP062012,"['EP192014', 'EP062012']",hurricane,pacific,35,40,True,
EP192014__EP132009,"['EP192014', 'EP132009']",hurricane,pacific,35,39,True,
EP202009__EP011958,"['EP202009', 'EP011958']",hurricane,pacific,27,41,True,
EP202009__EP212014,"['EP202009', 'EP212014']",hurricane,pacific,27,27,True,
EP211990__EP152008,"['EP211990', 'EP152008']",hurricane,pacific,26,38,False,previously tested unordered pair
EP211990__EP161968,"['EP211990', 'EP161968']",hurricane,pacific,26,31,True,
EP211990__EP202009,"['EP211990', 'EP202009']",hurricane,pacific,26,27,True,
EP211992__EP032004,"['EP211992', 'EP032004']",hurricane,pacific,40,28,True,
EP211992__EP042014,"['EP211992', 'EP042014']",hurricane,pacific,40,42,True,
EP211992__EP091995,"['EP211992', 'EP091995']",hurricane,pacific,40,29,True,
EP211992__EP212015,"['EP211992', 'EP212015']",hurricane,pacific,40,33,True,
EP212006__EP022003,"['EP212006', 'EP022003']",hurricane,pacific,29,31,True,
EP212014__EP031974,"['EP212014', 'EP031974']",hurricane,pacific,27,61,True,
EP212015__EP031990,"['EP212015', 'EP031990']",hurricane,pacific,33,32,True,
EP212015__EP032010,"['EP212015', 'EP032010']",hurricane,pacific,33,32,True,
EP212015__EP072012,"['EP212015', 'EP072012']",hurricane,pacific,33,33,True,
EP212015__EP131986,"['EP212015', 'EP131986']",hurricane,pacific,33,28,True,
EP212015__EP152007,"['EP212015', 'EP152007']",hurricane,pacific,33,50,True,
EP212015__EP171994,"['EP212015', 'EP171994']",hurricane,pacific,33,31,True,
EP241990__EP031974,"['EP241990', 'EP031974']",hurricane,pacific,41,61,True,
EP241990__EP111988,"['EP241990', 'EP111988']",hurricane,pacific,41,34,True,
