pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
EP111993__EP231990,"['EP111993', 'EP231990']",hurricane,pacific,32,67,True,
EP111995__EP032014,"['EP111995', 'EP032014']",hurricane,pacific,41,41,False,previously tested unordered pair
EP111995__EP082012,"['EP111995', 'EP082012']",hurricane,pacific,41,35,True,
EP111995__EP112012,"['EP111995', 'EP112012']",hurricane,pacific,41,33,True,
EP111995__EP142014,"['EP111995', 'EP142014']",hurricane,pacific,41,35,True,
EP111995__EP182014,"['EP111995', 'EP182014']",hurricane,pacific,41,36,True,
EP112001__EP091959,"['EP112001', 'EP091959']",hurricane,pacific,48,31,True,
EP112001__EP091993,"['EP112001', 'EP091993']",hurricane,pacific,48,42,True,
EP112001__EP112006,"['EP112001', 'EP112006']",hurricane,pacific,48,32,True,
EP112001__EP132004,"['EP112001', 'EP132004']",hurricane,pacific,48,39,True,
EP112004__EP231990,"['EP112004', 'EP231990']",hurricane,pacific,44,67,True,
EP112006__EP091959,"['EP112006', 'EP091959']",hurricane,pacific,32,31,True,
EP112006__EP091993,"['EP112006', 'EP091993']",hurricane,pacific,32,42,True,
EP112006__EP132009,"['EP112006', 'EP132009']",hurricane,pacific,32,39,True,
EP112007__EP091993,"['EP112007', 'EP091993']",hurricane,pacific,30,42,True,
EP112007__EP112006,"['EP112007', 'EP112006']",hurricane,pacific,30,32,True,
EP112007__EP132004,"['EP112007', 'EP132004']",hurricane,pacific,30,39,True,
EP112007__EP132009,"['EP112007', 'EP132009']",hurricane,pacific,30,39,True,
EP112007__EP152008,"['EP112007', 'EP152008']",hurricane,pacific,30,38,True,
EP112007__EP152014,"['EP112007', 'EP152014']",hurricane,pacific,30,37,True,
EP112007__EP161968,"['EP112007', 'EP161968']",hurricane,pacific,30,31,True,
EP112007__EP192014,"['EP112007', 'EP192014']",hurricane,pacific,30,35,True,
EP112012__EP182014,"['EP112012', 'EP182014']",hurricane,pacific,33,36,True,
EP121968__EP071971,"['EP121968', 'EP071971']",hurricane,pacific,37,29,True,
EP121968__EP091971,"['EP121968', 'EP091971']",hurricane,pacific,37,35,True,
EP121968__EP091995,"['EP121968', 'EP091995']",hurricane,pacific,37,29,True,
EP121968__EP111975,"['EP121968', 'EP111975']",hurricane,pacific,37,37,True,
EP121968__EP112004,"['EP121968', 'EP112004']",hurricane,pacific,37,44,True,
EP121968__EP121991,"['EP121968', 'EP121991']",hurricane,pacific,37,46,True,
EP121968__EP131986,"['EP121968', 'EP131986']",hurricane,pacific,37,28,True,
EP121968__EP131987,"['EP121968', 'EP131987']",hurricane,pacific,37,29,True,
EP121968__EP151985,"['EP121968', 'EP151985']",hurricane,pacific,37,38,True,
EP121968__EP191982,"['EP121968', 'EP191982']",hurricane,pacific,37,27,True,
EP121970__EP061986,"['EP121970', 'EP061986']",hurricane,pacific,47,38,True,
EP121970__EP081976,"['EP121970', 'EP081976']",hurricane,pacific,47,31,True,
EP121970__EP111968,"['EP121970', 'EP111968']",hurricane,pacific,47,41,True,
EP121970__EP121989,"['EP121970', 'EP121989']",hurricane,pacific,47,45,True,
EP121976__EP141967,"['EP121976', 'EP141967']",hurricane,pacific,26,37,True,
EP121982__EP011980,"['EP121982', 'EP011980']",hurricane,pacific,26,28,True,
EP121982__EP022008,"['EP121982', 'EP022008']",hurricane,pacific,26,37,True,
EP121982__EP031971,"['EP121982', 'EP031971']",hurricane,pacific,26,27,True,
EP121982__EP051979,"['EP121982', 'EP051979']",hurricane,pacific,26,29,True,
EP121982__EP061991,"['EP121982', 'EP061991']",hurricane,pacific,26,25,True,
EP121982__EP081971,"['EP121982', 'EP081971']",hurricane,pacific,26,49,True,
EP121982__EP141990,"['EP121982', 'EP141990']",hurricane,pacific,26,35,True,
EP121982__EP261992,"['EP121982', 'EP261992']",hurricane,pacific,26,28,True,
EP121983__EP051973,"['EP121983', 'EP051973']",hurricane,pacific,34,27,True,
EP121983__EP071978,"['EP121983', 'EP071978']",hurricane,pacific,34,29,True,
EP121983__EP071987,"['EP121983', 'EP071987']",hurricane,pacific,34,28,True,
EP121983__EP071990,"['EP121983', 'EP071990']",hurricane,pacific,34,28,True,
EP121983__EP081978,"['EP121983', 'EP081978']",hurricane,pacific,34,32,True,
EP121983__EP082005,"['EP121983', 'EP082005']",hurricane,pacific,34,34,True,
EP121983__EP091971,"['EP121983', 'EP091971']",hurricane,pacific,34,35,True,
EP121983__EP091984,"['EP121983', 'EP091984']",hurricane,pacific,34,36,True,
EP121983__EP091995,"['EP121983', 'EP091995']",hurricane,pacific,34,29,True,
EP121983__EP092011,"['EP121983', 'EP092011']",hurricane,pacific,34,50,True,
EP121983__EP102002,"['EP121983', 'EP102002']",hurricane,pacific,34,31,True,
EP121983__EP102006,"['EP121983', 'EP102006']",hurricane,pacific,34,32,True,
EP121983__EP121968,"['EP121983', 'EP121968']",hurricane,pacific,34,37,True,
EP121983__EP131987,"['EP121983', 'EP131987']",hurricane,pacific,34,29,True,
EP121983__EP151985,"['EP121983', 'EP151985']",hurricane,pacific,34,38,True,
EP121985__EP111982,"['EP121985', 'EP111982']",hurricane,pacific,42,34,True,
EP121988__EP081976,"['EP121988', 'EP081976']",hurricane,pacific,38,31,True,
EP121988__EP081983,"['EP121988', 'EP081983']",hurricane,pacific,38,42,True,
EP121988__EP101986,"['EP121988', 'EP101986']",hurricane,pacific,38,44,True,
EP121988__EP121989,"['EP121988', 'EP121989']",hurricane,pacific,38,45,True,
EP121989__EP081976,"['EP121989', 'EP081976']",hurricane,pacific,45,31,True,
EP121989__EP161974,"['EP121989', 'EP161974']",hurricane,pacific,45,43,True,
EP121989__EP181985,"['EP121989', 'EP181985']",hurricane,pacific,45,46,True,
EP121991__EP061982,"['EP121991', 'EP061982']",hurricane,pacific,46,32,True,
EP121991__EP091971,"['EP121991', 'EP091971']",hurricane,pacific,46,35,True,
EP121991__EP151985,"['EP121991', 'EP151985']",hurricane,pacific,46,38,True,
EP121991__EP191982,"['EP121991', 'EP191982']",hurricane,pacific,46,27,True,
EP121993__EP032013,"['EP121993', 'EP032013']",hurricane,pacific,50,30,True,
EP121993__EP041966,"['EP121993', 'EP041966']",hurricane,pacific,50,38,True,
EP121993__EP061968,"['EP121993', 'EP061968']",hurricane,pacific,50,41,True,
EP121993__EP061981,"['EP121993', 'EP061981']",hurricane,pacific,50,27,True,
EP121993__EP091990,"['EP121993', 'EP091990']",hurricane,pacific,50,47,True,
EP122003__EP012015,"['EP122003', 'EP012015']",hurricane,pacific,38,40,True,
EP122003__EP031990,"['EP122003', 'EP031990']",hurricane,pacific,38,32,True,
EP122003__EP101996,"['EP122003', 'EP101996']",hurricane,pacific,38,46,True,
EP122003__EP132012,"['EP122003', 'EP132012']",hurricane,pacific,38,44,True,
EP122003__EP142005,"['EP122003', 'EP142005']",hurricane,pacific,38,33,True,
EP122007__EP042013,"['EP122007', 'EP042013']",hurricane,pacific,28,40,True,
EP122007__EP081996,"['EP122007', 'EP081996']",hurricane,pacific,28,29,True,
EP122007__EP142003,"['EP122007', 'EP142003']",hurricane,pacific,28,28,True,
EP122007__EP142007,"['EP122007', 'EP142007']",hurricane,pacific,28,25,True,
EP122007__EP181970,"['EP122007', 'EP181970']",hurricane,pacific,28,29,True,
EP122014__EP061965,"['EP122014', 'EP061965']",hurricane,pacific,48,41,True,
EP131967__EP152007,"['EP131967', 'EP152007']",hurricane,pacific,33,50,True,
EP131970__EP062011,"['EP131970', 'EP062011']",hurricane,pacific,27,29,True,
EP131970__EP092007,"['EP131970', 'EP092007']",hurricane,pacific,27,32,True,
EP131970__EP102015,"['EP131970', 'EP102015']",hurricane,pacific,27,36,True,
EP131971__EP092013,"['EP131971', 'EP092013']",hurricane,pacific,29,31,True,
EP131971__EP111995,"['EP131971', 'EP111995']",hurricane,pacific,29,41,True,
EP131971__EP141967,"['EP131971', 'EP141967']",hurricane,pacific,29,37,True,
EP131971__EP142007,"['EP131971', 'EP142007']",hurricane,pacific,29,25,True,
EP131971__EP181970,"['EP131971', 'EP181970']",hurricane,pacific,29,29,True,
EP131974__EP012002,"['EP131974', 'EP012002']",hurricane,pacific,27,31,True,
EP131974__EP031984,"['EP131974', 'EP031984']",hurricane,pacific,27,36,True,
EP131974__EP041953,"['EP131974', 'EP041953']",hurricane,pacific,27,25,True,
EP131974__EP061970,"['EP131974', 'EP061970']",hurricane,pacific,27,29,True,
EP131974__EP061984,"['EP131974', 'EP061984']",hurricane,pacific,27,27,True,
EP131974__EP072007,"['EP131974', 'EP072007']",hurricane,pacific,27,34,True,
EP131974__EP072012,"['EP131974', 'EP072012']",hurricane,pacific,27,33,True,
EP131974__EP092000,"['EP131974', 'EP092000']",hurricane,pacific,27,25,True,
EP131974__EP111995,"['EP131974', 'EP111995']",hurricane,pacific,27,41,True,
EP131974__EP112012,"['EP131974', 'EP112012']",hurricane,pacific,27,33,True,
