configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,validation_recovery_path,original_validation_seconds,original_limiting_phase,original_origin,observation_cohort,raw_kA,raw_kB,raw_k
protein:1o7j.a__1d9q.d:a1|CPS-3F,23,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-3F,1.0,18.95299827936545,20.20350417600859,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\23\attempts\slot23_b83adb2f114340e2b1e0482117050c66,validated,True,False,5.0,13.0,13.0,0.22727272727272727,0.5909090909090909,0.4090909090909091,0.3468277000065427,0.35955880000256,6.432332800002769,10.266192999988561,212.23828125,5038.0,131421.0,5038.0,5037.0,0.0,2.0,True,configuration_graph,True,validated,,47.96448297438429,True,eb3585c1b01508aff1a1dfe4564d906d76bec7f5f67594290a848026ffddcbaa,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,13.0,13.0
protein:1o7j.a__1d9q.d:a1|Independent continuous,24,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent continuous,1.0,18.95299827936545,20.20350417600859,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\24\attempts\slot24_31c363917f9e45649d2c0f71b859a6eb,validated,True,False,5.0,6.0,6.0,0.22727272727272727,0.2727272727272727,0.25,0.009043199999723583,2.0224007999931928,9.053696699993452,12.144261399982497,227.71484375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,47.96448297438429,True,d06c22543bada7fa8354f265eea224574bee77a48eb2d413f532dbdc50dee5dc,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,6.0,6.0
protein:1o7j.a__1hfj.c:a1|CPS-3F,29,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-3F,1.0,18.95299827936545,19.07576340534633,0.9993252723713152,reused,output\paper_v1\unified_pilot_results\slots\29\attempts\slot29_29c4c84cb8ba494c9ab2694cf23b39ac,validated,True,False,5.0,5.0,5.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.04356829999596812,0.3559338999912143,6.570836800005054,10.118433600000571,216.5625,456.0,3210.0,456.0,455.0,0.0,2.0,True,configuration_graph,True,validated,,0.4952938521726262,True,4f6b14fe2c0cb097b3bd99fe462ea0c15789127fd9bc44257b63d2ca1a947e6b,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,5.0,5.0
protein:1o7j.a__1hfj.c:a1|Independent continuous,30,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent continuous,1.0,18.95299827936545,19.07576340534633,0.9993252723713152,reused,output\paper_v1\unified_pilot_results\slots\30\attempts\slot30_2618baa29e824d7596b152cf9f99cb34,validated,True,False,5.0,5.0,5.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.009001599973998964,2.275797899987083,9.105637900007423,12.572776799992425,227.53515625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,0.9993252723713151,True,60c1c4f42547c64514d8d6a6a979a6e594f7c3d7c8bf436a359d7cca11a6d9aa,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,5.0,5.0
protein:1o7j.a__1hfj.c:a1|Independent discrete,31,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent discrete,1.0,18.95299827936545,19.07576340534633,0.9993252723713152,reused,output\paper_v1\unified_pilot_results\slots\31\attempts\slot31_ec99ae8c5e444220aca71081e41b28cc,validated,True,False,5.0,5.0,5.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.011062099976697937,0.33652250000159256,6.38586840001517,10.047320099984063,213.97265625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,0.4952938521726262,True,f60bb479f90116ae6dd897e38d5cda12cf5c3d38a6a537a3b97546c4a2cf32c7,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,,,,new,inherited unified pilot,5.0,5.0,5.0
protein:1o7j.a__1hfj.c:a1|CPS-2F,32,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-2F,1.0,18.95299827936545,19.07576340534633,0.9993252723713152,reused,output\paper_v1\protein_B_transitions_20m\attempts\B_59ec1647ee4e4a51828c60d087ccbbb5,transition_budget_limit,False,True,,,,,,,50.764502300007734,,18.471159400010947,70.51338620000752,325.8828125,57332.0,20000001.0,980.0,979.0,56352.0,2.0,True,configuration_graph,False,not_run_no_solver_output,solver / configuration_graph,,,,False,55.0,800000 main,transition_budget_limit,worker_exited,product transition budget exceeded,time_to_termination,transition_budget_limit,,,,reused,inherited unified pilot,,,
protein:1o7j.a__1qd1.b:a1|Independent continuous,37,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent continuous,1.0,18.95299827936545,21.781594580427484,35.978995691931146,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,N/A,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1qd1.b:a1|Independent discrete,38,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent discrete,1.0,18.95299827936545,21.781594580427484,35.978995691931146,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,,2000000 default,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1qd1.b:a1|CPS-2F,39,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-2F,1.0,18.95299827936545,21.781594580427484,35.978995691931146,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,55.0,800000 main,,,,,unexecuted,,,,,new expansion,,,
protein:1o7j.a__1qd1.b:a1|CPS-3F,40,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-3F,1.0,18.95299827936545,21.781594580427484,35.978995691931146,unexecuted,,unexecuted,False,False,,,,,,,,,,,,,,,,,,False,,False,not_run,,,,,False,55.0,800000 main; 2000000 preprocessing,,,,,unexecuted,,,,,new expansion,,,
