domain,method,termination_reason,count,denominator
hurricane,Independent continuous,validated,5,5
hurricane,Independent discrete,validated,5,5
hurricane,CPS-2F,validated,4,5
hurricane,CPS-3F,validated,5,5
protein,Independent continuous,validated,5,5
protein,Independent discrete,validated,5,5
protein,CPS-2F,validated,5,5
protein,CPS-3F,validated,5,5
hurricane,CPS-2F,transition_budget_limit,1,5
