curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
EP051973,EP152001,EMILY,1973,MANUEL,2001,pacific,27,31,3038.9,2919.0,2.8746,2.9444,2.0982,2.393,2.9444,2.393,414.87,414.53,0.1421
EP091988,EP032005,IVA,1988,CALVIN,2005,pacific,36,30,3148.6,3104.8,2.5953,2.7478,2.1418,2.3291,2.7478,2.3291,414.95,412.57,0.1336
EP101975,EP071978,JEWEL,1975,GILMA,1978,pacific,31,29,3215.6,3515.2,2.332,2.737,2.0541,2.2197,2.737,2.2197,415.08,415.72,0.1291
EP081978,EP111975,HECTOR,1978,KATRINA,1975,pacific,32,37,3427.7,3428.8,2.6082,2.8206,2.0779,2.1006,2.8206,2.1006,415.19,416.35,0.1211
EP081978,EP151989,HECTOR,1978,LORENA,1989,pacific,32,40,3427.7,3059.6,2.6082,2.6521,2.0779,2.0831,2.6521,2.0831,415.22,412.43,0.1357
EP021949,EP082012,UNNAMED,1949,HECTOR,2012,pacific,25,35,1932.2,1887.5,2.8231,4.5223,2.1257,3.8648,4.5223,3.8648,415.37,414.28,0.2201
EP111985,EP061982,KEVIN,1985,FABIO,1982,pacific,36,32,3463.1,3229.7,2.5263,2.8377,2.0471,2.0413,2.8377,2.0471,415.74,412.78,0.1287
EP091975,EP071978,ILSA,1975,GILMA,1978,pacific,35,29,3702.5,3515.2,2.4431,2.737,2.0773,2.2197,2.737,2.2197,416.02,412.91,0.1183
EP021949,EP112012,UNNAMED,1949,KRISTY,2012,pacific,25,33,1932.2,2644.4,2.8231,5.4589,2.1257,4.2784,5.4589,4.2784,416.15,414.71,0.2154
EP052001,EP051973,DALILA,2001,EMILY,1973,pacific,31,27,3162.7,3038.9,2.2173,2.8746,2.0093,2.0982,2.8746,2.0982,416.51,413.67,0.1371
EP141997,EP121968,LINDA,1997,LIZA,1968,pacific,34,37,2843.1,3210.0,2.7992,2.8112,2.0408,2.2138,2.8112,2.2138,416.76,418.35,0.1466
EP031968,EP032004,CELESTE,1968,BLAS,2004,pacific,27,28,2831.4,2945.4,2.2915,2.9286,2.0375,2.4932,2.9286,2.4932,416.84,414.43,0.1472
EP081988,EP052011,HECTOR,1988,EUGENE,2011,pacific,41,44,5063.3,4964.3,2.3108,2.3789,2.0445,2.0682,2.3789,2.0682,416.9,412.24,0.084
EP081991,EP191984,GUILLERMO,1991,SIMON,1984,pacific,28,33,3900.0,3895.8,2.2427,2.8192,2.0199,2.1999,2.8192,2.1999,416.91,418.76,0.107
EP041983,EP091971,DALILIA,1983,ILSA,1971,pacific,26,35,3053.3,3497.7,2.6498,2.876,2.0481,2.1304,2.876,2.1304,417.14,416.07,0.1366
AL041865,AL031875,UNNAMED,1865,UNNAMED,1875,atlantic,37,45,5093.3,5701.7,2.7947,4.2247,2.1844,3.5379,4.2247,3.5379,417.17,419.16,0.0819
AL051907,AL132012,UNNAMED,1907,MICHAEL,2012,atlantic,28,42,2590.6,3631.4,3.8568,4.5303,3.3304,3.9677,4.5303,3.9677,417.23,415.63,0.1611
EP181970,EP142003,SELMA,1970,NORA,2003,pacific,29,28,1775.3,1906.6,3.8382,3.9907,3.6881,3.2366,3.9907,3.6881,417.46,416.82,0.2351
EP051988,EP032010,EMILIA,1988,BLAS,2010,pacific,25,32,2012.1,2421.7,2.7627,6.4983,2.1367,5.883,6.4983,5.883,417.57,417.51,0.2075
EP071971,EP151985,GEORGETTE,1971,OLAF,1985,pacific,29,38,3063.9,3777.1,2.8533,2.9436,2.0997,2.377,2.9436,2.377,417.61,414.89,0.1363
EP151989,EP121968,LORENA,1989,LIZA,1968,pacific,40,37,3059.6,3210.0,2.6521,2.8112,2.0831,2.2138,2.8112,2.2138,417.76,423.18,0.1365
EP031968,EP071990,CELESTE,1968,FAUSTO,1990,pacific,27,28,2831.4,2874.0,2.2915,2.8029,2.0375,2.0342,2.8029,2.0375,417.82,417.4,0.1476
EP051973,EP042002,EMILY,1973,CRISTINA,2002,pacific,27,30,3038.9,2784.4,2.8746,2.9566,2.0982,2.2326,2.9566,2.2326,418.02,415.66,0.1501
EP032014,EP112012,CRISTINA,2014,KRISTY,2012,pacific,41,33,2223.0,2644.4,5.2152,5.4589,4.3298,4.2784,5.4589,4.3298,418.31,417.9,0.1882
EP101970,EP071954,JOYCE,1970,UNNAMED,1954,pacific,25,25,1771.5,2035.8,2.3989,2.8408,2.0277,2.3824,2.8408,2.3824,418.39,416.74,0.2362
EP072008,EP151991,FAUSTO,2008,MARTY,1991,pacific,33,45,3796.9,3787.0,2.8177,3.5044,2.0514,2.9298,3.5044,2.9298,418.42,419.61,0.1105
EP092002,EP061992,GENEVIEVE,2002,ESTELLE,1992,pacific,26,34,2291.9,3046.5,2.8155,2.9778,2.1319,2.2551,2.9778,2.2551,418.46,418.67,0.1826
EP031988,EP071973,CARLOTTA,1988,GLENDA,1973,pacific,28,25,2785.9,2916.4,2.411,2.6344,2.065,2.1244,2.6344,2.1244,418.48,418.12,0.1502
EP031957,EP142014,UNNAMED,1957,NORBERT,2014,pacific,27,35,2269.0,2287.0,2.9228,4.6331,2.1816,4.3671,4.6331,4.3671,418.48,420.52,0.1844
EP041953,EP032014,UNNAMED,1953,CRISTINA,2014,pacific,25,41,1778.2,2223.0,2.8063,5.2152,2.0843,4.3298,5.2152,4.3298,418.7,417.38,0.2355
EP112006,EP091959,JOHN,2006,UNNAMED,1959,pacific,32,31,2828.1,3358.2,2.9029,2.9587,2.1071,2.1888,2.9587,2.1888,419.15,416.53,0.1482
EP101989,EP071995,GIL,1989,FLOSSIE,1995,pacific,27,27,2425.7,1994.8,2.8082,2.8638,2.0463,2.0764,2.8638,2.0764,419.59,417.75,0.2103
EP082008,EP161974,GENEVIEVE,2008,PATRICIA,1974,pacific,40,43,4342.9,4820.8,2.2337,2.8964,2.0577,2.4476,2.8964,2.4476,419.59,420.48,0.0966
EP051951,EP041965,UNNAMED,1951,BERNICE,1965,pacific,29,31,3882.8,3270.7,2.3032,2.6861,2.0438,2.071,2.6861,2.071,419.6,416.49,0.1283
EP161970,EP011973,PATRICIA,1970,AVA,1973,pacific,31,43,3843.2,4230.9,2.5225,2.6463,2.0684,2.2613,2.6463,2.2613,419.96,419.6,0.1093
EP021985,EP041965,BLANCA,1985,BERNICE,1965,pacific,41,31,3470.3,3270.7,2.184,2.6861,2.0533,2.071,2.6861,2.071,420.11,417.0,0.1284
AL071996,AL102015,GUSTAV,1996,IDA,2015,atlantic,29,51,3162.5,4358.3,2.6691,5.6136,2.195,4.8217,5.6136,4.8217,420.41,417.84,0.1329
EP121983,EP091984,LORENA,1983,ISELLE,1984,pacific,34,36,2949.9,3422.5,2.3156,2.8124,2.0636,2.0841,2.8124,2.0841,420.43,417.6,0.1425
EP111983,EP181989,KIKO,1983,OCTAVE,1989,pacific,36,33,2531.4,3136.5,2.8347,2.9085,2.0963,2.3092,2.9085,2.3092,420.52,418.37,0.1661
AL061880,AL051924,UNNAMED,1880,UNNAMED,1924,atlantic,26,29,4028.3,4404.9,2.8371,2.8823,2.0214,2.5109,2.8823,2.5109,420.57,416.94,0.1044
EP032000,EP011976,CARLOTTA,2000,ANNETTE,1976,pacific,27,44,2846.7,2765.1,2.6326,4.5613,2.0333,4.0,4.5613,4.0,420.86,418.58,0.1522
EP101989,EP061984,GIL,1989,FAUSTO,1984,pacific,27,27,2425.7,1852.1,2.8082,2.8643,2.0463,2.1482,2.8643,2.1482,421.05,419.38,0.2273
EP031949,EP132003,UNNAMED,1949,MARTY,2003,pacific,25,31,1751.1,2213.3,4.2162,4.7409,3.8278,4.1061,4.7409,4.1061,421.17,420.56,0.2405
EP041981,EP031988,DORA,1981,CARLOTTA,1988,pacific,25,28,2550.6,2785.9,2.2209,2.411,2.0216,2.065,2.411,2.065,421.44,420.1,0.1652
EP031994,EP141991,CARLOTTA,1994,LINDA,1991,pacific,29,42,3133.7,2907.1,2.601,2.8388,2.0157,2.3671,2.8388,2.3671,421.69,419.4,0.1451
EP151967,EP111975,PRISCILLA,1967,KATRINA,1975,pacific,27,37,2883.9,3428.8,2.7901,2.8206,2.0918,2.1006,2.8206,2.1006,421.72,419.13,0.1462
EP041991,EP042013,DELORES,1991,DALILA,2013,pacific,26,40,1707.7,2195.3,3.0593,4.8817,2.6756,4.3965,4.8817,4.3965,421.78,421.39,0.247
EP152001,EP081995,MANUEL,2001,GIL,1995,pacific,31,28,2919.0,2562.3,2.9444,3.0351,2.393,2.3445,3.0351,2.393,421.97,422.7,0.1647
EP111954,EP041975,UNNAMED,1954,DENISE,1975,pacific,25,41,3004.4,3430.7,2.4601,3.506,2.0571,3.3506,3.506,3.3506,422.08,419.44,0.1405
EP081987,EP101990,HILARY,1987,ISELLE,1990,pacific,35,38,3655.6,3312.3,2.6461,3.3338,2.0357,2.8177,3.3338,2.8177,422.11,420.79,0.1274
AL011893,AL061904,UNNAMED,1893,UNNAMED,1904,atlantic,36,26,4782.1,4823.6,2.7081,2.8247,2.0145,2.1773,2.8247,2.1773,422.12,433.77,0.0883
EP021954,EP032010,UNNAMED,1954,BLAS,2010,pacific,25,32,2034.9,2421.7,2.5259,6.4983,2.0822,5.883,6.4983,5.883,422.41,420.66,0.2076
EP031966,EP161990,CONNIE,1966,MARIE,1990,pacific,39,55,3671.0,4374.9,2.2551,2.6101,2.0341,2.1778,2.6101,2.1778,422.49,418.98,0.1151
AL101878,AL121995,UNNAMED,1878,KAREN,1995,atlantic,28,31,3420.3,3951.5,2.7434,2.8893,2.0904,2.2392,2.8893,2.2392,422.8,420.64,0.1236
AL192011,AL102000,SEAN,2011,FLORENCE,2000,atlantic,27,29,2854.3,3246.1,4.262,5.9278,3.835,5.0304,5.9278,5.0304,422.84,421.5,0.1481
AL021867,AL031862,UNNAMED,1867,UNNAMED,1862,atlantic,28,34,5192.9,4217.1,2.9482,3.0809,2.2367,2.2487,3.0809,2.2487,423.09,422.85,0.1003
AL041911,AL062007,UNNAMED,1911,FELIX,2007,atlantic,38,28,4091.5,4171.3,2.137,2.6764,2.0209,2.0372,2.6764,2.0372,423.51,419.92,0.1035
EP111993,EP051973,JOVA,1993,EMILY,1973,pacific,32,27,2920.1,3038.9,2.2906,2.8746,2.0346,2.0982,2.8746,2.0982,423.7,423.86,0.1451
EP112001,EP091993,JULIETTE,2001,HILARY,1993,pacific,48,42,3777.4,3269.0,2.8275,5.238,2.3133,4.5742,5.238,4.5742,423.78,421.23,0.1296
EP051990,EP071971,ELIDA,1990,GEORGETTE,1971,pacific,26,29,3108.3,3063.9,2.5768,2.8533,2.0222,2.0997,2.8533,2.0997,423.93,427.73,0.1384
EP081958,EP131967,UNNAMED,1958,NANETTE,1967,pacific,27,33,1751.1,2387.1,2.153,3.4672,2.0223,3.0215,3.4672,3.0215,423.97,422.74,0.2421
EP101975,EP031988,JEWEL,1975,CARLOTTA,1988,pacific,31,28,3215.6,2785.9,2.332,2.411,2.0541,2.065,2.411,2.065,424.09,421.46,0.1522
EP091988,EP041965,IVA,1988,BERNICE,1965,pacific,36,31,3148.6,3270.7,2.5953,2.6861,2.1418,2.071,2.6861,2.1418,424.3,425.07,0.1348
EP102011,EP212014,JOVA,2011,VANCE,2014,pacific,30,27,2172.9,2503.4,3.3277,3.6423,3.1284,3.1069,3.6423,3.1284,424.53,423.56,0.1954
EP131990,EP031991,JULIO,1990,CARLOS,1991,pacific,32,45,4291.8,4480.9,2.1848,2.2153,2.0464,2.0679,2.2153,2.0679,424.69,431.63,0.099
EP031988,EP081978,CARLOTTA,1988,HECTOR,1978,pacific,28,32,2785.9,3427.7,2.411,2.6082,2.065,2.0779,2.6082,2.0779,425.41,422.81,0.1527
EP081958,EP041954,UNNAMED,1958,UNNAMED,1954,pacific,27,31,1751.1,2200.0,2.153,2.8026,2.0223,2.1983,2.8026,2.1983,425.87,424.2,0.2432
EP091975,EP092011,ILSA,1975,HILARY,2011,pacific,35,50,3702.5,3814.6,2.4431,3.078,2.0773,2.4882,3.078,2.4882,425.87,423.77,0.115
AL101886,AL111973,UNNAMED,1886,UNNAMED,1973,atlantic,25,25,2086.8,2088.5,2.8383,3.6241,2.3113,3.1901,3.6241,3.1901,426.21,424.78,0.2042
EP021954,EP061970,UNNAMED,1954,GRETCHEN,1970,pacific,25,29,2034.9,1593.8,2.5259,2.8371,2.0822,2.2234,2.8371,2.2234,426.33,425.04,0.2675
EP091975,EP091971,ILSA,1975,ILSA,1971,pacific,35,35,3702.5,3497.7,2.4431,2.876,2.0773,2.1304,2.876,2.1304,426.68,428.81,0.122
EP151989,EP101985,LORENA,1989,JIMENA,1985,pacific,40,37,3059.6,3442.1,2.6521,2.8299,2.0831,2.0681,2.8299,2.0831,426.8,427.49,0.1395
EP041981,EP021999,DORA,1981,BEATRIZ,1999,pacific,25,32,2550.6,3468.8,2.2209,2.5217,2.0216,2.0478,2.5217,2.0478,427.5,425.03,0.1676
EP091991,EP062006,HILDA,1991,EMILIA,2006,pacific,26,41,3276.4,3547.6,2.9094,3.0499,2.1219,2.4644,3.0499,2.4644,427.55,434.78,0.1305
EP021999,EP131986,BEATRIZ,1999,MADELINE,1986,pacific,32,28,3468.8,3514.4,2.5217,3.1286,2.0478,2.6228,3.1286,2.6228,427.84,425.05,0.1233
AL021878,AL091887,UNNAMED,1878,UNNAMED,1887,atlantic,45,47,4466.6,4967.3,2.824,2.8733,2.1208,2.1342,2.8733,2.1342,427.94,423.87,0.0958
EP071978,EP091976,GILMA,1978,IVA,1976,pacific,29,37,3515.2,3791.8,2.737,2.8339,2.2197,2.0686,2.8339,2.2197,427.97,424.93,0.1217
AL041944,AL011917,UNNAMED,1944,UNNAMED,1917,atlantic,32,33,4307.1,4454.7,2.5154,2.8545,2.0442,2.0615,2.8545,2.0615,427.99,425.65,0.0994
EP021983,EP141998,BARBARA,1983,LESTER,1998,pacific,38,47,3112.4,2956.3,3.1154,3.8813,2.2504,3.4825,3.8813,3.4825,428.02,427.72,0.1448
AL031937,AL051881,UNNAMED,1937,UNNAMED,1881,atlantic,39,37,3877.7,4026.0,2.9745,2.9785,2.1918,2.1353,2.9785,2.1918,428.95,425.42,0.1106
EP061997,EP092006,DOLORES,1997,HECTOR,2006,pacific,30,35,4000.0,3492.3,2.7788,2.9043,2.0358,2.1371,2.9043,2.1371,429.1,425.83,0.1229
EP082005,EP091971,HILARY,2005,ILSA,1971,pacific,34,35,3819.8,3497.7,2.7923,2.876,2.0646,2.1304,2.876,2.1304,429.11,426.0,0.1227
EP141978,EP091991,NORMAN,1978,HILDA,1991,pacific,30,26,3921.7,3276.4,2.7288,2.9094,2.2713,2.1219,2.9094,2.2713,429.12,426.33,0.131
AL031854,AL011991,UNNAMED,1854,ANA,1991,atlantic,25,25,4093.2,3936.8,2.7976,3.1256,2.4558,2.7865,3.1256,2.7865,429.21,426.18,0.109
EP102002,EP032004,HERNAN,2002,BLAS,2004,pacific,31,28,2759.0,2945.4,2.7955,2.9286,2.1277,2.4932,2.9286,2.4932,429.42,427.93,0.1556
EP131994,EP061988,KRISTY,1994,FABIO,1988,pacific,30,49,4376.1,4813.3,2.0672,2.7686,2.0178,2.0729,2.7686,2.0729,429.58,425.44,0.0982
EP131974,EP182014,MAGGIE,1974,RACHEL,2014,pacific,27,36,1971.7,2266.9,2.7761,5.7717,2.0592,5.3855,5.7717,5.3855,429.65,428.19,0.2179
AL101984,AL011962,DIANA,1984,ALMA,1962,atlantic,33,30,3383.2,4165.7,4.6905,6.2304,4.2191,5.3661,6.2304,5.3661,429.73,427.18,0.127
EP021954,EP051988,UNNAMED,1954,EMILIA,1988,pacific,25,25,2034.9,2012.1,2.5259,2.7627,2.0822,2.1367,2.7627,2.1367,429.78,428.0,0.2136
EP021983,EP021984,BARBARA,1983,BORIS,1984,pacific,38,82,3112.4,3497.3,3.1154,5.3132,2.2504,4.6325,5.3132,4.6325,430.03,429.2,0.1382
EP071987,EP032005,GREG,1987,CALVIN,2005,pacific,28,30,2828.1,3104.8,2.6188,2.7478,2.1336,2.3291,2.7478,2.3291,430.13,427.61,0.1521
EP052001,EP032000,DALILA,2001,CARLOTTA,2000,pacific,31,27,3162.7,2846.7,2.2173,2.6326,2.0093,2.0333,2.6326,2.0333,430.17,427.58,0.1511
EP071990,EP152015,FAUSTO,1990,LINDA,2015,pacific,28,40,2874.0,2904.4,2.8029,4.1596,2.0342,4.0,4.1596,4.0,430.21,430.68,0.1497
EP101970,EP142005,JOYCE,1970,NORMA,2005,pacific,25,33,1771.5,1963.6,2.3989,3.1656,2.0277,2.6365,3.1656,2.6365,430.25,429.06,0.2429
AL081880,AL051880,UNNAMED,1880,UNNAMED,1880,atlantic,32,40,3820.2,3645.2,3.0002,3.4721,2.6926,2.9975,3.4721,2.9975,430.43,428.41,0.1181
EP011958,EP212014,UNNAMED,1958,VANCE,2014,pacific,41,27,2326.6,2503.4,3.2245,3.6423,2.7701,3.1069,3.6423,3.1069,430.77,431.59,0.1852
EP072001,EP112003,FLOSSIE,2001,KEVIN,2003,pacific,28,28,1754.5,1786.9,3.4463,5.1945,3.2472,4.5271,5.1945,4.5271,430.96,430.01,0.2456
EP042002,EP031984,CRISTINA,2002,CRISTINA,1984,pacific,30,36,2784.4,2384.8,2.9566,3.018,2.2326,2.2487,3.018,2.2487,431.07,428.92,0.1808
EP171984,EP132009,POLO,1984,JIMENA,2009,pacific,31,39,2879.2,2906.7,2.9165,6.193,2.5596,5.1536,6.193,5.1536,431.18,430.45,0.1498
EP042006,EP031988,CARLOTTA,2006,CARLOTTA,1988,pacific,33,28,3342.9,2785.9,2.2134,2.411,2.0248,2.065,2.411,2.065,431.37,428.76,0.1548
EP081980,EP152015,HOWARD,1980,LINDA,2015,pacific,30,40,2637.3,2904.4,2.8224,4.1596,2.0695,4.0,4.1596,4.0,431.38,433.53,0.1636
EP172000,EP081995,OLIVIA,2000,GIL,1995,pacific,32,28,1858.6,2562.3,2.7196,3.0351,2.0964,2.3445,3.0351,2.3445,431.49,429.8,0.2322
EP051998,EP111978,DARBY,1998,KRISTY,1978,pacific,37,38,4740.7,4575.6,2.7258,2.9432,2.0306,2.1868,2.9432,2.1868,431.98,427.72,0.0944
AL011991,AL021906,ANA,1991,UNNAMED,1906,atlantic,25,41,3936.8,3992.9,3.1256,3.4963,2.7865,2.9904,3.4963,2.9904,432.22,441.79,0.1098
EP031984,EP212015,CRISTINA,1984,RICK,2015,pacific,36,33,2384.8,2656.5,3.018,3.0267,2.2487,2.7244,3.0267,2.7244,432.5,430.47,0.1814
EP091972,EP231990,IVA,1972,TRUDY,1990,pacific,33,67,2969.9,3867.9,2.7878,6.0575,2.1127,5.801,6.0575,5.801,432.65,429.93,0.1457
EP151990,EP041978,LOWELL,1990,DANIEL,1978,pacific,36,29,4377.3,4135.6,2.2636,2.4797,2.0759,2.0329,2.4797,2.0759,432.84,428.93,0.1047
EP031986,EP111983,CELIA,1986,KIKO,1983,pacific,25,36,2592.1,2531.4,2.7874,2.8347,2.0621,2.0963,2.8347,2.0963,432.84,430.48,0.171
EP041953,EP182014,UNNAMED,1953,RACHEL,2014,pacific,25,36,1778.2,2266.9,2.8063,5.7717,2.0843,5.3855,5.7717,5.3855,433.2,431.83,0.2436
EP031988,EP101983,CARLOTTA,1988,JULIETTE,1983,pacific,28,31,2785.9,2490.7,2.411,3.016,2.065,2.2648,3.016,2.2648,433.36,431.36,0.174
AL011965,AL041902,UNNAMED,1965,UNNAMED,1902,atlantic,29,44,4966.9,5460.9,2.6331,3.0676,2.0765,2.2624,3.0676,2.2624,433.48,429.14,0.0873
EP161970,EP041992,PATRICIA,1970,CELIA,1992,pacific,31,50,3843.2,4767.8,2.5225,2.7584,2.0684,2.1205,2.7584,2.1205,433.69,430.0,0.1128
EP171987,EP042002,RAMON,1987,CRISTINA,2002,pacific,27,30,2340.8,2784.4,2.8043,2.9566,2.0879,2.2326,2.9566,2.2326,433.9,431.78,0.1854
EP112007,EP132009,HENRIETTE,2007,JIMENA,2009,pacific,30,39,2676.4,2906.7,2.6406,6.193,2.103,5.1536,6.193,5.1536,434.11,432.22,0.1622
EP152001,EP231990,MANUEL,2001,TRUDY,1990,pacific,31,67,2919.0,3867.9,2.9444,6.0575,2.393,5.801,6.0575,5.801,434.12,431.84,0.1487
EP041976,EP041984,DIANA,1976,DOUGLAS,1984,pacific,30,48,4851.4,4736.7,2.2208,2.5588,2.0265,2.0351,2.5588,2.0351,434.16,436.53,0.0917
EP041979,EP121968,DOLORES,1979,LIZA,1968,pacific,27,37,3344.6,3210.0,2.8028,2.8112,2.0829,2.2138,2.8112,2.2138,434.3,431.61,0.1353
EP031988,EP091972,CARLOTTA,1988,IVA,1972,pacific,28,33,2785.9,2969.9,2.411,2.7878,2.065,2.1127,2.7878,2.1127,434.45,434.05,0.1559
EP151982,EP181989,OLIVIA,1982,OCTAVE,1989,pacific,29,33,3481.5,3136.5,2.7446,2.9085,2.2484,2.3092,2.9085,2.3092,434.64,431.99,0.1386
EP121983,EP102006,LORENA,1983,ILEANA,2006,pacific,34,32,2949.9,2634.7,2.3156,2.4888,2.0636,2.0755,2.4888,2.0755,435.02,432.58,0.1651
EP151968,EP022008,ORLA,1968,BORIS,2008,pacific,35,37,3312.7,3407.0,2.151,2.6251,2.0395,2.122,2.6251,2.122,435.23,433.89,0.1314
EP031965,EP141991,AVA,1965,LINDA,1991,pacific,25,42,2338.0,2907.1,2.305,2.8388,2.0339,2.3671,2.8388,2.3671,435.34,434.69,0.1862
EP071987,EP041983,GREG,1987,DALILIA,1983,pacific,28,26,2828.1,3053.3,2.6188,2.6498,2.1336,2.0481,2.6498,2.1336,435.81,433.34,0.1541
EP081988,EP121989,HECTOR,1988,ISMAEL,1989,pacific,41,45,5063.3,4643.8,2.3108,2.6377,2.0445,2.0802,2.6377,2.0802,436.0,437.29,0.0939
AL052005,AL021933,EMILY,2005,UNNAMED,1933,atlantic,45,53,6619.0,6837.5,2.7629,2.9188,2.0527,2.1956,2.9188,2.1956,436.21,436.37,0.0659
EP031968,EP041983,CELESTE,1968,DALILIA,1983,pacific,27,26,2831.4,3053.3,2.2915,2.6498,2.0375,2.0481,2.6498,2.0481,436.74,434.14,0.1542
AL051924,AL071879,UNNAMED,1924,UNNAMED,1879,atlantic,29,25,4404.9,4439.6,2.8823,2.9643,2.5109,2.375,2.9643,2.5109,436.91,433.27,0.0992
EP061970,EP142005,GRETCHEN,1970,NORMA,2005,pacific,29,33,1593.8,1963.6,2.8371,3.1656,2.2234,2.6365,3.1656,2.6365,437.19,438.68,0.2743
EP181985,EP092012,SANDRA,1985,ILEANA,2012,pacific,46,47,4778.5,4321.6,2.8266,2.9081,2.2004,2.1872,2.9081,2.2004,437.23,433.62,0.1012
AL031864,AL062007,UNNAMED,1864,FELIX,2007,atlantic,26,28,3958.5,4171.3,2.1103,2.6764,2.0051,2.0372,2.6764,2.0372,437.44,433.75,0.1105
EP081987,EP081990,HILARY,1987,GENEVIEVE,1990,pacific,35,35,3655.6,3670.2,2.6461,2.6803,2.0357,2.0591,2.6803,2.0591,437.68,434.47,0.1197
EP051952,EP032004,UNNAMED,1952,BLAS,2004,pacific,29,28,2268.3,2945.4,2.7852,2.9286,2.0579,2.4932,2.9286,2.4932,437.69,435.55,0.193
EP071990,EP021981,FAUSTO,1990,BEATRIZ,1981,pacific,28,25,2874.0,2604.3,2.8029,2.8132,2.0342,2.1105,2.8132,2.1105,437.77,439.44,0.1681
EP121983,EP102002,LORENA,1983,HERNAN,2002,pacific,34,31,2949.9,2759.0,2.3156,2.7955,2.0636,2.1277,2.7955,2.1277,437.85,436.41,0.1587
EP132004,EP132009,JAVIER,2004,JIMENA,2009,pacific,39,39,3473.6,2906.7,2.8645,6.193,2.2071,5.1536,6.193,5.1536,437.98,435.77,0.1507
EP021985,EP042010,BLANCA,1985,CELIA,2010,pacific,41,50,3470.3,3576.2,2.184,5.2032,2.0533,4.6541,5.2032,4.6541,438.08,438.1,0.1262
AL011860,AL051912,UNNAMED,1860,UNNAMED,1912,atlantic,35,30,2615.1,2486.7,3.7471,6.6223,3.284,6.0121,6.6223,6.0121,438.15,436.49,0.1762
EP131974,EP171987,MAGGIE,1974,RAMON,1987,pacific,27,27,1971.7,2340.8,2.7761,2.8043,2.0592,2.0879,2.8043,2.0879,438.15,438.17,0.2222
EP121983,EP082005,LORENA,1983,HILARY,2005,pacific,34,34,2949.9,3819.8,2.3156,2.7923,2.0636,2.0646,2.7923,2.0646,438.33,435.5,0.1486
EP012011,EP241990,ADRIAN,2011,VANCE,1990,pacific,30,41,2275.3,2560.8,3.1479,5.5842,2.6988,4.6126,5.5842,4.6126,438.46,436.8,0.1927
EP131974,EP072012,MAGGIE,1974,GILMA,2012,pacific,27,33,1971.7,2276.0,2.7761,3.3391,2.0592,2.6973,3.3391,2.6973,438.46,438.67,0.2224
AL031910,AL091887,UNNAMED,1910,UNNAMED,1887,atlantic,44,47,4569.1,4967.3,2.8377,2.8733,2.0422,2.1342,2.8733,2.1342,438.62,434.46,0.096
EP141994,EP102004,LANE,1994,GEORGETTE,2004,pacific,28,33,3664.1,4364.6,2.1689,2.4515,2.0289,2.0278,2.4515,2.0289,438.8,435.36,0.1198
EP142014,EP112012,NORBERT,2014,KRISTY,2012,pacific,35,33,2287.0,2644.4,4.6331,5.4589,4.3671,4.2784,5.4589,4.3671,438.95,437.26,0.1919
EP181982,EP011973,SERGIO,1982,AVA,1973,pacific,40,43,4695.8,4230.9,2.4564,2.6463,2.0487,2.2613,2.6463,2.2613,439.07,439.61,0.1038
AL051880,AL031915,UNNAMED,1880,UNNAMED,1915,atlantic,40,59,3645.2,4832.0,3.4721,6.0432,2.9975,5.3938,6.0432,5.3938,439.17,437.79,0.1205
AL111972,AL021954,CARRIE,1972,UNNAMED,1954,atlantic,29,27,2848.5,3259.3,2.944,3.0371,2.433,3.0,3.0371,3.0,439.26,436.95,0.1542
EP151989,EP071971,LORENA,1989,GEORGETTE,1971,pacific,40,29,3059.6,3063.9,2.6521,2.8533,2.0831,2.0997,2.8533,2.0997,439.38,439.0,0.1436
EP211992,EP091995,SEYMOUR,1992,HENRIETTE,1995,pacific,40,29,2673.6,2968.8,2.8555,3.0336,2.4057,2.1887,3.0336,2.4057,439.38,437.17,0.1643
EP081991,EP091998,GUILLERMO,1991,HOWARD,1998,pacific,28,40,3900.0,4244.9,2.2427,2.7162,2.0199,2.1645,2.7162,2.1645,439.46,439.91,0.1127
EP161968,EP022015,PAULINE,1968,BLANCA,2015,pacific,31,38,2638.5,2589.6,2.8614,4.427,2.1804,3.7822,4.427,3.7822,439.48,437.6,0.1697
EP072011,EP091988,GREG,2011,IVA,1988,pacific,26,36,3069.5,3148.6,2.2809,2.5953,2.0218,2.1418,2.5953,2.1418,439.53,436.72,0.1432
EP141970,EP152005,NORMA,1970,OTIS,2005,pacific,25,31,1903.1,1807.8,2.7682,4.9107,2.253,4.023,4.9107,4.023,439.95,438.94,0.2434
EP111983,EP152015,KIKO,1983,LINDA,2015,pacific,36,40,2531.4,2904.4,2.8347,4.1596,2.0963,4.0,4.1596,4.0,439.99,438.99,0.1738
EP041965,EP042002,BERNICE,1965,CRISTINA,2002,pacific,31,30,3270.7,2784.4,2.6861,2.9566,2.071,2.2326,2.9566,2.2326,440.33,437.86,0.1581
EP062005,EP122004,FERNANDA,2005,ISIS,2004,pacific,33,52,3080.7,3477.4,2.6255,4.4988,2.0943,3.6677,4.4988,3.6677,440.72,437.9,0.1431
