curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
AL011923,AL071871,UNNAMED,1923,UNNAMED,1871,atlantic,28,33,3268.7,3283.6,2.8331,3.0609,2.1832,2.6484,3.0609,2.6484,355.06,372.17,0.1086
EP121970,EP061986,LORRAINE,1970,FRANK,1986,pacific,47,38,5151.9,5521.7,2.4018,2.573,2.1198,2.0263,2.573,2.1198,355.12,350.35,0.0689
AL021960,AL011917,ABBY,1960,UNNAMED,1917,atlantic,34,33,4774.5,4454.7,2.6518,2.8545,2.0502,2.0615,2.8545,2.0615,355.24,351.06,0.0797
EP072008,EP091976,FAUSTO,2008,IVA,1976,pacific,33,37,3796.9,3791.8,2.8177,2.8339,2.0514,2.0686,2.8339,2.0686,355.79,352.34,0.0938
EP081988,EP121970,HECTOR,1988,LORRAINE,1970,pacific,41,47,5063.3,5151.9,2.3108,2.4018,2.0445,2.1198,2.4018,2.1198,355.82,357.24,0.0703
EP102002,EP141997,HERNAN,2002,LINDA,1997,pacific,31,34,2759.0,2843.1,2.7955,2.7992,2.1277,2.0408,2.7992,2.1277,356.61,354.18,0.1293
AL021895,AL051958,UNNAMED,1895,ELLA,1958,atlantic,36,35,4597.7,4739.1,2.738,2.7804,2.0165,2.0502,2.7804,2.0502,357.04,358.77,0.0777
EP031986,EP011976,CELIA,1986,ANNETTE,1976,pacific,25,44,2592.1,2765.1,2.7874,4.5613,2.0621,4.0,4.5613,4.0,357.08,354.87,0.1378
EP141970,EP031949,NORMA,1970,UNNAMED,1949,pacific,25,25,1903.1,1751.1,2.7682,4.2162,2.253,3.8278,4.2162,3.8278,357.89,357.28,0.2044
EP041994,EP101987,DANIEL,1994,JOVA,1987,pacific,26,34,3612.9,3971.1,2.3289,2.6766,2.0289,2.0977,2.6766,2.0977,358.05,354.79,0.0991
EP092007,EP102015,FLOSSIE,2007,HILDA,2015,pacific,32,36,3900.1,3401.7,2.4985,3.3556,2.0438,2.6093,3.3556,2.6093,358.3,355.21,0.1053
AL041944,AL141933,UNNAMED,1944,UNNAMED,1933,atlantic,32,38,4307.1,4759.0,2.5154,2.7187,2.0442,2.0314,2.7187,2.0442,358.56,354.54,0.0832
EP102006,EP031984,ILEANA,2006,CRISTINA,1984,pacific,32,36,2634.7,2384.8,2.4888,3.018,2.0755,2.2487,3.018,2.2487,359.67,360.98,0.1508
EP061970,EP072012,GRETCHEN,1970,GILMA,2012,pacific,29,33,1593.8,2276.0,2.8371,3.3391,2.2234,2.6973,3.3391,2.6973,360.23,358.85,0.226
AL021960,AL071892,ABBY,1960,UNNAMED,1892,atlantic,34,45,4774.5,4792.8,2.6518,2.7889,2.0502,2.023,2.7889,2.0502,360.89,368.4,0.0756
EP031998,EP091998,BLAS,1998,HOWARD,1998,pacific,36,40,4293.6,4244.9,2.6671,2.7162,2.0317,2.1645,2.7162,2.1645,360.9,356.98,0.085
EP072012,EP171994,GILMA,2012,OLIVIA,1994,pacific,33,31,2276.0,2470.6,3.3391,4.5709,2.6973,4.095,4.5709,4.095,360.98,359.08,0.1586
EP071987,EP031984,GREG,1987,CRISTINA,1984,pacific,28,36,2828.1,2384.8,2.6188,3.018,2.1336,2.2487,3.018,2.2487,361.03,364.33,0.1514
EP081981,EP211992,HILARY,1981,SEYMOUR,1992,pacific,29,40,2505.9,2673.6,2.736,2.8555,2.1001,2.4057,2.8555,2.4057,361.04,359.07,0.1441
AL131969,AL161978,FRANCELIA,1969,GRETA,1978,atlantic,27,26,3118.8,3443.8,2.2752,2.3083,2.0514,2.0602,2.3083,2.0602,361.11,358.13,0.1158
EP131985,EP141997,MARTY,1985,LINDA,1997,pacific,29,34,2793.0,2843.1,2.6219,2.7992,2.0863,2.0408,2.7992,2.0863,361.77,359.31,0.1295
EP161970,EP091998,PATRICIA,1970,HOWARD,1998,pacific,31,40,3843.2,4244.9,2.5225,2.7162,2.0684,2.1645,2.7162,2.1645,361.86,358.17,0.0942
EP072011,EP041983,GREG,2011,DALILIA,1983,pacific,26,26,3069.5,3053.3,2.2809,2.6498,2.0218,2.0481,2.6498,2.0481,362.19,366.33,0.1186
