id,name,year,basin,n,length_km,extent_km,c_cube,c_ball
EP141990,KENNA,1990,pacific,35,3297.74,2898.1,4.3385,4.0
AL031901,UNNAMED,1901,atlantic,42,4809.72,3841.29,4.3548,4.0898
AL161973,GILDA,1973,atlantic,52,6475.35,6087.03,4.361,4.0
EP052010,DARBY,2010,pacific,39,2613.68,1853.96,4.3667,4.0514
AL131978,FLOSSIE,1978,atlantic,50,8121.31,5717.63,4.3785,3.7088
AL101953,GAIL,1953,atlantic,41,4869.68,3568.6,4.3806,3.3155
AL011951,UNNAMED,1951,atlantic,41,5680.61,3600.44,4.3849,4.0993
EP012001,ADOLPH,2001,pacific,29,1715.95,1442.01,4.4047,3.95
AL251967,HEIDI,1967,atlantic,54,5852.23,3738.44,4.4107,4.0705
EP122006,KRISTY,2006,pacific,42,2481.12,2025.16,4.4111,4.0778
EP221992,TINA,1992,pacific,98,6818.26,5278.86,4.4122,3.7553
AL061935,UNNAMED,1935,atlantic,36,2723.34,1658.48,4.427,4.0086
EP022015,BLANCA,2015,pacific,38,2589.62,2236.95,4.427,3.7822
EP111995,JULIETTE,1995,pacific,41,2380.36,1836.23,4.4299,3.7224
AL141932,UNNAMED,1932,atlantic,63,8246.09,5323.71,4.4601,3.491
AL042004,DANIELLE,2004,atlantic,46,4787.42,3628.5,4.4751,4.0541
AL032001,BARRY,2001,atlantic,25,1783.36,1451.76,4.4872,3.9867
EP122004,ISIS,2004,pacific,52,3477.44,3241.58,4.4988,3.6677
EP012015,ANDRES,2015,pacific,40,2669.08,1951.97,4.4998,3.8035
AL112013,JERRY,2013,atlantic,32,3126.2,2826.47,4.5005,3.791
AL011930,UNNAMED,1930,atlantic,50,6382.86,4716.43,4.5207,4.0
EP082012,HECTOR,2012,pacific,35,1887.54,1366.24,4.5223,3.8648
AL011948,UNNAMED,1948,atlantic,28,2353.29,2179.09,4.5231,3.8205
AL132012,MICHAEL,2012,atlantic,42,3631.37,2470.22,4.5303,3.9677
EP051984,ELIDA,1984,pacific,44,3559.96,2489.74,4.5306,4.2786
EP212006,SERGIO,2006,pacific,29,1163.31,666.16,4.5437,3.941
AL091966,INEZ,1966,atlantic,81,7997.24,7118.72,4.5566,3.663
EP011976,ANNETTE,1976,pacific,44,2765.13,2392.02,4.5613,4.0
EP171994,OLIVIA,1994,pacific,31,2470.64,2030.71,4.5709,4.095
AL062008,FAY,2008,atlantic,59,4408.93,3092.9,4.5745,3.9267
AL171979,UNNAMED,1979,atlantic,33,1667.27,853.17,4.5806,4.1467
AL091992,EARL,1992,atlantic,29,2856.65,1690.6,4.5864,3.9876
AL011970,ALMA,1970,atlantic,39,3879.43,3008.75,4.5904,3.8034
AL091880,UNNAMED,1880,atlantic,25,3262.55,2700.48,4.5916,3.999
AL031941,UNNAMED,1941,atlantic,32,2795.53,1982.45,4.6063,4.4111
AL051993,EMILY,1993,atlantic,61,6125.42,3214.11,4.6173,3.9894
EP142014,NORBERT,2014,pacific,35,2287.0,1826.0,4.6331,4.3671
AL041959,CINDY,1959,atlantic,35,3862.06,3253.47,4.6378,3.9937
AL071940,UNNAMED,1940,atlantic,27,3896.52,2392.03,4.6464,3.9258
AL051995,ERIN,1995,atlantic,30,3304.06,2443.66,4.6484,3.8769
AL101976,EMMY,1976,atlantic,62,7936.41,4914.19,4.6647,3.6162
EP091979,IGNACIO,1979,pacific,29,2363.07,1591.61,4.6654,3.8978
AL082001,GABRIELLE,2001,atlantic,41,6183.67,5677.14,4.6746,4.1428
AL111942,UNNAMED,1942,atlantic,28,2716.34,2093.18,4.679,3.9888
AL102002,ISIDORE,2002,atlantic,55,6584.11,4682.33,4.6892,4.2414
AL071912,UNNAMED,1912,atlantic,42,1985.15,1099.05,4.6894,4.0919
AL101984,DIANA,1984,atlantic,33,3383.24,2815.91,4.6905,4.2191
AL031965,BETSY,1965,atlantic,68,7229.69,5248.23,4.699,4.3858
AL012014,ARTHUR,2014,atlantic,47,5241.88,4177.63,4.7083,4.2362
AL041908,UNNAMED,1908,atlantic,25,1164.28,802.69,4.7089,3.8606
AL171887,UNNAMED,1887,atlantic,30,3021.23,2276.43,4.7144,4.5639
AL061976,ANNA,1976,atlantic,37,5072.8,3375.96,4.7178,4.3358
AL051985,ELENA,1985,atlantic,33,3913.54,2921.06,4.73,4.3935
CP032009,NEKI,2009,pacific,33,3196.0,2762.31,4.7304,3.93
EP122011,TWELVE,2011,pacific,27,1459.65,954.8,4.731,4.2537
EP132003,MARTY,2003,pacific,31,2213.35,1911.55,4.7409,4.1061
AL111971,FERN,1971,atlantic,39,1962.31,1303.79,4.7614,3.7596
AL082005,HARVEY,2005,atlantic,44,4667.47,3856.38,4.782,3.8254
AL022012,BERYL,2012,atlantic,33,4197.43,2976.39,4.7841,4.2385
AL091948,UNNAMED,1948,atlantic,56,8424.04,5762.75,4.7875,4.3961
AL162003,KATE,2003,atlantic,58,10353.32,6808.56,4.7889,4.106
AL081956,GRETA,1956,atlantic,30,4892.76,3600.72,4.7917,4.3872
AL081975,DORIS,1975,atlantic,29,1930.83,1334.87,4.794,4.1798
EP131976,MADELINE,1976,pacific,40,1948.68,1615.82,4.794,3.8318
AL051950,EASY,1950,atlantic,38,2646.47,2050.68,4.8203,3.7935
AL121996,LILI,1996,atlantic,60,9574.66,8579.13,4.8292,3.9634
AL151995,MARILYN,1995,atlantic,79,7419.92,3749.86,4.842,4.1901
AL011892,UNNAMED,1892,atlantic,33,2509.91,1873.53,4.843,3.9753
AL071906,UNNAMED,1906,atlantic,44,5972.01,4448.01,4.8666,4.0479
AL071956,FLOSSY,1956,atlantic,52,6595.4,4655.95,4.8717,4.1819
EP042013,DALILA,2013,pacific,40,2195.33,1396.96,4.8817,4.3965
AL171974,GERTRUDE,1974,atlantic,27,2546.39,2420.11,4.8819,3.831
AL011939,UNNAMED,1939,atlantic,28,3107.26,2687.6,4.8925,4.1885
AL122010,JULIA,2010,atlantic,51,6429.95,4052.44,4.8961,4.5392
EP152005,OTIS,2005,pacific,31,1807.77,1328.15,4.9107,4.023
AL061979,CLAUDETTE,1979,atlantic,57,8060.01,5862.97,4.9338,4.364
AL011957,UNNAMED,1957,atlantic,32,3786.83,3189.55,4.9405,4.0484
AL051941,UNNAMED,1941,atlantic,44,6282.23,3405.93,4.9418,4.5311
AL141980,IVAN,1980,atlantic,45,6370.18,3421.25,4.9501,4.5377
AL081959,GRACIE,1959,atlantic,50,5100.69,3083.75,4.9572,4.218
AL092014,HANNA,2014,atlantic,37,2727.96,1551.01,4.9757,4.452
CP012003,UNNAMED,2003,pacific,25,2996.61,2375.02,4.9769,4.1811
AL071963,FLORA,1963,atlantic,69,10440.38,6854.01,5.0146,4.5098
AL072009,FRED,2009,atlantic,48,5575.07,5079.98,5.0171,4.355
AL071995,FELIX,1995,atlantic,69,11741.52,7408.98,5.0276,4.6805
AL101972,BETTY,1972,atlantic,42,4024.69,2965.89,5.0518,4.4181
AL041957,CARRIE,1957,atlantic,95,11680.34,6614.59,5.0532,4.0493
AL302005,EPSILON,2005,atlantic,43,4021.23,2195.06,5.0551,4.3427
EP142000,LANE,2000,pacific,37,3772.48,3011.03,5.0759,4.4128
AL172011,PHILIPPE,2011,atlantic,65,7706.49,5544.85,5.0817,4.134
AL011994,ALBERTO,1994,atlantic,32,2008.94,1431.87,5.0954,4.3903
AL091986,EARL,1986,atlantic,38,5229.92,4184.34,5.0959,4.0057
AL121951,UNNAMED,1951,atlantic,36,4078.05,2752.35,5.0962,4.3499
AL051992,BONNIE,1992,atlantic,61,4688.1,3446.25,5.0977,4.2171
AL011968,ABBY,1968,atlantic,51,3579.54,2509.63,5.1018,4.1848
AL152000,KEITH,2000,atlantic,34,2231.61,2113.33,5.1064,4.4405
AL051986,CHARLEY,1986,atlantic,68,8659.65,7518.58,5.1127,4.8667
AL182012,SANDY,2012,atlantic,45,4343.96,3434.67,5.1297,4.3061
AL131949,UNNAMED,1949,atlantic,35,4582.41,3833.57,5.1408,4.625
AL111964,ISBELL,1964,atlantic,35,3349.76,2866.1,5.1412,4.4715
AL082006,GORDON,2006,atlantic,55,10032.2,6042.22,5.1414,4.4497
EP112003,KEVIN,2003,pacific,28,1786.87,1194.56,5.1945,4.5271
EP042010,CELIA,2010,pacific,50,3576.23,3242.95,5.2032,4.6541
EP032014,CRISTINA,2014,pacific,41,2223.04,1966.13,5.2152,4.3298
AL111976,FRANCES,1976,atlantic,45,6683.53,4367.72,5.222,4.9156
EP091993,HILARY,1993,pacific,42,3268.98,2695.47,5.238,4.5742
AL071960,FLORENCE,1960,atlantic,40,3808.82,2611.04,5.2491,4.4707
AL031871,UNNAMED,1871,atlantic,41,2806.59,1316.14,5.2499,4.6818
AL082008,HANNA,2008,atlantic,49,6741.89,4001.27,5.257,4.6536
EP112011,IRWIN,2011,pacific,56,3867.04,1805.8,5.2575,4.4993
AL051900,UNNAMED,1900,atlantic,42,6190.35,4847.17,5.2676,4.509
AL031899,UNNAMED,1899,atlantic,133,14053.46,6872.9,5.2744,4.4996
AL161980,JEANNE,1980,atlantic,35,2604.83,1968.81,5.2774,5.0124
AL041904,UNNAMED,1904,atlantic,41,2506.71,1540.83,5.2791,4.7428
AL081906,UNNAMED,1906,atlantic,65,5297.96,2688.65,5.2873,4.3016
AL071938,UNNAMED,1938,atlantic,30,2979.7,2030.46,5.2881,4.28
AL101943,UNNAMED,1943,atlantic,26,1658.53,847.59,5.2887,4.4117
AL061896,UNNAMED,1896,atlantic,59,6252.3,4066.6,5.2999,4.8125
AL012003,ANA,2003,atlantic,39,5573.49,4372.63,5.3029,4.3647
EP112014,KARINA,2014,pacific,63,5441.79,3440.47,5.3035,4.6093
AL011934,UNNAMED,1934,atlantic,71,7532.55,5335.92,5.3101,4.4509
EP021984,BORIS,1984,pacific,82,3497.28,2522.82,5.3132,4.6325
AL061897,UNNAMED,1897,atlantic,36,3954.77,2786.81,5.3181,4.9004
AL162004,OTTO,2004,atlantic,39,2702.19,1343.04,5.3212,4.467
AL292005,DELTA,2005,atlantic,42,6590.68,4781.29,5.3221,4.5147
AL061968,UNNAMED,1968,atlantic,25,1314.81,854.29,5.3233,4.8658
AL071957,FRIEDA,1957,atlantic,29,4269.11,2952.52,5.3257,4.0191
AL071997,ERIKA,1997,atlantic,67,8578.37,6126.51,5.3307,4.6259
EP172013,RAYMOND,2013,pacific,48,3159.21,2066.54,5.3323,4.6727
AL071977,CLARA,1977,atlantic,27,2928.64,2248.78,5.3339,4.5001
EP142008,MARIE,2008,pacific,74,4281.47,2717.43,5.34,4.3591
AL011953,ALICE,1953,atlantic,53,3423.24,2094.72,5.3557,4.9093
AL022008,BERTHA,2008,atlantic,74,9967.24,6647.8,5.3617,4.4096
AL012007,ANDREA,2007,atlantic,31,2556.55,1252.02,5.3709,4.8412
AL131998,MITCH,1998,atlantic,77,12096.86,9186.72,5.3775,4.8828
AL072001,FELIX,2001,atlantic,46,5330.15,3357.12,5.3805,4.5766
AL131981,EMILY,1981,atlantic,47,4292.51,3181.46,5.3812,5.2018
AL101961,JENNY,1961,atlantic,34,4660.79,2760.98,5.3898,5.2311
AL041942,UNNAMED,1942,atlantic,39,3007.28,1667.31,5.4102,4.1687
AL221971,LAURA,1971,atlantic,39,2451.45,1665.0,5.4142,4.5027
EP201992,ROSLYN,1992,pacific,69,4957.55,4204.06,5.415,4.7556
AL131934,UNNAMED,1934,atlantic,42,3658.02,2345.81,5.4222,4.5082
AL021987,ARLENE,1987,atlantic,80,10881.97,7221.27,5.4333,4.2236
AL012004,ALEX,2004,atlantic,25,4624.73,4418.85,5.4396,4.8903
AL031962,CELIA,1962,atlantic,40,5004.39,3129.65,5.4494,4.8657
EP112012,KRISTY,2012,pacific,33,2644.41,2088.51,5.4589,4.2784
AL021951,ABLE,1951,atlantic,36,4002.14,2408.6,5.4716,4.4009
AL162005,OPHELIA,2005,atlantic,68,8804.07,7382.05,5.475,4.881
AL012015,ANA,2015,atlantic,28,2454.36,2137.71,5.4904,4.768
AL031990,BERTHA,1990,atlantic,37,3741.03,2619.53,5.517,4.6047
AL031900,UNNAMED,1900,atlantic,62,6103.9,4313.62,5.5835,4.5785
EP241990,VANCE,1990,pacific,41,2560.8,1953.27,5.5842,4.6126
AL172008,PALOMA,2008,atlantic,35,2803.1,1931.5,5.5955,4.4116
AL052003,DANNY,2003,atlantic,44,4706.2,2327.92,5.6012,4.9132
AL071903,UNNAMED,1903,atlantic,40,4990.34,3508.73,5.6046,4.7599
AL101924,UNNAMED,1924,atlantic,40,3359.29,2763.33,5.6083,5.0301
AL172012,RAFAEL,2012,atlantic,56,10387.02,6931.23,5.6112,4.9081
AL102015,IDA,2015,atlantic,51,4358.31,3151.88,5.6136,4.8217
AL042005,DENNIS,2005,atlantic,59,6197.39,4669.77,5.658,5.3281
AL151979,HENRI,1979,atlantic,39,2554.93,1231.56,5.7076,5.3905
AL032000,ALBERTO,2000,atlantic,87,13584.22,8103.72,5.7246,5.5713
AL092004,IVAN,2004,atlantic,94,12657.81,7556.85,5.7358,5.4988
AL031884,UNNAMED,1884,atlantic,45,7356.01,5533.59,5.7473,4.611
CP042006,FOUR,2006,pacific,37,2605.9,1119.47,5.7649,5.4626
EP182014,RACHEL,2014,pacific,36,2266.9,1856.27,5.7717,5.3855
EP221985,XINA,1985,pacific,45,2824.2,1374.24,5.7851,5.0841
EP062015,ENRIQUE,2015,pacific,38,2242.93,1766.77,5.7853,5.343
AL061990,EDOUARD,1990,atlantic,44,2998.15,1563.36,5.7879,5.4842
AL061949,UNNAMED,1949,atlantic,47,5031.4,2505.01,5.7945,5.3841
AL041926,UNNAMED,1926,atlantic,95,8485.28,5749.16,5.8145,5.0897
AL051910,UNNAMED,1910,atlantic,58,5453.81,4017.33,5.8613,5.2343
AL012001,ALLISON,2001,atlantic,57,4677.13,3591.28,5.8775,5.0172
AL081908,UNNAMED,1908,atlantic,66,6672.01,4000.12,5.879,5.3622
AL112004,JEANNE,2004,atlantic,69,5933.45,3469.62,5.8828,5.3993
EP111974,KIRSTEN,1974,pacific,27,1853.01,846.98,5.8846,4.9956
AL102000,FLORENCE,2000,atlantic,29,3246.05,2602.16,5.9278,5.0304
EP171997,OLAF,1997,pacific,66,5204.69,2569.03,5.9293,5.3744
AL112015,JOAQUIN,2015,atlantic,76,8448.77,6793.44,5.9349,4.8143
AL051961,ESTHER,1961,atlantic,67,8853.14,5872.26,5.951,5.488
EP132012,MIRIAM,2012,pacific,44,2547.97,1451.22,5.9554,5.1072
AL081926,UNNAMED,1926,atlantic,42,4230.75,2821.77,5.9859,5.2098
EP031974,CONNIE,1974,pacific,61,3047.09,1721.3,6.0068,5.3342
AL131972,DAWN,1972,atlantic,39,4012.71,1734.79,6.0243,5.102
AL052010,FIVE,2010,atlantic,32,2334.36,1056.05,6.0259,5.2972
AL261969,LAURIE,1969,atlantic,42,3014.2,1404.14,6.0309,5.677
AL031915,UNNAMED,1915,atlantic,59,4831.95,3285.93,6.0432,5.3938
EP231990,TRUDY,1990,pacific,67,3867.87,2982.13,6.0575,5.801
AL132004,LISA,2004,atlantic,55,6154.93,4154.03,6.0648,5.2226
AL032012,CHRIS,2012,atlantic,31,5194.98,3198.72,6.0734,5.2153
EP111988,KRISTY,1988,pacific,34,2329.52,1944.38,6.0905,5.6866
EP022003,BLANCA,2003,pacific,31,914.14,418.86,6.1106,5.1397
AL152001,MICHELLE,2001,atlantic,34,3082.94,2525.53,6.12,5.1674
EP011986,AGATHA,1986,pacific,31,2065.61,1478.57,6.1401,4.8747
AL192003,NICHOLAS,2003,atlantic,80,7856.65,4113.32,6.1425,5.253
AL141984,HORTENSE,1984,atlantic,40,4726.84,3140.24,6.1553,5.1883
AL111952,UNNAMED,1952,atlantic,25,2466.65,1087.17,6.1644,5.8041
EP132009,JIMENA,2009,pacific,39,2906.71,2366.29,6.193,5.1536
EP011982,ALETTA,1982,pacific,39,1360.99,728.05,6.2158,5.7072
AL122002,KYLE,2002,atlantic,90,6724.05,3240.99,6.2173,5.655
AL011962,ALMA,1962,atlantic,30,4165.68,3145.01,6.2304,5.3661
AL141967,DORIA,1967,atlantic,55,4518.08,1820.59,6.2809,5.4099
AL121990,JOSEPHINE,1990,atlantic,62,5167.84,3252.07,6.3096,5.883
AL161984,JOSEPHINE,1984,atlantic,56,5764.59,3696.92,6.3483,5.3888
AL162011,OPHELIA,2011,atlantic,59,8249.42,5341.98,6.418,5.9253
AL031908,UNNAMED,1908,atlantic,43,4302.06,3360.94,6.4259,5.4654
AL131954,UNNAMED,1954,atlantic,48,5396.89,3638.17,6.4272,5.6759
EP032010,BLAS,2010,pacific,32,2421.67,2242.14,6.4983,5.883
AL141971,GINGER,1971,atlantic,118,7457.51,3137.39,6.5044,5.6396
AL011987,UNNAMED,1987,atlantic,31,2266.12,1456.68,6.5419,5.6844
EP111998,JAVIER,1998,pacific,33,1833.7,805.1,6.5533,5.6946
AL201969,INGA,1969,atlantic,99,6761.41,2803.72,6.5708,6.0807
AL282005,GAMMA,2005,atlantic,33,3128.94,2598.65,6.6007,5.3211
AL011960,UNNAMED,1960,atlantic,27,2967.47,2380.03,6.6092,5.8642
AL121994,GORDON,1994,atlantic,59,5748.74,2735.25,6.6142,5.8113
AL051912,UNNAMED,1912,atlantic,30,2486.67,1987.23,6.6223,6.0121
EP151984,NORBERT,1984,pacific,47,3478.29,1477.87,6.6848,6.5099
AL092009,GRACE,2009,atlantic,37,5524.77,3192.89,6.7291,6.3099
AL021989,ALLISON,1989,atlantic,28,1302.71,710.55,6.8386,6.1188
AL232005,TWENTY-TWO,2005,atlantic,27,2878.82,2159.5,6.8455,6.1708
AL021941,UNNAMED,1941,atlantic,40,5979.9,4725.82,7.0421,5.8897
AL041965,CAROL,1965,atlantic,63,7940.98,4498.06,7.0911,6.5377
EP031996,ALMA,1996,pacific,29,1312.56,961.02,7.2087,6.2586
AL251969,KARA,1969,atlantic,48,7617.26,5132.78,7.2777,6.3037
AL191995,ROXANNE,1995,atlantic,56,3240.02,1832.02,7.3534,6.2665
AL201984,LILI,1984,atlantic,47,6387.66,2684.21,7.4247,6.7075
AL081935,UNNAMED,1935,atlantic,45,3450.37,1449.97,7.4786,6.122
AL051999,DENNIS,1999,atlantic,66,4859.0,2915.52,7.6992,6.8898
EP101996,GENEVIEVE,1996,pacific,46,2093.2,1181.24,7.7033,6.8232
AL172001,OLGA,2001,atlantic,47,4246.86,2255.62,7.7557,6.6389
AL081963,GINNY,1963,atlantic,56,5690.24,3489.55,8.0637,6.8308
AL041955,EDITH,1955,atlantic,60,6728.95,3990.47,8.1524,6.6487
AL121985,JUAN,1985,atlantic,29,2788.82,1596.18,8.2224,7.3671
AL131996,MARCO,1996,atlantic,54,3422.88,1571.21,8.2304,7.5881
AL142012,NADINE,2012,atlantic,96,9686.56,3775.75,8.8547,8.003
AL031960,BRENDA,1960,atlantic,46,7955.88,4397.37,9.0071,7.9015
