id,name,year,basin,n,length_km,extent_km,c_cube,c_ball
AL061866,UNNAMED,1866,atlantic,48,8160.4,5473.53,3.1636,2.9505
AL021885,UNNAMED,1885,atlantic,32,6417.8,5036.14,3.1636,2.8475
AL041966,DOROTHY,1966,atlantic,37,2911.11,2550.56,3.1656,2.5458
EP142005,NORMA,2005,pacific,33,1963.62,1534.73,3.1656,2.6365
EP081976,HYACINTH,1976,pacific,31,4452.1,4210.13,3.166,2.5432
AL021942,UNNAMED,1942,atlantic,26,3056.04,2297.08,3.1668,2.7872
AL031853,UNNAMED,1853,atlantic,48,9823.91,6469.87,3.1697,2.9947
AL011963,ARLENE,1963,atlantic,43,6706.81,4947.32,3.1704,2.5347
AL091968,UNNAMED,1968,atlantic,38,4375.15,3576.36,3.1729,2.6766
EP202009,RICK,2009,pacific,27,2786.83,2126.82,3.1735,2.702
EP101978,JOHN,1978,pacific,50,5285.56,5061.73,3.1748,2.5553
EP152002,LOWELL,2002,pacific,33,2377.65,2076.67,3.1789,2.5679
AL081999,FLOYD,1999,atlantic,50,7702.31,5133.25,3.1819,2.5279
AL021876,UNNAMED,1876,atlantic,33,5345.63,3649.19,3.1854,2.6632
AL051962,ELLA,1962,atlantic,36,5501.1,4937.87,3.1867,2.6051
AL061885,UNNAMED,1885,atlantic,37,2146.29,1698.25,3.1883,2.7176
AL021923,UNNAMED,1923,atlantic,38,2955.69,2556.27,3.191,2.4123
AL141954,HAZEL,1954,atlantic,56,7149.43,5539.92,3.1936,2.6355
AL041917,UNNAMED,1917,atlantic,43,4830.62,3932.33,3.1971,2.6686
AL011927,UNNAMED,1927,atlantic,45,10760.69,7712.32,3.1985,2.6846
AL022004,BONNIE,2004,atlantic,44,6707.36,4800.15,3.2011,2.9415
AL151975,GLADYS,1975,atlantic,46,8702.32,6343.37,3.2019,2.5875
AL132005,LEE,2005,atlantic,26,3361.66,2764.91,3.2025,2.4147
AL091969,CAMILLE,1969,atlantic,37,5835.6,4215.42,3.2061,2.7203
AL101952,FOX,1952,atlantic,36,3076.73,2547.0,3.2076,2.5051
AL111959,JUDITH,1959,atlantic,34,5407.62,3840.8,3.2077,2.9325
CP022014,ANA,2014,pacific,54,6583.66,4319.5,3.2099,2.7242
AL021996,BERTHA,1996,atlantic,51,10384.69,7232.74,3.2132,2.4647
AL131974,ELAINE,1974,atlantic,38,5682.96,3747.16,3.215,2.6369
AL041949,UNNAMED,1949,atlantic,35,5234.18,4999.69,3.2159,2.3811
AL101978,ELLA,1978,atlantic,27,4566.51,3538.31,3.2194,2.7985
