version,transition_limit,status,solution_returned,raw_solution_saved,validation_status,objective,reference_agreement,transitions,discovered_states,states_dequeued,completed_states_lower_bound,queue_size,solver_seconds,validation_seconds,peak_sampled_tree_rss_mib,attempt_directory,new_execution_in_v3,counter_source
graph_only_v2,2000000,transition_budget_limit,False,False,not_run_no_solver_output,,unavailable,2000001,5452,,,,2.109742799992091,,136.3203125,output\paper_v1\graph_only_v2\attempts\A_a5ce9008b10f4636922695c2cf81e0dd,False,v2 solver-exit checkpoint; dequeued/processed/queue counts unavailable
graph_only_v3,10000000,optimal_configuration_graph,True,True,validated,5.0,agrees,7076530,5678,5678.0,5677.0,0.0,8.986753099990892,0.0011613999959081411,223.2421875,output\paper_v1\graph_only_v3\attempts\A_7239568e76984b44844f1c1e27a0d371,True,returned solver and instrumented heap counters
