domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file,method,certificate_enabled,status,route,phase,configuration_graph_entered,chain_graph_calls,chain_graphs_completed,repetition,cached,hard_seconds,memory_limit_mib,failure_reason,process_wall_seconds,peak_process_rss_mib,measured_execution_count,preprocessing_chain_graph_calls,raw_status,solve_seconds,warmup_seconds,traceback,kA,kB,k,compression_removed_pct,continuous_A_lower,continuous_A_upper,continuous_B_lower,continuous_B_upper,discrete_fidelity_A,discrete_fidelity_B,coupling_distance,coupling_budget_ratio,coupling_feasible,unequal_output_lengths,repeated_coupling_index,constraints_valid,states_discovered,transitions_examined,dDF,verified,seconds,lower_bound,states,transitions,auxiliary_A,auxiliary_B,baseline_method,baseline_missing,vertex_cost_vs_matching_baseline
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-2F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,6.052742300002137,158.83984375,1,0,optimal_configuration_graph,3.724612300007721,0.514051299993298,,16.0,16.0,16.0,27.27272727272727,9.3545202775209,9.354525447175092,9.475171168974878,9.475176555438056,10.841550627101272,11.296232026653843,0.9993252723713152,1.0,True,False,False,True,1273.0,168920.0,0.9993252723713152,True,3.7136144999967655,16.0,1273.0,168920.0,96.0,94.0,Independent continuous,False,0.0
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a0.5,22,22,angstrom,0.5,18.95299827936545,19.07576340534633,9.476499139682725,9.537881702673165,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,4.826967599990894,153.22265625,1,2,optimal_configuration_graph,0.0295429999969201,1.0716823000111615,,20.0,20.0,20.0,9.090909090909092,7.207435201142808,7.20744336798609,7.348226943606871,7.348234989774486,8.563555861906897,8.437018252913763,0.9993252723713152,1.0,True,False,False,True,42.0,108.0,0.9993252723713152,True,0.0272632999985944,20.0,42.0,108.0,0.0,0.0,Independent discrete,False,0.0
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,5.900821500006714,155.828125,1,0,optimal_independent_baseline,0.0270111999998334,1.8878471999923927,,5.0,5.0,5.0,77.27272727272727,16.986570405320943,16.98657652338209,17.202045310117562,17.202051434675298,25.66100833950217,25.68825700587722,0.9993252723713152,1.0,True,False,False,True,,,,,,,,,,,Independent continuous,False,0.0
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,5.287884599994868,152.46875,1,0,optimal_independent_baseline,0.0253238000004785,1.3977749999903608,,5.0,5.0,5.0,77.27272727272727,17.50983076202869,17.509839689248338,17.622436759755324,17.622445815347927,18.72173653804582,18.990954136114382,0.4952938521726262,0.4956282662574273,True,False,False,True,,,,,,,,,,,Independent discrete,False,0.0
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-2F,False,other_resource_limit,graph_construction,graph_construction,False,1,0,1,False,20.0,512,single-chain graph edge budget exceeded,3.2749414999998407,159.03515625,1,0,other_resource_limit,0.1827428999968106,0.5574411999987205,"Traceback (most recent call last):
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\pilot_worker.py"", line 16, in <module>
    result=solve(A,B,p['delta1'],p['delta2'],p['delta3'],method,certificate=False,progress=progress)
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\graph_core.py"", line 51, in solve
    raw=alg.solve_cps(A,B,d1,d2,d3,method,certificate=False,**LIMITS)
  File ""C:\Users\a\PycharmProjects\PythonProject1\cps_paper_algorithms.py"", line 177, in solve_cps
    ga=chain_graph(A,d1,kind,max_chain_edges);gb=chain_graph(B,d2,kind,max_chain_edges)
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\graph_core.py"", line 39, in observed_graph
    graph=original(*args,**kwargs)
  File ""C:\Users\a\PycharmProjects\PythonProject1\cps_paper_algorithms.py"", line 84, in chain_graph
    if not finished: raise ResourceLimit('single-chain graph edge budget exceeded')
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
cps_paper_algorithms.ResourceLimit: single-chain graph edge budget exceeded
",,,,,,,,,,,,,,,,,,,,,,,,,,,Independent continuous,False,
protein,1o7j.a__1hfj.c,protein:1o7j.a__1hfj.c:a1,22,22,angstrom,1.0,18.95299827936545,19.07576340534633,18.95299827936545,19.07576340534633,0.9993252723713152,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,1.6762742999999318,153.73046875,1,2,optimal_configuration_graph,0.0430830999976024,0.405106500009424,,5.0,5.0,5.0,77.27272727272727,17.50983076202869,17.509839689248338,17.622436759755324,17.622445815347927,18.72173653804582,18.990954136114382,0.4952938521726262,0.4956282662574273,True,False,False,True,456.0,3210.0,0.4952938521726262,True,0.041780400002608,5.0,456.0,3210.0,0.0,0.0,Independent discrete,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,4.522730700002285,153.36328125,1,0,optimal_independent_baseline,0.100768499993137,2.3243304999923566,,5.0,5.0,5.0,80.0,83.14593175646442,83.14594063973813,80.16283771723884,80.16284354133512,1192.29281437758,781.6969685577142,725.5714648587692,1.7024831862636949,False,False,False,True,,,,,,,,,,,Independent continuous,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,3.5327613999979803,152.328125,1,0,optimal_independent_baseline,0.0089663999970071,0.871146100005717,,20.0,19.0,20.0,22.0,32.61762019704306,32.617625207865075,16.298407143279604,16.29841681775634,84.06764326731184,81.15539294939066,426.1842176844774,1.0,True,True,True,True,,,,,,,,,,,Independent discrete,False,0.0
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-2F,False,other_resource_limit,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,product transition budget exceeded,5.117388600003324,161.5,1,0,other_resource_limit,1.6926002999971388,1.134413300009328,"Traceback (most recent call last):
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\pilot_worker.py"", line 16, in <module>
    result=solve(A,B,p['delta1'],p['delta2'],p['delta3'],method,certificate=False,progress=progress)
  File ""C:\Users\a\PycharmProjects\PythonProject1\notebooks_paper\graph_only_v1\graph_core.py"", line 51, in solve
    raw=alg.solve_cps(A,B,d1,d2,d3,method,certificate=False,**LIMITS)
  File ""C:\Users\a\PycharmProjects\PythonProject1\cps_paper_algorithms.py"", line 189, in solve_cps
    if transitions>max_transitions:raise ResourceLimit('product transition budget exceeded')
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
cps_paper_algorithms.ResourceLimit: product transition budget exceeded
",,,,,,,,,,,,,,,,,,,,,,,,,,,Independent continuous,False,
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,3.221796500001801,152.9609375,1,2,optimal_configuration_graph,0.033035500004189,0.7651216999947792,,20.0,19.0,20.0,22.0,32.61762019704306,32.617625207865075,26.888781912208465,26.88879167977132,84.06764326731184,81.93625588577981,426.1842176844774,1.0,True,True,True,True,522.0,6544.0,426.1842176844774,True,0.0314004999963799,20.0,522.0,6544.0,0.0,0.0,Independent discrete,False,0.0
