domain,pair,nA,nB,eligible,selection_rank,selected
hurricane,AL101878__AL121995,28,31,True,,False
hurricane,AL192011__AL102000,27,29,True,,False
hurricane,AL021867__AL031862,28,34,True,,False
hurricane,AL041911__AL062007,38,28,True,,False
hurricane,EP111993__EP051973,32,27,True,,False
hurricane,EP112001__EP091993,48,42,True,,False
hurricane,EP051990__EP071971,26,29,True,,False
hurricane,EP081958__EP131967,27,33,True,,False
hurricane,EP101975__EP031988,31,28,True,,False
hurricane,EP091988__EP041965,36,31,True,,False
hurricane,EP102011__EP212014,30,27,True,,False
hurricane,EP131990__EP031991,32,45,True,,False
hurricane,EP031988__EP081978,28,32,True,,False
hurricane,EP081958__EP041954,27,31,True,,False
hurricane,EP091975__EP092011,35,50,True,,False
hurricane,AL101886__AL111973,25,25,True,,False
hurricane,EP021954__EP061970,25,29,True,,False
hurricane,EP091975__EP091971,35,35,True,,False
hurricane,EP151989__EP101985,40,37,True,,False
hurricane,EP041981__EP021999,25,32,True,,False
hurricane,EP091991__EP062006,26,41,True,,False
hurricane,EP021999__EP131986,32,28,True,,False
hurricane,AL021878__AL091887,45,47,True,,False
hurricane,EP071978__EP091976,29,37,True,,False
hurricane,AL041944__AL011917,32,33,True,,False
hurricane,EP021983__EP141998,38,47,True,,False
hurricane,AL031937__AL051881,39,37,True,,False
hurricane,EP061997__EP092006,30,35,True,,False
hurricane,EP082005__EP091971,34,35,True,,False
hurricane,EP141978__EP091991,30,26,True,,False
hurricane,AL031854__AL011991,25,25,True,,True
hurricane,EP102002__EP032004,31,28,True,,False
hurricane,EP131994__EP061988,30,49,True,,False
hurricane,EP131974__EP182014,27,36,True,,False
hurricane,AL101984__AL011962,33,30,True,,False
hurricane,EP021954__EP051988,25,25,True,,False
hurricane,EP021983__EP021984,38,82,True,,False
hurricane,EP071987__EP032005,28,30,True,,False
hurricane,EP052001__EP032000,31,27,True,,False
hurricane,EP071990__EP152015,28,40,True,,False
hurricane,EP101970__EP142005,25,33,True,,False
hurricane,AL081880__AL051880,32,40,True,,False
hurricane,EP011958__EP212014,41,27,True,,False
hurricane,EP072001__EP112003,28,28,True,,False
hurricane,EP042002__EP031984,30,36,True,,False
hurricane,EP171984__EP132009,31,39,True,,False
hurricane,EP042006__EP031988,33,28,True,,False
hurricane,EP081980__EP152015,30,40,True,,False
hurricane,EP172000__EP081995,32,28,True,,False
hurricane,EP051998__EP111978,37,38,True,,False
hurricane,AL011991__AL021906,25,41,True,,False
hurricane,EP031984__EP212015,36,33,True,,False
hurricane,EP091972__EP231990,33,67,True,,False
hurricane,EP151990__EP041978,36,29,True,,False
hurricane,EP031986__EP111983,25,36,True,,False
hurricane,EP041953__EP182014,25,36,True,,False
hurricane,EP031988__EP101983,28,31,True,,False
hurricane,AL011965__AL041902,29,44,True,,False
hurricane,EP161970__EP041992,31,50,True,,False
hurricane,EP171987__EP042002,27,30,True,,False
hurricane,EP112007__EP132009,30,39,True,,False
hurricane,EP152001__EP231990,31,67,True,,False
hurricane,EP041976__EP041984,30,48,True,,False
hurricane,EP041979__EP121968,27,37,True,,False
hurricane,EP031988__EP091972,28,33,True,,False
hurricane,EP151982__EP181989,29,33,True,,False
hurricane,EP121983__EP102006,34,32,True,,False
hurricane,EP151968__EP022008,35,37,True,,False
hurricane,EP031965__EP141991,25,42,True,,False
hurricane,EP071987__EP041983,28,26,True,,False
hurricane,EP081988__EP121989,41,45,True,,False
hurricane,AL052005__AL021933,45,53,True,,False
hurricane,EP031968__EP041983,27,26,True,,False
hurricane,AL051924__AL071879,29,25,True,,False
hurricane,EP061970__EP142005,29,33,True,,False
hurricane,EP181985__EP092012,46,47,True,,False
hurricane,AL031864__AL062007,26,28,True,,False
hurricane,EP081987__EP081990,35,35,True,,False
hurricane,EP051952__EP032004,29,28,True,,False
hurricane,EP071990__EP021981,28,25,True,,False
hurricane,EP121983__EP102002,34,31,True,,False
hurricane,EP132004__EP132009,39,39,True,,False
hurricane,EP021985__EP042010,41,50,True,,False
hurricane,AL011860__AL051912,35,30,True,,False
hurricane,EP131974__EP171987,27,27,True,,False
hurricane,EP121983__EP082005,34,34,True,,False
hurricane,EP012011__EP241990,30,41,True,,False
hurricane,EP131974__EP072012,27,33,True,,False
hurricane,AL031910__AL091887,44,47,True,,False
hurricane,EP141994__EP102004,28,33,True,,False
hurricane,EP142014__EP112012,35,33,True,,False
hurricane,EP181982__EP011973,40,43,True,,False
hurricane,AL051880__AL031915,40,59,True,,False
hurricane,AL111972__AL021954,29,27,True,,False
hurricane,EP151989__EP071971,40,29,True,,False
hurricane,EP211992__EP091995,40,29,True,,False
hurricane,EP081991__EP091998,28,40,True,,False
hurricane,EP161968__EP022015,31,38,True,,False
hurricane,EP072011__EP091988,26,36,True,,False
hurricane,EP141970__EP152005,25,31,True,,False
hurricane,EP111983__EP152015,36,40,True,,False
hurricane,EP041965__EP042002,31,30,True,,False
hurricane,EP062005__EP122004,33,52,True,,False
hurricane,EP031975__EP121991,35,46,True,,False
hurricane,EP041975__EP011976,41,44,True,,False
hurricane,EP051990__EP091972,26,33,True,,False
hurricane,AL031931__AL141933,34,38,True,,False
hurricane,EP071954__EP211992,25,40,True,,False
hurricane,EP072011__EP161970,26,31,True,,False
hurricane,AL011928__AL011852,46,45,True,,False
hurricane,EP081978__EP101985,32,37,True,,False
hurricane,EP102009__EP102014,46,65,True,,False
hurricane,EP021991__EP091982,30,30,True,,False
hurricane,AL051942__AL161978,32,26,True,,False
hurricane,EP061986__EP131991,38,70,True,,False
hurricane,EP101980__EP032004,26,28,True,,False
hurricane,AL101955__AL071892,40,45,True,,False
hurricane,EP081987__EP041965,35,31,True,,False
hurricane,EP101975__EP041983,31,26,True,,False
hurricane,EP161968__EP112006,31,32,True,,False
hurricane,EP031988__EP071987,28,28,True,,False
hurricane,EP121983__EP091971,34,35,True,,False
hurricane,EP051995__EP031990,36,32,True,,False
hurricane,EP101970__EP092000,25,25,True,,False
hurricane,EP102006__EP071995,32,27,True,,False
hurricane,EP102002__EP152001,31,31,True,,False
hurricane,EP081967__EP092002,25,26,True,,False
hurricane,EP051972__EP061992,31,34,True,,False
hurricane,EP152001__EP031984,31,36,True,,False
hurricane,EP072010__EP092010,26,30,True,,False
hurricane,EP111985__EP081978,36,32,True,,False
hurricane,EP081998__EP092002,26,26,True,,False
hurricane,EP031995__EP261992,42,28,True,,False
hurricane,AL141933__AL011917,38,33,True,,False
hurricane,AL051918__AL041943,27,36,True,,False
hurricane,EP042004__EP081965,30,31,True,,False
hurricane,AL051958__AL021880,35,45,True,,False
hurricane,EP151982__EP152015,29,40,True,,False
hurricane,EP141997__EP071971,34,29,True,,False
hurricane,EP031968__EP121968,27,37,True,,False
hurricane,EP131994__EP161990,30,55,True,,False
hurricane,EP151989__EP212015,40,33,True,,False
hurricane,EP071987__EP121968,28,37,True,,False
hurricane,EP072011__EP151991,26,45,True,,False
hurricane,EP042006__EP071978,33,29,True,,False
hurricane,EP022001__EP101981,26,27,True,,False
hurricane,AL021911__AL052010,26,32,True,,False
hurricane,EP021954__EP092005,25,34,True,,False
hurricane,EP212015__EP152007,33,50,True,,False
hurricane,EP111975__EP101985,37,37,True,,False
hurricane,EP101975__EP041965,31,31,True,,False
hurricane,EP072007__EP152015,34,40,True,,False
hurricane,EP081978__EP092011,32,50,True,,False
hurricane,EP071973__EP102002,25,31,True,,False
hurricane,EP062011__EP182015,29,27,True,,False
hurricane,EP041965__EP032005,31,30,True,,False
hurricane,EP022008__EP191990,37,35,True,,False
hurricane,EP141967__EP092013,37,31,True,,False
hurricane,EP172000__EP072012,32,33,True,,False
hurricane,EP021999__EP121991,32,46,True,,False
hurricane,EP031971__EP031978,27,35,True,,False
hurricane,EP092000__EP072007,25,34,True,,False
hurricane,EP081980__EP031984,30,36,True,,False
hurricane,EP121989__EP081976,45,31,True,,False
hurricane,EP031968__EP102000,27,25,True,,False
hurricane,EP211992__EP032004,40,28,True,,False
hurricane,EP191968__EP031994,33,29,True,,False
hurricane,EP021983__EP041975,38,41,True,,False
hurricane,EP032000__EP031986,27,25,True,,False
hurricane,AL091974__AL032012,28,31,True,,False
hurricane,EP021969__EP031978,33,35,True,,False
hurricane,EP041981__EP071971,25,29,True,,False
hurricane,EP081967__EP071971,25,29,True,,False
hurricane,EP091975__EP231990,35,67,True,,False
hurricane,EP021981__EP092000,25,25,True,,False
hurricane,EP101975__EP021969,31,33,True,,False
hurricane,EP081978__EP071971,32,29,True,,False
hurricane,EP051966__EP171990,25,39,True,,False
hurricane,EP081987__EP151991,35,45,True,,False
hurricane,EP011976__EP241990,44,41,True,,False
hurricane,EP101989__EP112012,27,33,True,,False
hurricane,EP102006__EP091971,32,35,True,,False
hurricane,EP042011__EP151971,33,45,True,,False
hurricane,EP052011__EP121989,44,45,True,,False
hurricane,EP181984__EP042010,36,50,True,,False
hurricane,EP041983__EP141997,26,34,True,,False
hurricane,EP061982__EP092012,32,47,True,,False
hurricane,EP031986__EP021984,25,82,True,,False
hurricane,EP081980__EP131987,30,29,True,,False
hurricane,EP111954__EP011976,25,44,True,,False
hurricane,EP102004__EP071992,33,42,True,,False
hurricane,EP122003__EP132012,38,44,True,,False
hurricane,EP101982__EP051985,35,35,True,,False
hurricane,EP181970__EP152005,29,31,True,,False
hurricane,EP022008__EP031978,37,35,True,,False
hurricane,EP121983__EP071987,34,28,True,,False
hurricane,EP081965__EP171990,31,39,True,,False
hurricane,EP081996__EP152005,29,31,True,,False
hurricane,EP051990__EP111975,26,37,True,,False
hurricane,EP071990__EP091971,28,35,True,,False
hurricane,EP071992__EP061997,42,30,True,,False
hurricane,EP171987__EP212015,27,33,True,,False
hurricane,AL031910__AL131967,44,70,True,,False
hurricane,EP061970__EP122003,29,38,True,,False
hurricane,EP121988__EP101986,38,44,True,,False
hurricane,EP141970__EP141987,25,25,True,,False
hurricane,EP111993__EP091988,32,36,True,,False
hurricane,EP081967__EP101983,25,31,True,,False
hurricane,AL081934__AL031901,29,42,True,,False
hurricane,EP081988__EP061986,41,38,True,,False
hurricane,EP131990__EP121989,32,45,True,,False
hurricane,AL041872__AL091995,28,41,True,,False
hurricane,EP071973__EP171987,25,27,True,,False
hurricane,EP081967__EP211992,25,40,True,,False
hurricane,EP101975__EP231990,31,67,True,,False
hurricane,EP131985__EP151985,29,38,True,,False
hurricane,EP141997__EP212015,34,33,True,,False
hurricane,AL041924__AL051940,48,49,True,,False
hurricane,EP062006__EP142000,41,37,True,,False
hurricane,AL041944__AL021960,32,34,True,,False
hurricane,EP111983__EP112012,36,33,True,,False
hurricane,EP071973__EP051973,25,27,True,,False
hurricane,EP041983__EP071978,26,29,True,,False
hurricane,EP041978__EP121989,29,45,True,,False
hurricane,EP121968__EP111975,37,37,True,,False
hurricane,EP101980__EP171994,26,31,True,,False
hurricane,EP151990__EP121989,36,45,True,,False
hurricane,EP071995__EP031949,27,25,True,,False
hurricane,AL061915__AL102002,42,55,True,,False
hurricane,EP162003__EP012001,25,29,True,,False
hurricane,EP022012__EP212014,25,27,True,,False
hurricane,EP102002__EP131987,31,29,True,,False
hurricane,EP031959__EP152009,25,38,True,,False
hurricane,EP131974__EP041953,27,25,True,,False
hurricane,EP081990__EP051960,35,47,True,,False
hurricane,EP021981__EP131987,25,29,True,,False
hurricane,EP141997__EP111975,34,37,True,,False
hurricane,EP031990__EP072012,32,33,True,,False
hurricane,EP072011__EP071973,26,25,True,,False
hurricane,EP081990__EP071972,35,37,True,,False
hurricane,EP031988__EP051995,28,36,True,,False
hurricane,EP131985__EP081998,29,26,True,,False
hurricane,EP082012__EP182014,35,36,True,,False
hurricane,EP161968__EP152008,31,38,True,,False
hurricane,EP141997__EP042014,34,42,True,,False
hurricane,EP161970__EP071978,31,29,True,,False
hurricane,EP151967__EP032010,27,32,True,,False
hurricane,EP102000__EP081954,25,27,True,,False
hurricane,EP112007__EP152014,30,37,True,,False
hurricane,EP131985__EP092002,29,26,True,,False
hurricane,EP102006__EP152015,32,40,True,,False
hurricane,EP052006__EP071991,48,40,True,,False
hurricane,EP031988__EP031994,28,29,True,,False
hurricane,EP072010__EP011976,26,44,True,,False
hurricane,EP092005__EP011985,34,27,True,,False
hurricane,EP071978__EP091972,29,33,True,,False
hurricane,AL031883__AL011910,39,27,True,,False
hurricane,EP091984__EP101990,36,38,True,,False
hurricane,EP091988__EP151991,36,45,True,,False
hurricane,EP051973__EP041975,27,41,True,,False
hurricane,EP081978__EP091976,32,37,True,,False
hurricane,EP041981__EP131986,25,28,True,,False
hurricane,EP111983__EP032014,36,41,True,,False
hurricane,EP021985__EP151991,41,45,True,,False
hurricane,EP021981__EP031984,25,36,True,,False
hurricane,EP172000__EP041953,32,25,True,,False
hurricane,EP111993__EP141971,32,27,True,,False
hurricane,EP121993__EP032013,50,30,True,,False
hurricane,EP141990__EP122004,35,52,True,,False
hurricane,EP071973__EP031984,25,36,True,,False
hurricane,EP081993__EP121989,56,45,True,,False
hurricane,EP071978__EP231990,29,67,True,,False
hurricane,EP061997__EP111978,30,38,True,,False
hurricane,EP032004__EP091995,28,29,True,,False
hurricane,AL021889__AL021886,25,33,True,,False
hurricane,EP032009__EP092002,25,26,True,,False
hurricane,AL091945__AL082008,39,49,True,,False
hurricane,AL061909__AL051958,34,35,True,,False
hurricane,EP031988__EP111975,28,37,True,,False
hurricane,AL021960__AL141933,34,38,True,,False
hurricane,EP162005__EP181984,26,36,True,,False
hurricane,EP141991__EP212015,42,33,True,,False
hurricane,EP092010__EP071984,30,30,True,,False
hurricane,EP172000__EP111983,32,36,True,,False
hurricane,EP011957__EP051998,45,37,True,,False
hurricane,EP071987__EP071990,28,28,True,,False
hurricane,EP081995__EP112012,28,33,True,,False
hurricane,EP021969__EP131986,33,28,True,,False
hurricane,EP051973__EP091971,27,35,True,,False
hurricane,EP011973__EP041992,43,50,True,,False
hurricane,EP081981__EP071971,29,29,True,,False
hurricane,AL061879__AL041887,33,37,True,,False
hurricane,EP091972__EP111975,33,37,True,,False
hurricane,EP071987__EP141997,28,34,True,,False
hurricane,EP071973__EP121968,25,37,True,,False
hurricane,EP212015__EP031990,33,32,True,,False
hurricane,EP072004__EP182015,27,27,True,,False
hurricane,EP082012__EP112012,35,33,True,,False
hurricane,EP101989__EP081995,27,28,True,,False
hurricane,EP091965__EP191990,37,35,True,,False
hurricane,EP032005__EP032011,30,29,True,,False
hurricane,EP131990__EP051968,32,33,True,,False
hurricane,AL021908__AL061954,32,30,True,,False
hurricane,EP131987__EP231990,29,67,True,,False
hurricane,EP091985__CP012003,25,25,True,,False
hurricane,EP072008__EP051973,33,27,True,,False
hurricane,EP122007__EP142007,28,25,True,,False
hurricane,EP031957__EP031949,27,25,True,,False
hurricane,EP062003__EP261992,28,28,True,,False
hurricane,EP081992__EP041982,48,62,True,,False
hurricane,EP041994__EP112005,26,65,True,,False
hurricane,EP102000__EP071954,25,25,True,,False
hurricane,EP212006__EP022003,29,31,True,,False
hurricane,EP041984__EP061997,48,30,True,,False
hurricane,EP051951__EP181982,29,40,True,,False
hurricane,EP081988__EP161974,41,43,True,,False
hurricane,EP061970__EP031990,29,32,True,,False
hurricane,AL061916__AL051886,33,40,True,,False
hurricane,EP151989__EP151967,40,27,True,,False
hurricane,EP041965__EP152001,31,31,True,,False
hurricane,EP061984__EP081996,27,29,True,,False
hurricane,EP171987__EP182014,27,36,True,,False
hurricane,EP032005__EP092011,30,50,True,,False
hurricane,EP032009__EP051952,25,29,True,,False
hurricane,EP031971__EP091965,27,37,True,,False
hurricane,EP051988__EP102008,25,41,True,,False
hurricane,EP091984__EP091976,36,37,True,,False
hurricane,EP051990__EP101980,26,26,True,,False
hurricane,EP041981__EP061982,25,32,True,,False
hurricane,EP062008__EP121970,41,47,True,,False
hurricane,EP171986__EP202009,28,27,True,,False
hurricane,EP081967__EP061982,25,32,True,,False
hurricane,EP021969__EP101985,33,37,True,,False
hurricane,EP091998__EP121991,40,46,True,,False
hurricane,EP101980__EP041979,26,27,True,,False
hurricane,EP031975__EP151989,35,40,True,,False
hurricane,EP111993__EP101990,32,38,True,,False
hurricane,EP161971__EP131976,27,40,True,,False
hurricane,AL091943__AL011861,25,28,True,,False
hurricane,EP151982__EP142000,29,37,True,,False
hurricane,EP151967__EP031984,27,36,True,,False
hurricane,AL021880__AL041909,45,38,True,,False
hurricane,AL031890__AL031896,33,43,True,,False
hurricane,EP131974__EP092000,27,25,True,,False
hurricane,AL051872__AL112000,28,29,True,,False
hurricane,EP011957__EP081997,45,33,True,,False
hurricane,EP071972__EP101990,37,38,True,,False
hurricane,EP191968__EP081976,33,31,True,,False
hurricane,EP031975__EP031988,35,28,True,,False
hurricane,AL081891__AL061899,35,26,True,,False
hurricane,EP151989__EP101980,40,26,True,,False
hurricane,EP101975__EP151967,31,27,True,,False
hurricane,AL061936__AL052001,31,27,True,,False
hurricane,EP021981__EP181989,25,33,True,,False
hurricane,EP032005__EP041975,30,41,True,,False
hurricane,EP112007__EP132004,30,39,True,,False
hurricane,EP051995__EP092002,36,26,True,,False
hurricane,EP051995__EP081998,36,26,True,,False
hurricane,EP092014__EP061988,45,49,True,,False
hurricane,EP081996__EP181970,29,29,True,,False
hurricane,EP171987__EP131987,27,29,True,,False
hurricane,EP131987__EP031984,29,36,True,,False
hurricane,AL021983__AL011998,25,26,True,,False
hurricane,EP071987__EP081995,28,28,True,,False
hurricane,EP151967__EP092000,27,25,True,,False
hurricane,EP091988__EP231990,36,67,True,,False
hurricane,EP082013__EP101987,41,34,True,,False
hurricane,EP051990__EP071978,26,29,True,,False
hurricane,EP052006__EP041984,48,48,True,,False
hurricane,EP041983__EP071971,26,29,True,,False
hurricane,EP041981__EP111985,25,36,True,,False
hurricane,EP071987__EP051973,28,27,True,,False
hurricane,EP111985__EP081967,36,25,True,,False
hurricane,EP101975__EP121991,31,46,True,,False
hurricane,EP081980__EP062012,30,40,True,,False
hurricane,EP141997__EP092000,34,25,True,,False
hurricane,EP172000__EP032011,32,29,True,,False
hurricane,EP091993__EP132009,42,39,True,,False
hurricane,EP181989__EP192014,33,35,True,,False
hurricane,EP101975__EP051990,31,26,True,,False
hurricane,EP051992__EP191985,31,37,True,,False
hurricane,EP052002__EP081993,27,56,True,,False
hurricane,EP111954__EP131988,25,42,True,,False
hurricane,EP072013__EP022008,32,37,True,,False
hurricane,EP021969__EP061982,33,32,True,,False
hurricane,EP151990__EP091998,36,40,True,,False
hurricane,EP051952__EP042014,29,42,True,,False
hurricane,EP031966__EP041994,39,26,True,,False
hurricane,EP031965__EP122006,25,42,True,,False
hurricane,EP031991__EP011973,45,43,True,,False
hurricane,EP081991__EP041978,28,29,True,,False
hurricane,EP211990__EP202009,26,27,True,,False
hurricane,AL041921__AL102001,28,26,True,,False
hurricane,AL021937__AL011940,28,32,True,,False
hurricane,AL041909__AL051886,38,40,True,,False
hurricane,EP131994__EP081999,30,39,True,,False
hurricane,EP141978__EP131983,30,34,True,,False
hurricane,AL071931__AL021960,33,34,True,,False
hurricane,EP032011__EP042002,29,30,True,,False
hurricane,EP031975__EP091982,35,30,True,,False
hurricane,EP121983__EP081978,34,32,True,,False
hurricane,AL041865__AL101974,37,49,True,,False
hurricane,EP072011__EP231990,26,67,True,,False
hurricane,EP042006__EP021969,33,33,True,,False
hurricane,EP021985__EP181984,41,36,True,,False
hurricane,EP072012__EP012015,33,40,True,,False
hurricane,EP152001__EP151991,31,45,True,,False
hurricane,EP031994__EP071971,29,29,True,,False
hurricane,EP091965__EP011980,37,28,True,,False
hurricane,AL021911__AL032001,26,25,True,,False
hurricane,EP141997__EP091995,34,29,True,,False
hurricane,EP151990__EP181985,36,46,True,,False
hurricane,EP131985__EP042014,29,42,True,,False
hurricane,EP111983__EP081995,36,28,True,,False
hurricane,EP141970__EP021949,25,25,True,,False
hurricane,EP081980__EP181989,30,33,True,,False
hurricane,AL031927__AL091990,28,26,True,,False
hurricane,AL041941__AL062007,29,28,True,,False
hurricane,EP091984__EP072008,36,33,True,,False
hurricane,EP141987__EP081996,25,29,True,,False
hurricane,EP081967__EP081981,25,29,True,,False
hurricane,EP151967__EP061982,27,32,True,,False
hurricane,EP031988__EP021969,28,33,True,,False
hurricane,EP101975__EP091998,31,40,True,,False
hurricane,EP072001__EP082012,28,35,True,,False
hurricane,EP172000__EP131974,32,27,True,,False
hurricane,AL021867__AL082008,28,49,True,,False
hurricane,EP031968__EP042014,27,42,True,,False
hurricane,EP152001__EP092011,31,50,True,,False
hurricane,EP071990__EP092000,28,25,True,,False
hurricane,EP091990__EP041966,47,38,True,,False
hurricane,EP041988__EP052009,30,25,True,,False
hurricane,AL011928__AL021939,46,49,True,,False
hurricane,EP081965__EP141990,31,35,True,,False
hurricane,EP181984__EP162003,36,25,True,,False
hurricane,EP191985__EP111983,37,36,True,,False
hurricane,EP101970__EP021954,25,25,True,,False
hurricane,EP071995__EP142014,27,35,True,,False
hurricane,AL051958__AL041909,35,38,True,,False
hurricane,EP021949__EP182014,25,36,True,,False
hurricane,EP051973__EP101990,27,38,True,,False
hurricane,EP151982__EP071972,29,37,True,,False
hurricane,AL141975__AL071964,46,49,True,,False
hurricane,EP081981__EP141991,29,42,True,,False
hurricane,EP041981__EP051990,25,26,True,,False
hurricane,EP051990__EP081967,26,25,True,,False
hurricane,EP032005__EP151991,30,45,True,,False
hurricane,EP171984__EP202009,31,27,True,,False
hurricane,EP031986__EP101989,25,27,True,,False
hurricane,EP081978__EP071990,32,28,True,,False
hurricane,EP031995__EP082008,42,40,True,,False
hurricane,EP051972__EP101968,31,29,True,,False
hurricane,EP071978__EP151967,29,27,True,,False
hurricane,EP032013__EP091990,30,47,True,,False
hurricane,EP071987__EP231990,28,67,True,,False
hurricane,EP061987__EP102015,30,36,True,,False
hurricane,EP072011__EP051973,26,27,True,,False
hurricane,EP102000__EP032010,25,32,True,,False
hurricane,AL111898__AL041941,35,29,True,,False
hurricane,EP121988__EP121989,38,45,True,,False
hurricane,EP081991__EP011973,28,43,True,,False
hurricane,EP172012__EP011993,26,34,True,,False
hurricane,EP031966__EP051985,39,35,True,,False
hurricane,AL091974__AL131981,28,47,True,,False
hurricane,EP101985__EP071971,37,29,True,,False
hurricane,AL101964__AL011994,30,32,True,,False
hurricane,EP161970__EP031998,31,36,True,,False
hurricane,EP081990__EP091984,35,36,True,,False
hurricane,EP142007__EP082012,25,35,True,,False
hurricane,EP072008__EP101990,33,38,True,,False
hurricane,EP032006__EP111978,27,38,True,,False
hurricane,EP081998__EP101968,26,29,True,,False
hurricane,EP041972__EP112005,37,65,True,,False
hurricane,EP061984__EP072007,27,34,True,,False
hurricane,EP131985__EP081967,29,25,True,,False
hurricane,EP081988__EP111968,41,41,True,,False
hurricane,AL031897__AL061971,25,29,True,,False
hurricane,EP092000__EP171994,25,31,True,,False
hurricane,EP101975__EP131986,31,28,True,,False
hurricane,EP072011__EP031968,26,27,True,,False
hurricane,EP041965__EP071978,31,29,True,,False
hurricane,EP121968__EP071971,37,29,True,,False
hurricane,EP101975__EP071973,31,25,True,,False
hurricane,EP092010__EP171984,30,31,True,,False
hurricane,EP031994__EP111975,29,37,True,,False
hurricane,AL041884__AL181933,42,55,True,,False
hurricane,EP021949__EP031957,25,27,True,,False
hurricane,EP081980__EP021949,30,25,True,,False
hurricane,EP181989__EP152015,33,40,True,,False
hurricane,EP081954__EP071954,27,25,True,,False
hurricane,EP151968__EP091982,35,30,True,,False
hurricane,EP071995__EP092013,27,31,True,,False
hurricane,EP132011__EP011973,31,43,True,,False
hurricane,EP062006__EP152015,41,40,True,,False
hurricane,EP101980__EP092000,26,25,True,,False
hurricane,AL051876__AL071891,49,25,True,,False
hurricane,EP071978__EP102002,29,31,True,,False
hurricane,EP031984__EP081995,36,28,True,,False
hurricane,AL061947__AL051852,27,25,True,,False
hurricane,EP031968__EP071987,27,28,True,,False
hurricane,EP051973__EP231990,27,67,True,,False
hurricane,EP081990__EP051973,35,27,True,,False
hurricane,EP072013__EP261992,32,28,True,,False
hurricane,EP062008__EP081988,41,41,True,,False
hurricane,EP111983__EP071995,36,27,True,,False
hurricane,EP141978__EP081972,30,41,True,,False
hurricane,EP061968__EP061981,41,27,True,,False
hurricane,EP051951__EP091998,29,40,True,,False
hurricane,EP152008__EP202009,38,27,True,,False
hurricane,EP071992__EP061968,42,41,True,,False
hurricane,EP151989__EP111975,40,37,True,,False
hurricane,EP081978__EP061982,32,32,True,,False
hurricane,AL031879__AL051898,25,43,True,,False
hurricane,EP041981__EP141991,25,42,True,,False
hurricane,EP171985__EP161985,45,53,True,,False
hurricane,EP041981__EP031968,25,27,True,,False
hurricane,AL031931__AL061931,34,28,True,,False
hurricane,EP161990__EP061988,55,49,True,,False
hurricane,EP031968__EP081967,27,25,True,,False
hurricane,AL021879__AL091945,32,39,True,,False
hurricane,EP101985__EP101968,37,29,True,,False
hurricane,EP121993__EP061968,50,41,True,,False
hurricane,EP031968__EP101975,27,31,True,,False
hurricane,EP101989__EP072007,27,34,True,,False
hurricane,EP072011__EP031984,26,36,True,,False
hurricane,EP101983__EP031990,31,32,True,,False
hurricane,EP121991__EP191982,46,27,True,,False
hurricane,EP051951__EP041992,29,50,True,,False
hurricane,EP011970__EP191984,31,33,True,,False
hurricane,EP031965__EP191990,25,35,True,,False
hurricane,EP162003__EP012012,25,26,True,,False
hurricane,EP051992__EP051960,31,47,True,,False
hurricane,EP062005__EP141990,33,35,True,,False
hurricane,AL021895__AL041857,36,29,True,,False
hurricane,EP132004__EP091959,39,31,True,,False
hurricane,EP032014__EP241990,41,41,True,,False
hurricane,AL051934__AL091949,27,27,True,,False
hurricane,EP081978__EP101980,32,26,True,,False
hurricane,EP102002__EP081995,31,28,True,,False
hurricane,AL051876__AL061882,49,45,True,,False
hurricane,EP091975__EP031998,35,36,True,,False
hurricane,EP041981__EP151989,25,40,True,,False
hurricane,EP032005__EP151967,30,27,True,,False
hurricane,EP091985__EP072004,25,27,True,,False
hurricane,EP031986__EP071984,25,30,True,,False
hurricane,EP011958__EP191983,41,34,True,,False
hurricane,EP021981__EP062012,25,40,True,,False
hurricane,EP071981__EP201992,38,69,True,,False
hurricane,EP062008__EP052011,41,44,True,,False
hurricane,EP031975__EP111975,35,37,True,,False
hurricane,EP081998__EP061992,26,34,True,,False
hurricane,EP121968__EP131987,37,29,True,,False
hurricane,AL061971__AL111972,29,29,True,,False
hurricane,EP081967__EP081998,25,26,True,,False
hurricane,EP102006__EP121968,32,37,True,,False
hurricane,EP081990__EP191985,35,37,True,,False
hurricane,AL111898__AL031931,35,34,True,,False
hurricane,EP042006__EP092012,33,47,True,,False
hurricane,EP041981__EP091972,25,33,True,,False
hurricane,EP191982__EP101983,27,31,True,,False
hurricane,EP031975__EP131986,35,28,True,,False
hurricane,AL101916__AL251967,35,54,True,,False
hurricane,AL061947__AL071891,27,25,True,,False
hurricane,EP032013__EP041985,30,39,True,,False
hurricane,EP071973__EP041965,25,31,True,,False
hurricane,EP081958__EP071954,27,25,True,,False
hurricane,EP071987__EP101980,28,26,True,,False
hurricane,EP021969__EP091972,33,33,True,,False
hurricane,EP071987__EP071978,28,29,True,,False
hurricane,EP131987__EP152001,29,31,True,,False
hurricane,EP042011__EP112001,33,48,True,,False
hurricane,AL031897__AL061899,25,26,True,,False
hurricane,EP021981__EP021949,25,25,True,,False
hurricane,EP101975__EP091975,31,35,True,,False
hurricane,EP101980__EP212015,26,33,True,,False
hurricane,EP151967__EP051973,27,27,True,,False
hurricane,EP021954__EP081954,25,27,True,,False
hurricane,EP032000__EP011969,27,28,True,,False
hurricane,EP102006__EP101980,32,26,True,,False
hurricane,EP151967__EP091971,27,35,True,,False
hurricane,AL201971__AL151979,33,39,True,,False
hurricane,EP051988__EP031990,25,32,True,,False
