domain,pair,nA,nB,eligible,selection_rank,selected
hurricane,EP041954__EP122006,31,42,True,,False
hurricane,EP031966__EP121985,39,42,True,,False
hurricane,EP112001__EP132004,48,39,True,,False
hurricane,AL051942__AL062007,32,28,True,,False
hurricane,AL041944__AL031931,32,34,True,,False
hurricane,EP081978__EP151985,32,38,True,,False
hurricane,EP021949__EP111995,25,41,True,,False
hurricane,EP031988__EP061982,28,32,True,,False
hurricane,EP112001__EP091959,48,31,True,,False
hurricane,EP031975__EP091972,35,33,True,,False
hurricane,EP111975__EP061982,37,32,True,,False
hurricane,EP171987__EP031984,27,36,True,,False
hurricane,EP091959__EP091993,31,42,True,,False
hurricane,EP031988__EP141997,28,34,True,,False
hurricane,EP061992__EP101968,34,29,True,,False
hurricane,AL021895__AL021878,36,45,True,,False
hurricane,EP011957__EP052006,45,48,True,,False
hurricane,EP021954__EP122003,25,38,True,,False
hurricane,EP061984__EP112012,27,33,True,,False
hurricane,EP131990__EP052011,32,44,True,,False
hurricane,EP071984__EP011958,30,41,True,,False
hurricane,EP052006__EP081997,48,33,True,,False
hurricane,EP081978__EP091971,32,35,True,,False
hurricane,EP091976__EP091971,37,35,True,,False
hurricane,EP171982__EP032015,25,32,True,,False
hurricane,EP102008__EP032010,41,32,True,,False
hurricane,AL021879__AL082008,32,49,True,,False
hurricane,EP071978__EP121968,29,37,True,,False
hurricane,EP041983__EP061982,26,32,True,,False
hurricane,EP031988__EP212015,28,33,True,,False
hurricane,EP071987__EP091971,28,35,True,,False
hurricane,EP121983__EP071990,34,28,True,,False
hurricane,EP141987__EP142007,25,25,True,,False
hurricane,EP031988__EP041983,28,26,True,,False
hurricane,EP071987__EP102002,28,31,True,,False
hurricane,EP091988__EP032011,36,29,True,,False
hurricane,AL021908__AL051888,32,28,True,,False
hurricane,EP092000__EP072012,25,33,True,,False
hurricane,EP061984__EP032014,27,41,True,,False
hurricane,EP131971__EP142007,29,25,True,,False
hurricane,EP101980__EP151985,26,38,True,,False
hurricane,EP061970__EP061995,29,26,True,,False
hurricane,EP191968__EP061981,33,27,True,,False
hurricane,EP121982__EP061991,26,25,True,,False
hurricane,EP141987__EP152005,25,31,True,,False
hurricane,EP041983__EP151989,26,40,True,,False
hurricane,EP171984__EP011958,31,41,True,,False
hurricane,EP082008__EP121989,40,45,True,,False
hurricane,EP102002__EP121968,31,37,True,,False
hurricane,EP031994__EP021969,29,33,True,,False
hurricane,EP051973__EP081995,27,28,True,,False
hurricane,EP032011__EP012011,29,30,True,,False
hurricane,EP162003__EP012011,25,30,True,,False
hurricane,AL041857__AL131967,29,70,True,,False
hurricane,EP062003__EP041976,28,30,True,,False
hurricane,EP021981__EP152015,25,40,True,,False
hurricane,EP141970__EP081996,25,29,True,,False
hurricane,EP052009__EP051972,25,31,True,,False
hurricane,AL041951__AL052005,52,45,True,,False
hurricane,EP031988__EP051990,28,26,True,,False
hurricane,EP191968__EP031978,33,35,True,,False
hurricane,EP171987__EP092000,27,25,True,,False
hurricane,EP111995__EP082012,41,35,True,,False
hurricane,EP092008__EP081997,41,33,True,,False
hurricane,EP072011__EP101975,26,31,True,,False
hurricane,EP102006__EP071990,32,28,True,,False
hurricane,EP051990__EP041983,26,26,True,,False
hurricane,EP092000__EP212015,25,33,True,,False
hurricane,EP161983__EP141982,26,36,True,,False
hurricane,EP031988__EP121968,28,37,True,,False
hurricane,EP041981__EP031994,25,29,True,,False
hurricane,EP141998__EP021984,47,82,True,,False
hurricane,EP052002__EP032013,27,30,True,,False
hurricane,EP081967__EP151989,25,40,True,,False
hurricane,EP051973__EP151991,27,45,True,,False
hurricane,AL091932__AL031864,31,26,True,,False
hurricane,EP031995__EP041976,42,30,True,,False
hurricane,EP141987__EP181970,25,29,True,,False
hurricane,EP161983__EP111967,26,27,True,,False
hurricane,EP031988__EP151989,28,40,True,,False
hurricane,AL021940__AL021911,31,26,True,,False
hurricane,EP031968__EP151989,27,40,True,,False
hurricane,EP031968__EP051990,27,26,True,,False
hurricane,EP051990__EP061982,26,32,True,,False
hurricane,EP151968__EP122004,35,52,True,,False
hurricane,EP041991__EP111988,26,34,True,,False
hurricane,EP101980__EP141997,26,34,True,,False
hurricane,EP102006__EP111983,32,36,True,,False
hurricane,EP012012__EP012014,26,30,True,,False
hurricane,EP051951__EP151991,29,45,True,,False
hurricane,EP032000__EP141971,27,27,True,,False
hurricane,EP111975__EP091971,37,35,True,,False
hurricane,EP021999__EP031978,32,35,True,,False
hurricane,EP061972__EP111980,49,55,True,,False
hurricane,EP111954__EP021983,25,38,True,,False
hurricane,EP111985__EP051990,36,26,True,,False
hurricane,EP071995__EP072007,27,34,True,,False
hurricane,EP032006__EP092006,27,35,True,,False
hurricane,EP191985__EP181989,37,33,True,,False
hurricane,EP031994__EP081967,29,25,True,,False
hurricane,EP101975__EP061982,31,32,True,,False
hurricane,EP212015__EP171994,33,31,True,,False
hurricane,EP121993__EP061981,50,27,True,,False
hurricane,EP051951__EP031998,29,36,True,,False
hurricane,EP031994__EP151989,29,40,True,,False
hurricane,EP051973__EP092011,27,50,True,,False
hurricane,EP032013__EP081976,30,31,True,,False
hurricane,AL011923__AL071871,28,33,True,,False
hurricane,EP121970__EP061986,47,38,True,,False
hurricane,AL021960__AL011917,34,33,True,,False
hurricane,EP072008__EP091976,33,37,True,,False
hurricane,EP081988__EP121970,41,47,True,,False
hurricane,EP102002__EP141997,31,34,True,,False
hurricane,AL021895__AL051958,36,35,True,,False
hurricane,EP031986__EP011976,25,44,True,,False
hurricane,EP141970__EP031949,25,25,True,,False
hurricane,EP041994__EP101987,26,34,True,,False
hurricane,EP092007__EP102015,32,36,True,,False
hurricane,AL041944__AL141933,32,38,True,,False
hurricane,EP102006__EP031984,32,36,True,,False
hurricane,EP061970__EP072012,29,33,True,,False
hurricane,AL021960__AL071892,34,45,True,,False
hurricane,EP031998__EP091998,36,40,True,,False
hurricane,EP072012__EP171994,33,31,True,,False
hurricane,EP071987__EP031984,28,36,True,,False
hurricane,EP081981__EP211992,29,40,True,,False
hurricane,AL131969__AL161978,27,26,True,,False
hurricane,EP131985__EP141997,29,34,True,,False
hurricane,EP161970__EP091998,31,40,True,,False
hurricane,EP072011__EP041983,26,26,True,,False
hurricane,EP181982__EP031998,40,36,True,,False
hurricane,EP101983__EP171994,31,31,True,,False
hurricane,EP151982__EP131983,29,34,True,,False
hurricane,EP141998__EP011976,47,44,True,,False
hurricane,EP021969__EP191982,33,27,True,,False
hurricane,EP052001__EP101990,31,38,True,,False
hurricane,EP041991__EP012001,26,29,True,,False
hurricane,EP031975__EP041983,35,26,True,,False
hurricane,EP151967__EP231990,27,67,True,,False
hurricane,EP131970__EP092007,27,32,True,,False
hurricane,EP031988__EP151967,28,27,True,,False
hurricane,EP101983__EP212015,31,33,True,,False
hurricane,EP122003__EP142005,38,33,True,,False
hurricane,EP141987__EP122007,25,28,True,,False
hurricane,EP111985__EP031994,36,29,True,,False
hurricane,EP081987__EP072008,35,33,True,,False
hurricane,EP081993__EP032013,56,30,True,,False
hurricane,EP041981__EP031965,25,25,True,,False
hurricane,EP151982__EP191985,29,37,True,,False
hurricane,EP101970__EP172000,25,32,True,,False
hurricane,EP081998__EP101983,26,31,True,,False
hurricane,EP032005__EP051973,30,27,True,,False
hurricane,EP081998__EP171994,26,31,True,,False
hurricane,EP092002__EP171994,26,31,True,,False
hurricane,EP152014__EP161968,37,31,True,,False
hurricane,EP032013__EP041966,30,38,True,,False
hurricane,EP072011__EP071987,26,28,True,,False
hurricane,EP121982__EP261992,26,28,True,,False
hurricane,EP042002__EP231990,30,67,True,,False
hurricane,EP111993__EP081995,32,28,True,,False
hurricane,EP071973__EP152001,25,31,True,,False
hurricane,AL091999__AL101989,49,58,True,,False
hurricane,EP021983__EP011976,38,44,True,,False
hurricane,EP111993__EP032005,32,30,True,,False
hurricane,EP052002__EP121993,27,50,True,,False
hurricane,AL051942__AL131969,32,27,True,,False
hurricane,EP172000__EP171987,32,27,True,,False
hurricane,EP051966__EP032009,25,25,True,,False
hurricane,EP121982__EP081971,26,49,True,,False
hurricane,AL051876__AL111909,49,30,True,,False
hurricane,EP031988__EP101980,28,26,True,,False
hurricane,EP081990__EP072008,35,33,True,,False
hurricane,EP051992__EP091984,31,36,True,,False
hurricane,AL051876__AL071865,49,34,True,,False
hurricane,EP042006__EP111975,33,37,True,,False
hurricane,EP011976__EP111988,44,34,True,,False
hurricane,EP111983__EP072007,36,34,True,,False
hurricane,EP091972__EP032010,33,32,True,,False
hurricane,EP152014__EP022015,37,38,True,,False
hurricane,EP071987__EP151967,28,27,True,,False
hurricane,EP071990__EP091995,28,29,True,,False
hurricane,AL081968__AL022009,31,26,True,,False
hurricane,AL061971__AL021954,29,27,True,,False
hurricane,AL041908__AL021989,25,28,True,,False
hurricane,EP042004__EP091965,30,37,True,,False
hurricane,EP102002__EP021981,31,25,True,,False
hurricane,EP031968__EP151985,27,38,True,,False
hurricane,EP091975__EP041965,35,31,True,,False
hurricane,EP091975__EP161970,35,31,True,,False
hurricane,EP172000__EP111995,32,41,True,,False
hurricane,EP141997__EP151985,34,38,True,,False
hurricane,EP021981__EP072007,25,34,True,,False
hurricane,EP052001__EP111993,31,32,True,,False
hurricane,EP031975__EP021999,35,32,True,,False
hurricane,EP032005__EP081995,30,28,True,,False
hurricane,EP191982__EP131986,27,28,True,,False
hurricane,EP101970__EP061970,25,29,True,,False
hurricane,AL101955__AL021960,40,34,True,,False
hurricane,EP041965__EP231990,31,67,True,,False
hurricane,EP102004__EP111978,33,38,True,,False
hurricane,EP031971__EP011980,27,28,True,,False
hurricane,EP171987__EP081980,27,30,True,,False
hurricane,EP101980__EP101983,26,31,True,,False
hurricane,EP071990__EP072007,28,34,True,,False
hurricane,EP081954__EP092000,27,25,True,,False
hurricane,AL141933__AL021895,38,36,True,,False
hurricane,EP031991__EP191984,45,33,True,,False
hurricane,EP021949__EP092013,25,31,True,,False
hurricane,EP051986__EP092014,40,45,True,,False
hurricane,EP042004__EP051979,30,29,True,,False
hurricane,EP062003__EP031995,28,42,True,,False
hurricane,EP042006__EP031994,33,29,True,,False
hurricane,EP131985__EP102002,29,31,True,,False
hurricane,EP101980__EP071971,26,29,True,,False
hurricane,EP091988__EP172014,36,44,True,,False
hurricane,EP071990__EP042014,28,42,True,,False
hurricane,EP151989__EP141997,40,34,True,,False
hurricane,EP051990__EP141997,26,34,True,,False
hurricane,EP051966__EP162009,25,30,True,,False
hurricane,EP131974__EP031984,27,36,True,,False
hurricane,EP081997__EP041984,33,48,True,,False
hurricane,EP101975__EP011985,31,27,True,,False
hurricane,EP112001__EP112006,48,32,True,,False
hurricane,EP071973__EP071978,25,29,True,,False
hurricane,EP072011__EP041965,26,31,True,,False
hurricane,EP132004__EP112006,39,32,True,,False
hurricane,EP071995__EP032014,27,41,True,,False
hurricane,EP012001__EP111988,29,34,True,,False
hurricane,EP102002__EP171987,31,27,True,,False
hurricane,EP111985__EP151989,36,40,True,,False
hurricane,EP191985__EP101989,37,27,True,,False
hurricane,EP092010__EP011976,30,44,True,,False
hurricane,EP042006__EP101985,33,37,True,,False
hurricane,EP041983__EP231990,26,67,True,,False
hurricane,EP162009__EP211992,30,40,True,,False
hurricane,EP031966__EP101987,39,34,True,,False
hurricane,EP131983__EP091991,34,26,True,,False
hurricane,AL041944__AL021878,32,45,True,,False
hurricane,EP051990__EP101985,26,37,True,,False
hurricane,EP071973__EP131987,25,29,True,,False
hurricane,EP212015__EP072012,33,33,True,,False
hurricane,EP122007__EP142003,28,28,True,,False
hurricane,EP141997__EP032004,34,28,True,,False
hurricane,EP031968__EP131985,27,29,True,,False
hurricane,EP172000__EP082012,32,35,True,,False
hurricane,EP042012__EP111992,41,50,True,,False
hurricane,EP171987__EP101983,27,31,True,,False
hurricane,EP111983__EP182014,36,36,True,,False
hurricane,AL021983__AL042015,25,31,True,,False
hurricane,EP191985__EP091984,37,36,True,,False
hurricane,AL141933__AL071892,38,45,True,,False
hurricane,AL041891__AL051900,34,42,True,,False
hurricane,AL091933__AL052001,34,27,True,,False
hurricane,EP122007__EP181970,28,29,True,,False
hurricane,EP042006__EP101975,33,31,True,,False
hurricane,AL061971__AL101984,29,33,True,,False
hurricane,EP022008__EP122004,37,52,True,,False
hurricane,EP121968__EP151985,37,38,True,,False
hurricane,EP072011__EP091972,26,33,True,,False
hurricane,AL112009__AL011953,31,53,True,,False
hurricane,EP031968__EP102002,27,31,True,,False
hurricane,EP011969__EP021984,28,82,True,,False
hurricane,EP081978__EP082005,32,34,True,,False
hurricane,EP072008__EP091971,33,35,True,,False
hurricane,AL101924__AL152001,40,34,True,,False
hurricane,EP121982__EP011980,26,28,True,,False
hurricane,EP072013__EP061991,32,25,True,,False
hurricane,EP191968__EP021999,33,32,True,,False
hurricane,EP092008__EP111973,41,39,True,,False
hurricane,EP052001__EP141971,31,27,True,,False
hurricane,EP121982__EP031971,26,27,True,,False
hurricane,AL091887__AL131967,47,70,True,,False
hurricane,EP051990__EP031994,26,29,True,,False
hurricane,AL041857__AL091887,29,47,True,,False
hurricane,EP051966__EP092002,25,26,True,,False
hurricane,EP081995__EP182014,28,36,True,,False
hurricane,AL111994__AL101950,28,27,True,,False
hurricane,EP081967__EP051995,25,36,True,,False
hurricane,EP171987__EP021981,27,25,True,,False
hurricane,EP051979__EP141990,29,35,True,,False
hurricane,EP052012__EP041971,44,47,True,,False
hurricane,EP081995__EP032014,28,41,True,,False
hurricane,EP071990__EP032004,28,28,True,,False
hurricane,EP171982__EP031996,25,29,True,,False
hurricane,EP141987__EP082012,25,35,True,,False
hurricane,AL021903__AL052005,43,45,True,,False
hurricane,EP041975__EP021984,41,82,True,,False
hurricane,AL061909__AL021895,34,36,True,,False
hurricane,EP102000__EP071971,25,29,True,,False
hurricane,EP071965__EP132003,31,31,True,,False
hurricane,EP102002__EP031984,31,36,True,,False
hurricane,EP042006__EP031975,33,35,True,,False
hurricane,EP052011__EP121970,44,47,True,,False
hurricane,EP081999__EP082013,39,41,True,,False
hurricane,EP121982__EP022008,26,37,True,,False
hurricane,EP031968__EP081978,27,32,True,,False
hurricane,EP031984__EP072012,36,33,True,,False
hurricane,EP031965__EP172009,25,31,True,,False
hurricane,EP112012__EP182014,33,36,True,,False
