configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,origin,attempt_path,status,validated,resource_limited,kA,kB,k,retained_A,retained_B,retained_total,solver_seconds,validation_seconds,warmup_seconds,total_seconds,peak_rss_mib,states,transitions,states_dequeued,completed_states_lower_bound,queue_size,chain_graphs_completed,graph_entered,solution_route,solver_optimality_claim,validation_status,limiting_phase,coupling_distance,coupling_feasible,raw_checkpoint_sha256,validation_proves_optimality,applicable_internal_seconds,effective_chain_cap,raw_status,supervisor_status,failure_reason,solver_time_kind,termination_reason,original_origin,observation_cohort,raw_kA,raw_kB,raw_k
hurricane:EP021949__EP031949:a0.5|Independent continuous,11,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent continuous,0.5,40.25507378715167,36.48157080151773,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\11\attempts\slot11_779efee65c1c4da48452a50487b13fb4,validated,True,False,5.0,5.0,5.0,0.2,0.2,0.2,0.010949499992420897,0.0010924999951384962,8.978402500011725,9.673447400011355,211.140625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,790.6098883954147,False,db38cb83c20bc510e73fb352757e655d9c476da75f5cd55d96228e4928cd967a,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,5.0,5.0,5.0
hurricane:EP021949__EP031949:a0.5|Independent discrete,12,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent discrete,0.5,40.25507378715167,36.48157080151773,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\12\attempts\slot12_cbb981900e99447d9afd681e05358355,validated,True,False,25.0,18.0,25.0,1.0,0.72,0.86,0.006654600001638755,0.0032136000227183104,6.537463100015884,7.24078580000787,193.88671875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,565.3421428246969,True,86254bcd0542597251d1d5f7d7e8887ec460334d318206b88c376f6f794013f8,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,25.0,18.0,25.0
hurricane:EP021949__EP031949:a1|CPS-3F,13,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-3F,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\13\attempts\slot13_288bd832f6b34a6ca19d5e091f46554e,validated,True,False,15.0,15.0,15.0,0.6,0.6,0.6,0.04053950001252815,0.0022510999988298863,6.468313799996395,7.160618699999759,194.44140625,575.0,5345.0,575.0,574.0,0.0,2.0,True,configuration_graph,True,validated,,563.7413269498431,True,62ec34d85e7509991bd8bb4efe179d3ea9dcbecdc28c231176cc23639d917409,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,15.0,15.0,15.0
hurricane:EP021949__EP031949:a1|Independent continuous,14,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent continuous,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\14\attempts\slot14_611e60f8a5fe4cb1ad7a48a443a2692b,validated,True,False,4.0,2.0,4.0,0.16,0.08,0.12,0.011792500008596107,0.0007754999969620258,8.813192899979185,9.482673999998951,211.37890625,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,674.8358646699581,False,c37186572be0ef62e36071e93e84a5062dfcfee4e3d5fa74a7fce3ff9a206498,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,4.0,2.0,4.0
hurricane:EP021949__EP031949:a1|Independent discrete,15,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,Independent discrete,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\15\attempts\slot15_452824b437124977b5f90387d2ceee8f,validated,True,False,15.0,15.0,15.0,0.6,0.6,0.6,0.007874000002630055,0.002023300010478124,6.4278747999924235,7.063077099999646,194.2421875,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,563.7413269498431,True,e92e432a570c84a98e087e4236266c4f36cdd568b763d164c2e4e7d540d055d8,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,15.0,15.0,15.0
hurricane:EP021949__EP031949:a1|CPS-2F,16,hurricane,EP021949__EP031949,25,25,projected km,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,bcd3a853b05dd5540a9e285ac6217db9ad9779bf00b033a2869181b105033790,CPS-2F,1.0,80.51014757430335,72.96314160303547,565.3421428246969,reused,output\paper_v1\unified_pilot_results\slots\16\attempts\slot16_717d93cece42448796adbcb4b4004ad9,validated,True,False,4.0,3.0,4.0,0.16,0.12,0.14,20.406551200023387,0.0010115999903064221,10.085321400023531,31.147200500010513,228.22265625,6765.0,8661251.0,6765.0,6764.0,0.0,2.0,True,configuration_graph,True,validated,,565.2413194096216,True,98c15370ae0bc63e2a88f3062e577fc5abba7910fe2ee45385a68082cd1cfa81,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,4.0,3.0,4.0
protein:1o7j.a__1d9q.d:a0.5|Independent continuous,17,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent continuous,0.5,9.476499139682725,10.101752088004297,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\17\attempts\slot17_8cc2d653a53341719f762049559f92f0,validated,True,False,16.0,15.0,16.0,0.7272727272727273,0.6818181818181818,0.7045454545454546,0.009739000000990927,2.0613062000193167,8.908203300001333,12.038997099996777,227.27734375,,,0.0,0.0,,0.0,False,independent_optimization,True,validated,,47.96448297438429,True,9307aa333b299eae577b0882681d47026b7776ff77851c9520e518abba4f8043,False,,N/A,optimal_independent_baseline,worker_exited,,solution_return,validated,new,inherited unified pilot,16.0,15.0,16.0
protein:1o7j.a__1d9q.d:a0.5|Independent discrete,18,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent discrete,0.5,9.476499139682725,10.101752088004297,47.96448297438429,reused,output\paper_v1\graph_only_v2\attempts\C_8c679d9e32f84779ab0c2bea3386850e,validated,True,False,20.0,19.0,20.0,0.9090909090909091,0.8636363636363636,0.8863636363636364,0.006536700006108731,0.8748828999960097,0.7179071000136901,2.134685500001069,144.80078125,,,,,,0.0,False,independent_optimization,True,validated,,47.96448297438429,True,6fb254e95596a034aac3c38980b3fd282eaeb481877e256eab80e31cb1962fa2,False,,2000000 default,optimal_independent_baseline,worker_exited,,solution_return,validated,reused,inherited unified pilot,20.0,19.0,20.0
protein:1o7j.a__1d9q.d:a0.5|CPS-2F,19,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-2F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\19\attempts\slot19_67a95ddd348341d08fd3a07c99191bd7,validated,True,False,16.0,15.0,16.0,0.7272727272727273,0.6818181818181818,0.7045454545454546,7.234917199995834,2.022673200001009,9.895997999992687,20.24491730000591,239.37109375,22004.0,6617064.0,22004.0,22003.0,0.0,2.0,True,configuration_graph,True,validated,,47.96448297438429,True,8dd8ae9df7a0ba4387e611280e76cb9493b504047e0de5dc892b9e8a3c9b4266,False,55.0,800000 main,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,16.0,15.0,16.0
protein:1o7j.a__1d9q.d:a0.5|CPS-3F,20,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-3F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,reused,output\paper_v1\unified_pilot_results\slots\20\attempts\slot20_e0ee0e87e6cf44b8b6e3f58388474666,validated,True,False,20.0,19.0,20.0,0.9090909090909091,0.8636363636363636,0.8863636363636364,0.029119999991962686,0.34191590000409633,6.30403469997691,9.822361300000921,215.7109375,669.0,3170.0,669.0,668.0,0.0,2.0,True,configuration_graph,True,validated,,47.96448297438429,True,7519756858fd9110d838e5af50edd036eaa16955af6949a82ff36f82d63580b6,False,55.0,800000 main; 2000000 preprocessing,optimal_configuration_graph,worker_exited,,solution_return,validated,new,inherited unified pilot,20.0,19.0,20.0
