configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
protein:1o7j.a__4eca.d:a1|CPS-2F,protein,1o7j.a__4eca.d,1.0,CPS-2F,unexecuted,,433139344.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__4eca.d:a1|CPS-3F,protein,1o7j.a__4eca.d,1.0,CPS-3F,unexecuted,,234256.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1toh.a:a0.5|CPS-2F,protein,1o7j.a__1toh.a,0.5,CPS-2F,unexecuted,,433139344.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1toh.a:a0.5|CPS-3F,protein,1o7j.a__1toh.a,0.5,CPS-3F,unexecuted,,234256.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1toh.a:a1|CPS-2F,protein,1o7j.a__1toh.a,1.0,CPS-2F,unexecuted,,433139344.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1toh.a:a1|CPS-3F,protein,1o7j.a__1toh.a,1.0,CPS-3F,unexecuted,,234256.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP111954__EP021984:a0.5|CPS-2F,hurricane,EP111954__EP021984,0.5,CPS-2F,unexecuted,,33565367500.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP111954__EP021984:a0.5|CPS-3F,hurricane,EP111954__EP021984,0.5,CPS-3F,unexecuted,,4202500.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP111954__EP021984:a1|CPS-2F,hurricane,EP111954__EP021984,1.0,CPS-2F,unexecuted,,33565367500.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP111954__EP021984:a1|CPS-3F,hurricane,EP111954__EP021984,1.0,CPS-3F,unexecuted,,4202500.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL072006__AL011900:a0.5|CPS-2F,hurricane,AL072006__AL011900,0.5,CPS-2F,unexecuted,,499441244652.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL072006__AL011900:a0.5|CPS-3F,hurricane,AL072006__AL011900,0.5,CPS-3F,unexecuted,,25220484.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL072006__AL011900:a1|CPS-2F,hurricane,AL072006__AL011900,1.0,CPS-2F,unexecuted,,499441244652.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL072006__AL011900:a1|CPS-3F,hurricane,AL072006__AL011900,1.0,CPS-3F,unexecuted,,25220484.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP012014__EP212006:a0.5|CPS-2F,hurricane,EP012014__EP212006,0.5,CPS-2F,unexecuted,,2545454700.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP012014__EP212006:a0.5|CPS-3F,hurricane,EP012014__EP212006,0.5,CPS-3F,unexecuted,,756900.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP012014__EP212006:a1|CPS-2F,hurricane,EP012014__EP212006,1.0,CPS-2F,unexecuted,,2545454700.0,,False,False,not executed,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP012014__EP212006:a1|CPS-3F,hurricane,EP012014__EP212006,1.0,CPS-3F,unexecuted,,756900.0,,False,False,not executed,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
