configuration_id,attempt_path,configuration_hash,input_hash_verified,code_hashes_verified,one_attempt,raw_saved_before_validation,raw_hash,validation_hash,status
protein:1o7j.a__1d9q.d:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\12\attempts\timing012_2f895fc7d7634d7889d4728572b9e0f6,09da46f66c6f385e0b63853aff5b6d96c71b188d1a24e8b11cb5fca255d6e957,True,True,True,True,a67cc4229db5a6ee6461d1871f8497a49cb3cd32e59c9e711a96a4281f09516a,041dd648f8cd9b0b963052dc52f5a0c34ad99f5cc1977b1d5a400d0c4bc5d4d2,validated
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\13\attempts\timing013_bb25fc5267e64b05a2cd916b1e685360,b9a51752f23752e28f087201d98b34d46cbb998569c85b7bcf373b928f2f478b,True,True,True,True,70cf6f79f5ef4c08db3bcfce15f2950219837561ef6cc95df3a1c59a6c3cf827,bec862f6c7005129a01a04088b757c83b0a8dad4a44fe91e2fb5e675019e74e3,validated
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\14\attempts\timing014_dc8325fe6ac343b49fe136d8a1f97501,5d764045def44d9d2d6d43e6be8acc926869264e0ea207109b5b9ac68890d6dd,True,True,True,True,8ece78d097f319d937bfbb015f1ab4529ad2191faeddc7430eba0b2c070e9670,bd661e85957b192a86769d231dc9485243ac906894b1a1d93b255e8151f754c9,validated
protein:1o7j.a__1hfj.c:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\15\attempts\timing015_9fd298c018b0408a88f837f7bda657b1,122a2843ef4ace21472aa77f29501d6c2c89d210949f327c461648c5e795ee1d,True,True,True,True,4c7dc3da062d21ca4040c9615722e27956b8fe84c3d6dd50715b30cc5bad0597,9919df4762c3f53b5ab22485a72e58821b5dc0b978b22dda3b5a19e1e14698c5,validated
protein:1o7j.a__1hfj.c:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\16\attempts\timing016_2f702bd5c05741d79a595ce58d63f3ea,82cb01184eee1be2368d6bf1f74b2d404edf97ccd7f934845d46e5529690da08,True,True,True,True,8e187292b493969d51dfed3351ced3636380a44b2e03c89a57c7395596937baf,254e0a61dcfdc49b2f57c6cb8333c06bbe9eaf0ad5a6bdfa1bcb8d40b44ee99e,validated
protein:1o7j.a__1qd1.b:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\17\attempts\timing017_c0375172756848ceafc5944be4f76a79,7fbee48331d84cd70cad4b54baa8e8834f26e2565c64e5fc9cc677c2410f557c,True,True,True,True,6e17ccec730dd5a0009a7e2f23e57c2f532e51b50fe811481525f84d970a3939,af2a2d08f882f4cfea8581f2ff6bc2547d881a3ef6dc5f0a2a3c803cbfeb7c76,validated
protein:1o7j.a__1qd1.b:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\18\attempts\timing018_e2acd20ee8464abca4e7ea794434efb8,c3da7037090132c24a754f6c1d8292dcd7189e89ca0283eca90baa7142ab3a24,True,True,True,True,68b358273912cd84ac07a08bac50672c162011230afe3dacf19d5605a7850bad,1df99825dc4b97c359a0467a4e67b5bcab62f6290abdaa59eb4f0c51f0a0647c,validated
protein:1o7j.a__1qd1.b:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\19\attempts\timing019_a971951774f74c68a8ca0faedca0b421,a010567320a2fb052bbd33a096192f594b7590feccdabcbd2c6b948b627485d9,True,True,True,True,4cb16e5862dfacb2591d6c6832f3b85da0dc2f435f6fc01abd39c02cd21e5cad,a39b33260a4b52ca75de503913d9be91ec86190b750eeefb5cb842698560912b,validated
protein:1o7j.a__1qd1.b:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\20\attempts\timing020_cfb56118975441eba348021ea9d4503f,18eb124e8114e41d48da7588e09f8eec0ceba5e80523ff415f65fe4f6320d179,True,True,True,True,ff5d7c548898aec2a7daae87283c5e7d65dd942341733c904bbcc16124d4ab8b,a09e42e32b9774caad3521e82dd72893445d8f58236c0caf22c0cbc9580652ec,validated
protein:1o7j.a__4eca.d:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\21\attempts\timing021_3e9572229af84000be1bfbcdb5611276,45a831036d83c7a931e5e44953b10fc062adbdbef043823b17abd3e4dd790f4e,True,True,True,True,1b37876b854b3015c7506cfe9df02634b53e28807e908f484118456e61af32cd,ee9c6cc8803572d7c8cc0ed2932dc8371028be5ef2b69d18c2cfec5ac396ceb9,validated
protein:1o7j.a__4eca.d:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\22\attempts\timing022_14d0f66a20574c999bb01f8b012040f2,464c50f5fb79113c911318a5327be32c3e1214234ba84675dc69f4459c2f0bec,True,True,True,True,3e6d497f5def93940772814e5e9e9338e0a51f2688ba301c3c2c0fe6797ae737,453724327ad3f4ba86165f3f0bce015f688b051939e585ecdda9422bd674c9a9,validated
protein:1o7j.a__4eca.d:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\23\attempts\timing023_1e6f771f784047339785ff652d43d088,47b5cd2a51313a27268e321c797fa6ed3bcbdb4ce9c929ce63ee5cd0363a3351,True,True,True,True,065983697a7b254f65a8ac8ab60fcff7dd5fd6f432abe4b90a777260621b7d2d,34b1c197eac5bf4ccf61d3e4606280da35a76d529c05781ef492af0448d751a9,validated
protein:1o7j.a__4eca.d:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\24\attempts\timing024_f7ae389af0384fcdaad3bc13143a16cb,fd1e5be853d5019dfafa0f6c33dd20a9a1088b939883a0b8cfd8f8829bcafdfa,True,True,True,True,85081897dcec41e25d0c2ff7cd8b164632ba74c860b40d962d033a55c434550d,dfbcffc66941c31a6c0b9e7b198a6f939357ca65ecdee888a6cc3996b0b8abe2,validated
protein:1o7j.a__1toh.a:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\25\attempts\timing025_464df60a5cad4c22bea1334b92097519,552159f9cf711331de32b8038bd1676d9f3de255a71b6cd6acb3a725a31e6792,True,True,True,True,095e63723efb3656e85d6ff462ec58a48a8fac3b3db7a2f476075ce84960778c,d2c217a89f8c6d4362e98d8da942c5574c8855d0bee75d910c16b424f4dcb064,validated
protein:1o7j.a__1toh.a:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\26\attempts\timing026_3b8406749f514c60bc2c864580a87cbe,1315d873c9674fc5cb8f5b9bf161c999f8650aa98349004b6863f6f229efad99,True,True,True,True,a2c3651e90c4ff40a458b0e13409df7debd3e303a33e34001084733469728c76,e6929b08dc0493bdf8f12dd117be849dd6fb20252054fcdd49c329318e304797,validated
