attempt,warmup_seconds,single_curve_graphs_completed,configuration_graph_entered,graph_completed,status,kA,kB,k,transitions,states,states_dequeued,completed_states_lower_bound,queue_size,solver_seconds,validation_seconds,process_seconds,peak_sampled_tree_rss_mib,limiting_resource
Completed 10m repeat,9.85851960000582,2,True,False,transition_budget_limit,,,,10000001,57332,594,593,56738,16.36467770001036,,26.929635000007693,325.10546875,transition_budget_limit
20m transition follow-up,18.471159400010947,2,True,False,transition_budget_limit,,,,20000001,57332,980,979,56352,50.764502300007734,,70.51338620000752,325.8828125,transition_budget_limit
