diagnostic,pair,alpha,method,attempt_directory,new_execution,new_timing_repetition,warmup_completed,warmup_seconds,solver_returned_solution,raw_solution_saved,solver_status,solution_route,validation_completed,validation_passed,validation_status,objective,kA,kB,solver_optimality_claim,validation_proves_optimality,verified_quality_eligible,solver_seconds,validation_seconds,optional_status,optional_seconds,limiting_phase,limiting_resource,limiting_counter,states_at_limit,single_chain_graphs_completed,reference_optimum,reference_agreement,peak_sampled_tree_rss_mib,process_seconds,input_sha256,configuration_sha256
A,AL031854__AL011991,0.5,CPS-2F,output\paper_v1\graph_only_v2\attempts\A_a5ce9008b10f4636922695c2cf81e0dd,True,False,True,1.0307649000023957,False,False,transition_budget_limit,configuration_graph,False,False,not_run_no_solver_output,,,,False,False,False,2.109742799992091,,not_run,,solver / configuration_graph,transition_budget_limit,2000001.0,5452.0,2,5.0,not_comparable_no_solution,136.3203125,3.6119009999965783,a2ab35b783cce3d389472b1841e85b92acc3171b29993a2566d04b6759b0b287,942df837a078a6fd8052ca8933547742b1891719ebfd8ad31f076307f826e485
B,1o7j.a__1hfj.c,1.0,CPS-2F,output\paper_v1\graph_only_v2\attempts\B_cf1787d0fc88447e9f5e19a9a82f2dab,True,False,True,0.7580702999985078,False,False,transition_budget_limit,configuration_graph,False,False,not_run_no_solver_output,,,,False,False,False,1.838191700007883,,not_run,,solver / configuration_graph,transition_budget_limit,500001.0,17567.0,2,5.0,not_comparable_no_solution,221.68359375,3.090252000009059,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,f9852b1c4fbff7ec8bfb4eba685479af8ba7a74a666d44741da03fe4cf377472
C,1o7j.a__1d9q.d,0.5,Independent discrete,output\paper_v1\graph_only_v2\attempts\C_8c679d9e32f84779ab0c2bea3386850e,True,False,True,0.7179071000136901,True,True,optimal_independent_baseline,independent_optimization,True,True,validated,20.0,20.0,19.0,True,False,True,0.006536700006108731,0.8748828999960097,completed,0.037013400011346675,,,,,0,,reference_unavailable,144.80078125,2.134685500001069,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,4b6d1f0c4a33423d51e7c50dcc907decea2e00226e61f093e8203e848f566064
